"Daily Weather Observations for Richmond Airport, Queensland for February 2024"
"Prepared at 13:01 UTC on Saturday  9 November 2024   IDCJDW4100.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,23.7,35.5,15.2,8.6,,NNW,48,22:17,28.0,83,,ESE,13,1005.4,34.8,54,,ESE,22,1002.5
,2024-02-2,23.5,36.1,22.0,8.2,,N,52,14:11,28.7,77,,ENE,13,1006.2,25.6,83,,NNW,22,1003.3
,2024-02-3,25.5,37.1,0,,,NNW,44,18:43,30.7,65,,NNE,24,1007.0,36.1,47,,N,20,1003.7
,2024-02-4,25.6,36.0,0,,,WNW,48,15:45,30.6,64,,N,31,1008.1,34.5,49,,NNW,22,1005.0
,2024-02-5,24.5,36.8,0.4,22.4,,WSW,61,17:12,30.0,71,,NNW,22,1008.5,35.3,50,,WNW,20,1004.7
,2024-02-6,25.1,34.2,3.4,7.4,,SE,59,17:54,27.2,90,,N,7,1009.4,31.7,66,,NNW,15,1004.8
,2024-02-7,22.6,32.9,27.8,8.4,,E,33,07:45,25.9,88,,ENE,13,1009.0,31.6,59,,S,22,1006.8
,2024-02-8,23.6,35.7,0.2,9.8,,NE,33,15:10,28.8,71,,E,9,1010.4,35.3,50,,ESE,7,1007.1
,2024-02-9,23.3,35.6,0,9.2,,SSE,31,17:07,30.0,64,,NNE,17,1013.2,34.9,40,,ESE,9,1009.8
,2024-02-10,20.5,36.8,0,,,SE,37,16:03,29.8,63,,N,15,1012.6,35.4,34,,SE,15,1009.6
,2024-02-11,21.5,36.1,0,,,NNW,28,08:37,29.9,65,,NNW,20,1011.5,35.4,37,,SE,9,1008.8
,2024-02-12,22.6,36.2,0,24.6,,ESE,30,15:24,31.0,57,,NNE,15,1012.3,35.2,40,,SE,11,1008.0
,2024-02-13,23.2,34.1,0,8.4,,NNW,31,10:15,29.6,63,,N,17,1011.5,32.2,54,,NW,13,1007.7
,2024-02-14,23.8,35.5,0,6.6,,SSE,52,16:28,28.1,73,,NW,15,1009.6,34.4,47,,ESE,9,1005.8
,2024-02-15,24.8,34.0,0.2,5.0,,ESE,28,20:34,28.6,79,,NW,6,1009.4,33.6,48,,E,7,1006.9
,2024-02-16,24.6,28.4,1.8,6.6,,ESE,37,18:08,25.0,91,,E,17,1010.3,27.5,82,,SE,24,1008.2
,2024-02-17,23.4,31.4,5.2,,,E,35,14:08,24.9,87,,E,19,1012.7,31.1,65,,E,19,1010.2
,2024-02-18,24.7,33.4,0,,,NNW,44,12:42,29.4,69,,ENE,13,1013.4,25.4,94,,SW,11,1009.8
,2024-02-19,22.8,34.3,35.8,9.0,,SSE,26,15:18,26.9,86,,ENE,9,1013.3,33.0,50,,SE,13,1009.5
,2024-02-20,22.5,36.0,0.2,6.8,,E,22,13:43,29.3,59,,NE,11,1011.0,35.1,39,,S,11,1007.7
,2024-02-21,24.6,36.0,0,8.0,,S,39,18:40,28.0,73,,N,9,1011.0,34.8,41,,NE,9,1006.0
,2024-02-22,22.0,32.9,5.2,7.0,,SE,33,00:21,25.9,81,,E,15,1011.6,30.4,55,,ENE,15,1007.2
,2024-02-23,21.8,31.8,0,8.0,,ENE,39,21:52,24.5,80,,E,11,1011.4,30.7,58,,ESE,15,1007.0
,2024-02-24,22.7,32.9,3.0,,,ESE,57,15:35,24.6,90,,SSE,20,1009.8,32.2,46,,ESE,31,1006.6
,2024-02-25,21.8,34.5,0,,,ESE,48,12:00,27.3,68,,E,20,1009.9,32.5,51,,SE,9,1006.4
,2024-02-26,24.8,37.1,0,19.2,,N,50,20:00,30.2,66,,NE,15,1010.1,35.3,44,,ESE,19,1006.0
,2024-02-27,22.9,28.7,33.4,,,ESE,30,23:35,24.8,97,,ENE,7,1011.3,27.3,91,,ESE,11,1007.9
,2024-02-28,24.3,34.1,11.8,,,N,46,17:15,26.2,89,,NE,4,1013.2,29.6,84,,N,11,1009.4
,2024-02-29,23.2,33.7,20.8,4.6,,NNE,30,13:07,27.6,81,,E,15,1013.5,33.0,59,,SE,11,1010.3
