"Daily Weather Observations for Richmond Airport, Queensland for April 2024"
"Prepared at 16:02 UTC on Thursday  7 November 2024   IDCJDW4100.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,19.5,34.0,0,,,ENE,39,13:46,27.4,61,,NE,15,1014.4,33.6,39,,E,15,1010.8
,2024-04-2,19.0,34.4,0,42.4,,E,28,11:53,27.4,64,,NE,9,1014.8,33.8,38,,ESE,13,1010.6
,2024-04-3,19.8,34.9,0,10.8,,E,31,12:32,28.1,63,,NE,13,1014.0,33.5,42,,E,13,1010.5
,2024-04-4,21.5,34.5,0,6.0,,S,44,20:16,26.4,69,,ESE,20,1012.8,33.6,39,,NNE,4,1009.2
,2024-04-5,19.3,33.6,0,9.2,,S,35,17:31,23.3,80,,SE,22,1013.9,33.3,47,,S,17,1009.6
,2024-04-6,19.2,32.9,0,,,SE,31,09:44,24.6,72,,ESE,17,1013.0,32.3,49,,ESE,13,1008.4
,2024-04-7,20.4,34.1,0,,,SE,37,10:49,26.6,70,,ESE,22,1010.7,31.7,44,,ESE,13,1006.9
,2024-04-8,15.7,33.6,0,24.6,,ESE,30,08:27,24.9,50,,ESE,19,1011.6,33.3,32,,S,19,1007.3
,2024-04-9,12.8,32.2,0,6.2,,S,39,11:55,23.2,52,,SSE,13,1012.8,31.3,24,,S,19,1008.6
,2024-04-10,12.1,31.8,0,10.6,,ESE,43,09:48,21.7,46,,ESE,24,1014.7,31.2,27,,SE,20,1011.5
,2024-04-11,12.2,31.9,0,9.0,,SE,37,00:24,20.7,40,,ESE,20,1015.4,31.5,21,,ESE,15,1012.2
,2024-04-12,13.7,32.1,0,8.6,,E,39,12:24,20.7,43,,ESE,15,1015.3,31.5,19,,SSE,11,1011.7
,2024-04-13,12.0,33.2,0,,,ENE,35,11:02,24.6,55,,ENE,17,1015.9,32.9,29,,ESE,17,1012.5
,2024-04-14,16.6,34.2,0,,,E,31,10:56,26.4,59,,ENE,17,1016.9,33.9,33,,ENE,11,1013.3
,2024-04-15,16.2,33.4,0,21.6,,E,33,10:23,26.0,59,,ENE,22,1017.1,32.5,31,,ENE,13,1013.7
,2024-04-16,20.7,34.5,0,7.0,,SE,43,17:01,27.4,60,,ENE,19,1016.7,34.0,44,,ESE,19,1012.7
,2024-04-17,22.3,29.3,1.6,8.8,,SSE,35,16:58,25.0,86,,ESE,15,1016.3,28.5,60,,SSE,22,1013.0
,2024-04-18,20.2,32.9,0,3.4,,ESE,33,15:35,26.8,61,,E,17,1014.7,31.9,42,,ESE,24,1011.5
,2024-04-19,19.0,34.2,0,6.4,,SSE,44,23:59,25.5,54,,ESE,22,1013.2,33.9,38,,E,13,1009.9
,2024-04-20,17.8,31.7,0.6,,,SSE,48,01:36,21.9,37,,SE,26,1015.2,31.1,27,,SSE,22,1011.6
,2024-04-21,13.8,28.8,0,,,ESE,54,09:58,20.0,49,,ESE,26,1016.7,28.3,24,,ESE,24,1012.7
,2024-04-22,10.9,28.7,0,,,E,50,11:04,20.7,57,,ESE,24,1016.0,28.5,34,,ESE,24,1012.0
,2024-04-23,13.7,33.2,0,,,E,50,08:59,24.4,56,,E,31,1015.9,31.2,40,,ENE,15,1011.6
,2024-04-24,17.4,33.4,0,,,E,33,10:14,26.5,61,,ENE,20,1016.2,33.1,35,,E,20,1012.6
,2024-04-25,16.2,33.0,0,,,SE,35,13:26,25.0,52,,ESE,13,1015.4,30.6,31,,SE,17,1012.9
,2024-04-26,11.8,31.6,0,,,ESE,31,00:29,20.7,49,,SE,19,1016.8,31.2,29,,ENE,11,1012.6
,2024-04-27,16.1,31.9,0,,,SE,39,03:01,22.1,51,,E,19,1016.7,31.3,29,,ESE,15,1013.6
,2024-04-28,14.6,33.3,0,,,E,37,11:30,24.3,62,,ENE,22,1017.2,31.4,37,,E,15,1013.6
,2024-04-29,19.7,32.7,0,,,ESE,41,13:07,25.3,48,,ENE,20,1017.5,31.8,32,,ESE,22,1013.3
,2024-04-30,17.9,32.6,0,,,E,41,10:27,24.9,56,,ENE,20,1016.0,32.3,29,,ESE,20,1012.5
