"Daily Weather Observations for Richmond Airport, Queensland for November 2024"
"Prepared at 13:02 UTC on Saturday  9 August 2025   IDCJDW4100.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,21.2,37.9,0,,,NNE,39,14:57,31.6,43,,NW,17,1012.5,33.3,30,,N,30,1008.3
,2024-11-2,19.0,40.0,0,,,NW,39,12:20,29.7,37,,WNW,17,1013.6,38.0,12,,ENE,7,1008.2
,2024-11-3,21.4,39.8,0,,,NNW,41,08:27,30.7,31,,N,24,1014.6,39.2,14,,SSW,13,1009.1
,2024-11-4,21.5,40.8,0,,,NE,39,01:20,29.3,32,,NW,11,1015.5,38.5,14,,SSE,9,1009.8
,2024-11-5,21.7,42.8,0,,,SE,44,14:01,30.7,26,,WNW,9,1013.3,42.0,12,,ESE,30,1007.8
,2024-11-6,23.3,42.7,0,,,ESE,44,15:00,33.3,16,,N,24,1013.7,42.3,11,,ESE,20,1007.9
,2024-11-7,25.0,42.6,0,,,NNW,37,07:37,33.8,15,,NNW,24,1012.5,40.6,11,,NW,15,1007.5
,2024-11-8,27.3,42.1,0,,,NNW,35,08:39,34.0,22,,N,24,1013.2,40.6,13,,WNW,13,1007.7
,2024-11-9,26.7,42.3,0,,,NW,39,12:53,33.7,27,,NNW,22,1012.4,41.7,17,,WNW,13,1007.7
,2024-11-10,27.2,41.8,0,,,NNW,37,09:53,35.6,22,,N,22,1012.7,41.3,17,,N,20,1008.0
,2024-11-11,27.6,41.0,0,,,SW,43,18:16,34.2,22,,N,20,1012.9,39.8,16,,NW,20,1007.7
,2024-11-12,25.6,40.3,0,,,NNW,43,10:08,31.8,37,,NNW,26,1012.5,39.5,23,,W,19,1006.9
,2024-11-13,26.0,41.8,0,,,,,,33.9,39,,NNW,30,1010.5,39.8,25,,NNW,9,1005.1
,2024-11-14,22.7,42.1,,,,,,,26.9,50,,ESE,15,1009.1,40.9,21,,WSW,15,1005.3
,2024-11-15,22.6,40.9,,,,N,54,17:23,31.5,49,,NW,24,1011.0,38.5,26,,SW,15,1005.7
,2024-11-16,26.2,40.8,0,,,NNE,41,22:12,31.4,45,,NNW,15,1011.6,39.1,24,,NNE,11,1007.2
,2024-11-17,25.8,39.3,1.4,,,NE,39,05:41,29.4,52,,NNE,17,1013.2,38.5,28,,ESE,11,1008.0
,2024-11-18,25.3,36.0,0,,,W,37,14:07,30.0,44,,NNE,19,1012.9,34.6,31,,WNW,26,1009.3
,2024-11-19,24.3,37.6,0,,,SSE,50,00:39,29.3,43,,E,19,1011.9,36.2,25,,SE,15,1007.4
,2024-11-20,22.5,28.0,2.8,,,E,33,20:04,22.5,88,,ENE,13,1012.4,24.7,76,,ESE,20,1010.0
,2024-11-21,19.8,37.7,0.4,,,E,46,21:04,27.6,61,,E,13,1011.5,37.0,28,,SSW,13,1006.6
,2024-11-22,23.1,37.8,0,,,NE,43,17:26,29.2,51,,ENE,22,1013.0,36.6,28,,ESE,13,1007.7
,2024-11-23,24.2,38.9,0,,,E,43,20:37,30.3,47,,NE,20,1013.0,36.7,27,,ESE,15,1008.0
,2024-11-24,25.2,39.6,0,,,NE,39,02:00,30.5,43,,NE,20,1012.0,39.2,20,,ESE,19,1006.2
,2024-11-25,25.5,38.4,0,,,NE,35,02:06,30.7,41,,NNE,11,1010.4,37.1,23,,SE,17,1005.6
,2024-11-26,25.1,39.6,0,,,WSW,39,20:07,31.2,32,,NNW,15,1009.7,37.4,22,,NE,9,1003.7
,2024-11-27,24.6,37.0,5.0,,,SSW,44,13:47,31.3,45,,N,20,1008.4,33.7,45,,SW,31,1005.0
,2024-11-28,22.2,27.3,48.8,,,SE,37,02:57,22.8,96,,NE,11,1011.6,25.7,88,,WNW,11,1009.3
,2024-11-29,22.8,30.7,5.6,,,ESE,28,08:05,26.9,70,,ESE,20,1010.1,27.3,77,,SSW,20,1007.1
,2024-11-30,22.3,32.9,52.2,,,N,35,20:04,26.1,82,,NE,9,1010.0,31.6,52,,WNW,6,1005.7
