"Daily Weather Observations for Richmond Airport, Queensland for February 2025"
"Prepared at 13:01 UTC on Wednesday 20 August 2025   IDCJDW4100.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,25.1,35.9,0,,,ESE,61,15:38,29.5,53,,E,35,1004.4,34.4,42,,E,39,1000.9
,2025-02-2,22.4,28.4,8.6,,,E,69,15:55,22.9,91,,ESE,35,1004.4,27.2,69,,E,37,1001.2
,2025-02-3,22.3,32.9,2.4,,,NE,46,12:05,26.7,67,,E,28,1003.6,30.3,61,,NNE,20,1000.4
,2025-02-4,22.9,31.7,16.8,,,N,35,17:41,24.5,90,,ENE,9,1003.8,25.9,95,,ESE,17,1000.9
,2025-02-5,,,91.2,,,NNW,39,18:36,,,,NNE,20,1002.6,,,,NW,20,1000.5
,2025-02-6,,,18.4,,,WNW,39,12:00,,,,NNW,20,,,,,SSW,19,1001.9
,2025-02-7,,,78.4,,,W,30,12:31,,,,ESE,7,1004.4,,,,WNW,7,1001.9
,2025-02-8,,,5.0,,,NNE,28,15:12,,,,E,9,1003.1,,,,ENE,13,1000.1
,2025-02-9,,,3.2,,,ESE,31,14:34,,,,ENE,15,1003.8,,,,ESE,20,999.8
,2025-02-10,,,5.4,,,N,44,16:57,,,,E,19,1003.7,,,,E,13,1000.3
,2025-02-11,,,0,,,ESE,35,13:27,,,,ESE,20,1005.4,,,,ESE,20,1001.8
,2025-02-12,,,0,,,N,20,10:07,,,,N,7,1007.2,,,,E,9,1004.2
,2025-02-13,,,0,,,NNW,31,10:48,,,,NNW,17,1007.6,,,,NNW,17,1003.6
,2025-02-14,,,0,,,WNW,35,09:00,,,,NW,22,1007.4,,,,W,28,1003.7
,2025-02-15,,,0,,,S,31,10:02,,,,S,20,1005.9,,,,SSW,9,1002.9
,2025-02-16,,,0,,,S,39,13:36,,,,SE,24,1007.8,,,,SSE,19,1005.6
,2025-02-17,,,0,,,SSE,28,17:20,,,,E,9,1010.2,,,,SE,9,1006.8
,2025-02-18,,,0,,,,,,,,,NNE,7,1010.3,,,,N,9,1005.6
,2025-02-19,,37.4,,,,,,,,,,NW,6,1009.4,36.7,38,,NNW,13,1005.7
,2025-02-20,25.7,35.7,,,,NNW,31,11:03,29.4,55,,NNW,13,1010.3,34.2,38,,NE,11,1007.7
,2025-02-21,24.1,35.9,0,,,E,43,16:17,29.0,56,,ENE,19,1012.8,35.7,31,,ESE,26,1009.5
,2025-02-22,22.3,36.4,0,,,E,39,09:55,28.9,52,,ESE,19,1012.9,35.1,34,,ESE,22,1008.8
,2025-02-23,23.4,36.1,0,,,E,33,00:34,28.7,61,,E,17,1013.7,35.6,37,,E,13,1009.6
,2025-02-24,19.0,36.3,0,,,ESE,56,11:40,28.4,46,,ENE,15,1014.1,35.1,26,,ESE,19,1009.8
,2025-02-25,22.1,36.6,0,,,ESE,44,14:46,29.9,59,,E,13,1014.2,36.4,33,,E,20,1010.3
,2025-02-26,20.5,36.0,0,,,SE,46,15:05,29.4,56,,NE,17,1014.5,35.3,30,,SE,30,1009.7
,2025-02-27,20.5,36.7,0,,,ESE,41,11:16,29.3,48,,ENE,11,1012.8,35.8,25,,ESE,26,1009.1
,2025-02-28,19.0,37.9,0,,,ESE,48,12:45,29.4,47,,NE,9,1011.8,37.4,22,,ESE,28,1008.2
