"Daily Weather Observations for Richmond Airport, Queensland for June 2025"
"Prepared at 16:02 UTC on Saturday 16 August 2025   IDCJDW4100.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,7.1,29.3,0,,,ENE,26,09:07,16.4,72,,E,15,1017.6,28.7,30,,SSW,9,1013.7
,2025-06-2,11.2,30.1,0,,,W,33,14:15,20.4,68,, ,Calm,1015.2,29.5,33,,WSW,20,1011.6
,2025-06-3,8.7,26.9,0,,,SE,33,12:40,17.1,68,,SE,22,1017.2,26.2,28,,S,13,1013.3
,2025-06-4,8.7,25.9,0,,,SE,39,12:01,15.9,63,,ESE,20,1018.7,25.7,29,,ESE,24,1014.6
,2025-06-5,8.2,25.3,0,,,ESE,41,09:40,14.4,60,,ESE,28,1019.6,24.6,30,,ESE,22,1014.7
,2025-06-6,6.9,28.8,0,,,W,26,13:26,15.7,58,,E,15,1017.9,28.3,28,,N,13,1014.2
,2025-06-7,7.7,28.6,0,,,SSE,28,16:01,17.1,55,,S,7,1017.6,27.9,23,,SSW,13,1014.2
,2025-06-8,6.5,24.1,0,,,SE,41,09:12,14.8,55,,SE,26,1018.9,23.7,31,,SE,17,1014.4
,2025-06-9,4.0,23.0,0,,,SSE,35,09:18,13.7,59,,SSE,22,1018.3,22.5,29,,SSE,19,1014.0
,2025-06-10,2.7,22.3,0,,,ESE,35,08:37,12.5,56,,ESE,24,1018.9,22.1,29,,SSE,9,1014.5
,2025-06-11,1.5,23.4,0,,,ESE,35,09:49,12.1,48,,ESE,15,1018.7,22.8,25,,SSW,17,1014.4
,2025-06-12,-0.1,22.7,0,,,SSE,28,11:29,11.0,48,,ESE,13,1020.9,22.1,22,,SSE,15,1017.3
,2025-06-13,1.9,23.7,0,,,SE,44,11:57,13.2,39,,E,19,1022.1,23.2,18,,SE,24,1018.5
,2025-06-14,2.3,25.8,0,,,E,43,13:22,12.7,42,,E,19,1020.4,25.2,20,,ESE,22,1016.6
,2025-06-15,8.3,26.2,0,,,E,39,10:57,14.8,42,,E,19,1019.6,25.4,19,,ESE,24,1016.1
,2025-06-16,7.2,23.6,0,,,E,37,10:34,15.5,51,,E,13,1019.6,22.9,44,,ESE,19,1016.6
,2025-06-17,15.0,26.9,0,,,,,,17.6,74,,ESE,17,1019.6,26.2,43,,SSE,17,1016.9
,2025-06-18,8.8,25.5,,,,SE,43,13:05,16.8,79,,ESE,15,1020.3,25.0,43,,SE,22,1017.1
,2025-06-19,8.2,27.1,0,,,ESE,43,10:48,16.5,75,,E,20,1019.9,26.3,41,,ESE,28,1016.6
,2025-06-20,10.8,28.0,0,,,E,48,09:41,18.1,69,,E,17,1021.1,27.6,32,,ESE,24,1017.3
,2025-06-21,10.2,27.8,0,,,E,39,15:07,17.4,63,,E,20,1022.2,27.2,34,,ENE,20,1018.0
,2025-06-22,13.6,29.7,0,,,ENE,41,09:44,19.4,71,,ESE,19,1020.3,28.7,37,,ENE,15,1016.0
,2025-06-23,13.9,30.9,0,,,ENE,26,10:23,19.8,72,,E,17,1018.1,30.0,33,,E,9,1013.3
,2025-06-24,11.9,30.7,0,,,SSW,26,16:35,20.7,68,,NNE,13,1017.6,30.4,29,,SW,7,1014.2
,2025-06-25,9.7,25.6,0,,,SE,43,10:13,16.4,47,,SE,22,1023.5,24.6,24,,SSE,26,1019.7
,2025-06-26,3.4,25.2,0,,,ESE,41,10:45,12.4,51,,ESE,26,1024.1,24.8,20,,SE,20,1019.2
,2025-06-27,4.5,26.8,0,,,E,37,10:51,13.4,53,,ESE,19,1021.1,25.9,23,,ESE,22,1017.1
,2025-06-28,11.3,28.3,0,,,SE,35,20:58,16.7,62,,ESE,20,1018.8,27.6,43,,ENE,13,1015.6
,2025-06-29,16.6,25.6,0,,,ESE,30,00:09,18.5,71,,S,13,1019.4,24.1,56,,WNW,13,1016.9
,2025-06-30,10.2,25.0,0,,,SSE,43,15:27,14.6,98,,SSE,17,1021.0,24.4,31,,S,22,1017.6
