"Daily Weather Observations for Townsville, Queensland for October 2023"
"Prepared at 13:02 UTC on Wednesday 13 November 2024   IDCJDW4128.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,19.0,29.0,0,,,ENE,41,15:00,26.0,56,4,ESE,28,1019.3,26.4,62,,ENE,33,1015.9
,2023-10-2,18.5,29.0,0.8,,,ENE,41,13:31,25.0,70,8,SE,24,1019.9,26.5,63,,ENE,35,1016.4
,2023-10-3,20.1,28.5,3.4,,,SE,37,10:55,23.5,79,8,SE,15,1019.8,26.8,63,2,ENE,24,1016.3
,2023-10-4,22.3,29.4,0,,,ENE,37,16:04,26.0,71,4,ENE,19,1018.6,28.1,68,,NE,26,1014.9
,2023-10-5,21.0,30.0,0,,,NE,33,12:42,26.0,74,6, ,Calm,1019.1,27.8,64,,ENE,24,1014.7
,2023-10-6,20.8,30.1,0,,,NE,35,10:47,27.1,71,8,ESE,15,1018.4,28.0,67,,NE,26,1015.1
,2023-10-7,22.7,28.9,1.2,,,ESE,54,21:40,26.5,70,8,ENE,15,1019.3,27.9,68,,ENE,30,1016.8
,2023-10-8,21.1,30.1,2.8,,,E,52,10:55,26.4,54,8,ESE,26,1022.3,28.0,51,,ENE,37,1018.5
,2023-10-9,20.8,28.9,0,,,ENE,52,11:18,24.9,57,3,ESE,30,1021.4,26.4,56,3,ENE,33,1017.6
,2023-10-10,17.8,28.6,0,,,NE,39,14:11,26.4,59,2,ESE,20,1020.2,26.1,61,,NE,30,1016.0
,2023-10-11,18.7,29.7,0,,,ENE,46,15:32,25.9,56,,ESE,17,1020.3,26.7,58,,ENE,35,1016.9
,2023-10-12,17.6,29.8,0,,,ENE,48,10:51,25.5,59,8,ESE,22,1021.5,27.3,54,,ENE,28,1018.3
,2023-10-13,16.4,30.2,0,,,NE,30,13:29,26.4,56,2,S,9,1019.5,28.3,41,,ENE,17,1015.3
,2023-10-14,19.5,30.8,0,,,ENE,39,15:10,26.5,61,,SSE,4,1017.7,28.0,58,,ENE,30,1014.4
,2023-10-15,20.9,29.6,0,,,NE,33,14:01,27.0,58,,NE,13,1018.5,27.2,60,,ENE,28,1015.0
,2023-10-16,20.5,30.0,0,,,NNE,31,11:36,27.5,55,,NE,15,1017.0,28.9,45,,NE,17,1014.3
,2023-10-17,17.6,30.8,0,,,ENE,43,15:21,26.8,61,,NNW,7,1015.9,28.5,61,,ENE,28,1013.9
,2023-10-18,20.3,30.7,0,,,E,46,14:02,26.0,68,7,ESE,20,1020.1,28.4,60,6,ENE,35,1017.4
,2023-10-19,22.1,29.7,0,,,ENE,39,10:15,25.1,61,7,E,26,1020.3,27.1,56,1,ENE,30,1015.6
,2023-10-20,21.7,29.3,0,,,NE,35,12:00,25.8,58,3,ENE,17,1018.0,27.6,58,,NE,28,1014.2
,2023-10-21,20.8,29.6,0,,,NE,35,10:28,26.8,56,1,ENE,17,1018.1,28.7,51,,ENE,20,1014.4
,2023-10-22,18.9,29.6,0,,,NNE,30,10:55,26.6,56,1,ENE,13,1017.5,28.5,52,,NE,15,1013.8
,2023-10-23,20.1,31.3,0,,,NE,31,12:19,26.7,63,4,NW,13,1016.0,29.4,57,,ENE,20,1011.5
,2023-10-24,21.5,30.7,0,,,N,31,09:12,27.5,59,,NNE,13,1015.8,28.9,58,,ENE,22,1012.1
,2023-10-25,21.9,30.1,0,,,NE,35,14:10,27.6,61,3,NE,17,1016.6,28.2,60,,ENE,28,1012.7
,2023-10-26,21.5,31.0,0,,,ENE,31,13:27,27.5,62,7,NNW,13,1015.6,29.4,58,,ENE,20,1012.1
,2023-10-27,20.5,31.5,0,,,ENE,37,14:01,28.4,58,,E,9,1017.0,29.5,57,,NE,30,1013.1
,2023-10-28,22.0,30.1,0,,,ENE,48,13:05,27.7,53,1,ESE,28,1019.4,28.4,54,2,ENE,33,1016.6
,2023-10-29,21.9,29.7,0,,,ENE,48,13:12,27.0,53,8,E,24,1019.1,27.5,45,5,ENE,31,1015.9
,2023-10-30,18.2,29.8,0.2,,,NE,39,13:56,26.4,52,1,ENE,13,1018.5,28.3,52,,NE,30,1014.6
,2023-10-31,18.5,29.9,0,,,NE,31,12:01,26.9,53,,NE,15,1018.4,28.2,47,,NE,19,1014.6
