"Daily Weather Observations for Townsville, Queensland for January 2024"
"Prepared at 13:02 UTC on Sunday 10 November 2024   IDCJDW4128.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,22.8,31.7,0.4,,,SSW,74,04:16,27.5,80,5,NNW,11,1013.3,30.6,71,,ENE,22,1010.3
,2024-01-2,26.7,32.7,0,,,NE,30,10:07,29.4,76,1,E,13,1012.4,32.1,63,,N,17,1009.9
,2024-01-3,26.1,33.5,0,,,NE,35,16:42,30.8,69,,ENE,17,1012.8,32.5,59,,ENE,26,1009.5
,2024-01-4,25.4,33.3,0,,,ENE,35,16:39,30.8,72,1,NNE,15,1012.4,32.2,61,,NE,20,1009.6
,2024-01-5,26.5,34.9,0,,,NE,39,14:17,30.8,66,4,ENE,9,1012.3,32.3,58,,ENE,28,1010.1
,2024-01-6,26.1,33.7,0,,,ENE,35,12:58,31.4,63,5,E,17,1012.5,32.2,55,,NE,24,1009.2
,2024-01-7,25.7,33.6,0,,,NE,37,12:46,30.7,67,1,E,19,1012.4,32.4,62,,NE,28,1009.5
,2024-01-8,26.1,33.5,0,,,NE,37,15:01,30.4,68,1,E,20,1011.5,32.3,64,,ENE,30,1008.5
,2024-01-9,25.6,33.7,14.0,,,NE,31,13:12,26.9,88,8,ENE,6,1010.0,32.3,56,,ENE,19,1007.0
,2024-01-10,25.8,31.2,29.4,,,SE,43,21:42,30.2,73,8,ENE,11,1010.6,30.1,76,1,NE,13,1006.9
,2024-01-11,24.0,28.9,64.4,,,E,39,18:20,26.1,91,7,SE,13,1010.7,26.9,86,4,ESE,13,1008.4
,2024-01-12,24.1,30.7,6.6,,,NE,48,12:14,26.8,78,8,SE,19,1010.2,29.8,68,7,ESE,28,1007.7
,2024-01-13,25.0,31.7,0.4,,,ENE,41,14:25,29.5,75,2,ESE,22,1009.1,31.1,65,2,ENE,31,1006.0
,2024-01-14,25.0,30.0,12.6,,,N,37,10:34,25.6,95,8,N,9,1008.4,26.0,91,7,SE,15,1005.8
,2024-01-15,23.0,31.2,28.6,,,E,43,16:08,25.9,94,8,SSW,9,1007.6,30.2,73,8,E,20,1003.9
,2024-01-16,25.3,31.4,5.0,,,ESE,48,11:50,28.2,79,8,SE,24,1005.3,30.6,74,7,ESE,24,1002.5
,2024-01-17,25.6,32.1,5.2,,,E,50,15:27,29.3,80,1,SE,19,1005.9,31.4,72,,E,31,1002.1
,2024-01-18,26.6,32.2,0.2,,,ESE,33,08:47,29.4,78,8,ESE,17,1005.2,30.3,75,8,ENE,24,1002.8
,2024-01-19,25.7,31.2,17.8,,,ENE,37,15:35,26.4,91,8,W,7,1005.3,30.1,81,8,ENE,20,1002.4
,2024-01-20,24.6,31.6,18.4,,,E,39,01:15,27.7,87,8,ESE,13,1006.6,30.8,79,8,NE,24,1003.2
,2024-01-21,26.7,32.5,0,,,ENE,35,13:44,30.1,74,7,SE,11,1006.7,32.0,62,8,E,22,1004.2
,2024-01-22,26.5,33.4,0,,,NE,35,14:47,30.7,69,1,WSW,7,1006.6,31.4,74,,ENE,30,1003.2
,2024-01-23,25.4,33.9,0,,,ENE,33,18:22,30.7,63,1,ESE,13,1006.7,33.7,58,,ENE,17,1003.8
,2024-01-24,26.3,33.9,0,,,NE,26,17:28,29.9,66,,SW,13,1009.1,33.0,57,1,ENE,9,1005.4
,2024-01-25,25.9,29.4,0.8,,,SSE,93,19:42,26.0,79,8,SW,26,1004.6,27.6,84,5,SSW,43,997.7
,2024-01-26,24.8,32.0,27.8,,,N,83,00:18,28.9,88,8,N,24,1004.1,31.3,73,1,NNE,28,1001.7
,2024-01-27,28.2,32.3,0.2,,,N,33,13:50,30.2,88,7,N,17,1005.1,31.8,77,3,N,20,1001.5
,2024-01-28,27.1,33.3,0.2,,,N,35,17:47,31.1,69,,NW,20,1006.0,32.8,69,,N,19,1002.9
,2024-01-29,28.6,34.4,0,,,N,28,15:03,32.5,76,4,WNW,7,1007.3,33.9,63,,N,19,1004.2
,2024-01-30,28.1,33.8,0,,,WNW,54,18:20,31.7,76,8,NE,2,1007.1,33.3,79,,ENE,24,1003.5
,2024-01-31,24.3,31.6,6.4,,,SW,33,06:05,25.1,94,7,W,11,1008.5,31.1,73,6,N,9,1004.2
