"Daily Weather Observations for Townsville, Queensland for June 2024"
"Prepared at 13:02 UTC on Tuesday  5 November 2024   IDCJDW4128.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,20.0,28.3,,,,SSW,31,23:49,23.8,76,,ENE,2,1020.1,25.9,66,3,NE,17,1015.3
,2024-06-2,20.5,28.5,0,,,S,48,05:37,22.2,61,,SSW,33,1018.3,27.7,42,,S,20,1013.3
,2024-06-3,12.1,26.5,0,,,NE,35,15:25,21.0,38,,SSW,15,1017.1,24.8,41,,ENE,26,1012.7
,2024-06-4,13.5,26.1,0,,,ENE,35,18:39,21.7,67,,SSE,13,1017.3,25.0,57,,ENE,24,1014.5
,2024-06-5,17.5,28.7,0.6,,,SSW,33,11:48,22.2,83,8,WSW,7,1018.4,27.8,27,,SSW,13,1014.1
,2024-06-6,17.0,25.1,0,,,SSW,43,10:54,19.9,41,,SSW,26,1019.1,24.4,34,,SW,15,1015.2
,2024-06-7,14.3,27.4,0,,,,,,19.7,37,,SSW,28,1018.5,25.4,35,,NE,13,1013.5
,2024-06-8,8.1,26.1,0,,,ENE,31,13:04,19.4,34,,SSW,20,1018.8,24.3,36,,NE,22,1015.8
,2024-06-9,9.9,25.8,0,,,ENE,35,15:19,18.8,65,, ,Calm,1021.4,24.2,45,,NE,24,1017.8
,2024-06-10,10.3,27.0,0,,,NE,33,15:47,20.2,64,,S,9,1021.5,25.0,37,,NE,24,1017.7
,2024-06-11,11.5,26.4,0,,,NE,31,15:11,20.7,70,,SSW,2,1021.0,25.5,44,,NE,24,1017.6
,2024-06-12,12.0,27.1,0,,,NNE,26,13:22,21.3,72,, ,Calm,1019.2,26.8,53,,N,9,1014.6
,2024-06-13,11.6,29.0,0,,,ENE,37,16:09,24.2,25,,S,15,1017.2,25.4,47,,ENE,26,1014.1
,2024-06-14,11.8,25.4,0,,,NE,30,11:04,20.9,70,,E,6,1018.6,24.7,56,,NE,20,1015.3
,2024-06-15,11.0,26.6,0,,,NNW,26,13:11,20.3,79,, ,Calm,1016.9,24.5,63,,N,17,1012.4
,2024-06-16,11.2,29.4,0,,,SSE,31,11:40,22.7,36,,SW,9,1016.5,27.3,30,,NE,19,1013.0
,2024-06-17,11.5,28.1,0,,,SSW,35,11:27,21.1,36,,SSW,4,1018.0,27.7,21,,S,13,1014.0
,2024-06-18,10.7,25.8,0,,,NE,30,15:12,20.1,67,,NNW,4,1018.8,24.1,57,,NE,19,1015.3
,2024-06-19,12.3,26.0,0,,,NE,28,14:06,20.4,70,,S,7,1019.5,24.5,46,,NE,19,1015.4
,2024-06-20,11.8,26.3,0,,,NE,26,11:26,20.9,65,,W,6,1018.8,25.6,53,,NE,15,1016.2
,2024-06-21,13.0,27.0,0,,,E,30,11:52,21.6,73,,SSE,7,1019.5,25.9,58,8,NE,19,1016.2
,2024-06-22,18.6,22.0,0,,,SSW,30,10:18,21.1,51,8,S,9,1019.4,20.7,71,8,S,13,1016.5
,2024-06-23,12.2,26.1,1.0,,,NE,33,14:49,19.9,78,,SE,2,1018.6,24.2,67,,NE,28,1015.0
,2024-06-24,14.5,25.1,0,,,NE,31,14:47,20.7,61,,SE,9,1017.7,23.6,52,,NE,26,1015.3
,2024-06-25,13.7,22.9,0,,,E,26,11:41,20.3,75,8,SSE,7,1017.9,20.0,94,8,SSW,15,1015.7
,2024-06-26,19.8,23.4,10.6,,,SE,31,10:44,20.9,91,7, ,Calm,1019.2,22.1,94,7, ,Calm,1015.8
,2024-06-27,20.7,28.3,3.2,,,ENE,28,12:18,23.3,94,8,S,6,1018.2,26.1,79,8,ENE,15,1015.4
,2024-06-28,21.2,27.5,2.0,,,E,31,18:55,22.3,92,8,SE,11,1019.5,25.6,76,8,ENE,20,1017.0
,2024-06-29,22.0,27.9,0.6,,,ENE,41,16:51,24.2,85,8,ESE,15,1020.9,26.4,70,6,ENE,20,1018.1
,2024-06-30,17.6,27.7,0.8,,,E,31,13:20,22.8,89,8,SE,9,1020.2,26.3,72,,NE,17,1016.0
