"Daily Weather Observations for Townsville, Queensland for August 2024"
"Prepared at 13:02 UTC on Sunday  3 November 2024   IDCJDW4128.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,15.3,26.4,0,,,ESE,50,10:42,22.1,60,3,SSE,15,1024.6,23.4,56,8,E,30,1020.9
,2024-08-2,14.2,26.2,0,,,ENE,50,12:37,22.2,64,4,SE,19,1023.8,24.1,46,8,ENE,30,1020.1
,2024-08-3,13.0,25.5,0,,,E,52,15:25,21.2,57,,SE,17,1024.2,23.2,56,,E,37,1021.3
,2024-08-4,14.8,25.9,0,,,E,52,13:38,22.0,65,5,SE,26,1023.0,22.6,71,8,ENE,28,1019.8
,2024-08-5,17.7,26.8,0,,,ENE,37,14:58,22.7,64,8,SE,17,1022.0,24.4,60,8,ENE,28,1018.7
,2024-08-6,14.1,26.1,0,,,ENE,33,11:44,21.7,74,,SSE,11,1021.2,23.3,69,7,NE,20,1018.0
,2024-08-7,16.7,27.4,0,,,ENE,41,14:40,23.2,71,7,S,7,1020.4,24.1,69,,ENE,30,1017.1
,2024-08-8,18.4,27.1,0,,,ENE,41,15:19,23.4,65,,SE,13,1021.2,24.5,63,,ENE,31,1018.3
,2024-08-9,16.8,26.8,0,,,ENE,41,14:15,22.9,62,1,SSE,20,1021.8,24.3,57,,ENE,31,1017.5
,2024-08-10,13.9,26.9,0,,,E,44,20:37,21.1,67,6,S,9,1020.2,25.5,59,1,ENE,30,1016.8
,2024-08-11,17.9,19.8,9.0,,,W,50,21:34,19.2,92,8,SSE,20,1018.7,19.1,91,8,SW,22,1016.5
,2024-08-12,16.9,20.6,67.2,,,SSW,35,03:26,17.2,94,7,SW,15,1019.5,20.2,86,8,SE,13,1015.3
,2024-08-13,14.5,26.5,3.4,,,SW,26,08:42,19.4,72,,SW,19,1017.2,24.8,57,,NE,15,1012.4
,2024-08-14,13.5,26.3,0,,,NE,26,12:24,21.7,77,,WNW,4,1016.2,26.0,53,,NE,15,1011.8
,2024-08-15,14.1,28.2,0.2,,,ENE,30,14:01,22.0,71,, ,Calm,1016.5,26.0,52,,ENE,17,1012.3
,2024-08-16,16.1,27.3,0,,,NW,26,12:21,23.8,78,,NNW,4,1016.8,26.6,56,,NW,13,1012.2
,2024-08-17,16.1,27.6,0,,,NE,26,13:04,23.0,78,,SW,6,1017.0,26.3,50,,NE,17,1012.8
,2024-08-18,15.5,29.7,0,,,NE,28,13:19,22.7,71,,S,7,1016.8,29.0,51,,NE,11,1012.6
,2024-08-19,14.9,27.4,0,,,E,39,23:03,22.5,79,1,ESE,13,1019.0,25.2,72,2,NE,26,1016.8
,2024-08-20,21.8,27.3,0.2,,,ENE,44,10:45,23.0,76,8,ESE,20,1021.9,25.5,62,8,E,26,1018.6
,2024-08-21,16.9,26.8,0,,,NE,37,12:54,23.3,71,,E,13,1021.9,24.7,70,,NE,28,1018.6
,2024-08-22,15.5,27.4,0,,,ENE,33,12:14,23.1,69,,ESE,4,1020.8,25.7,58,,ENE,24,1017.7
,2024-08-23,16.9,27.5,0,,,NE,37,14:08,23.7,69,,ESE,11,1021.8,25.1,75,,NE,30,1018.0
,2024-08-24,16.7,27.6,0,,,NE,37,14:56,23.4,73,1,SE,13,1021.5,25.8,68,,NE,31,1017.9
,2024-08-25,17.0,27.4,0,,,ENE,37,10:37,23.6,71,,SE,19,1020.4,25.0,64,,NE,24,1015.9
,2024-08-26,15.8,28.2,0,,,E,43,11:27,23.4,73,,ESE,11,1018.9,26.4,59,,NE,24,1015.8
,2024-08-27,16.9,28.1,0,,,ENE,39,15:11,23.7,71,,SE,15,1020.9,25.8,63,,ENE,31,1016.8
,2024-08-28,18.9,27.9,0.2,,,ENE,37,14:04,20.9,93,8,SSE,15,1020.6,26.3,64,,NE,30,1016.8
,2024-08-29,17.7,27.4,0.2,,,NE,31,13:35,24.4,74,8,SE,11,1018.5,25.7,71,,NE,24,1014.4
,2024-08-30,16.2,27.5,0,,,NE,30,15:51,22.6,85,3,SW,2,1016.8,26.9,58,,NE,19,1013.0
,2024-08-31,15.9,27.7,0,,,NE,30,14:29,25.0,77,1,NE,4,1017.4,26.6,65,,ENE,20,1014.5
