"Daily Weather Observations for Townsville, Queensland for May 2025"
"Prepared at 13:02 UTC on Sunday 17 August 2025   IDCJDW4128.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,20.1,31.3,0,,,ESE,39,23:54,27.0,54,,SE,13,1016.8,29.3,56,8,E,24,1014.3
,2025-05-2,22.3,26.2,0.2,,,,,,23.1,81,8,SSE,17,1018.0,25.1,69,8,SSE,22,1015.9
,2025-05-3,21.7,27.8,0.6,,,SE,50,00:25,24.0,64,8,S,19,1019.6,25.2,67,8,S,22,1017.0
,2025-05-4,20.7,29.2,2.6,,,ESE,56,11:58,23.7,69,8,SSE,20,1020.0,27.3,56,8,ESE,33,1016.5
,2025-05-5,20.4,30.6,0.2,,,ESE,44,12:05,25.6,66,1,SSE,20,1019.0,28.9,56,,E,30,1015.5
,2025-05-6,18.8,30.5,0,,,ESE,35,13:14,25.5,64,,SE,17,1016.8,27.0,64,8,NE,24,1012.9
,2025-05-7,19.6,30.7,0,,,ESE,44,10:47,25.8,68,7,SSE,22,1015.5,29.2,59,,E,26,1012.8
,2025-05-8,20.6,30.6,0,,,ESE,41,11:43,26.3,55,,SE,26,1017.2,27.9,55,,ENE,28,1014.1
,2025-05-9,17.5,29.7,0,,,SE,57,23:28,25.7,49,,SSE,15,1018.4,28.5,48,,ESE,28,1014.8
,2025-05-10,21.6,28.1,0,,,SE,48,22:23,25.2,59,8,SSE,22,1016.8,26.7,57,8,SSE,19,1013.7
,2025-05-11,22.1,29.8,0,,,SE,44,10:21,25.1,63,6,SSE,19,1016.4,28.7,52,2,ENE,22,1013.4
,2025-05-12,21.8,30.2,0,,,ESE,39,12:03,26.3,57,,SE,20,1016.3,28.6,58,,ENE,24,1013.2
,2025-05-13,23.0,28.0,0,,,ESE,39,17:17,25.9,67,8,SSE,17,1016.9,27.5,63,7,ESE,24,1014.3
,2025-05-14,20.6,30.0,0,,,NE,30,13:57,25.8,65,4,SE,7,1016.0,26.6,66,7,NE,19,1012.8
,2025-05-15,19.2,29.5,0,,,NE,28,15:05,25.2,72,1,ESE,9,1014.2,28.6,62,,NE,20,1011.2
,2025-05-16,20.3,30.6,0,,,ENE,30,15:49,26.4,70,7,SSW,11,1013.8,28.7,65,,ENE,20,1010.6
,2025-05-17,22.4,31.0,0,,,SSW,44,09:02,24.8,64,,SSW,31,1014.4,30.2,46,1,S,19,1011.1
,2025-05-18,21.3,30.0,0,,,SSE,39,15:31,24.7,41,,SSW,24,1016.0,28.9,46,,SSE,9,1013.2
,2025-05-19,18.8,28.3,0,,,SSE,35,15:54,23.5,43,,SSW,19,1017.2,27.3,33,,SE,17,1014.6
,2025-05-20,13.2,27.3,0,,,NE,30,13:39,22.2,38,,S,11,1018.4,26.6,31,,ENE,15,1015.0
,2025-05-21,12.9,28.4,0,,,ENE,30,16:04,23.2,53,,SW,7,1017.1,27.9,41,1,NE,17,1013.2
,2025-05-22,15.7,28.8,0,,,ENE,33,16:01,23.1,73,,WSW,9,1014.7,26.7,59,,ENE,26,1011.1
,2025-05-23,16.9,28.7,0,,,NE,30,11:31,24.0,72,2,SSE,6,1015.6,26.4,64,,ENE,22,1012.1
,2025-05-24,19.8,28.3,0,,,ESE,28,15:14,23.8,80,8,ESE,9,1017.4,26.8,74,8,ESE,17,1014.2
,2025-05-25,23.3,30.3,0.4,,,ESE,33,10:07,26.8,76,8,ESE,20,1018.3,28.0,69,,ENE,28,1015.1
,2025-05-26,22.8,29.5,0,,,ENE,39,11:36,26.0,70,1,ESE,22,1018.3,27.7,66,,ENE,28,1015.1
,2025-05-27,18.7,30.4,0,,,ENE,28,13:05,24.8,78,3,SE,9,1017.7,29.6,58,1,ENE,15,1014.1
,2025-05-28,21.9,30.1,0,,,ENE,30,14:18,25.9,79,8,SSW,9,1017.0,28.3,72,,ENE,19,1013.3
,2025-05-29,22.7,28.2,33.8,,,SSW,39,21:23,23.0,96,8,SE,2,1016.6,26.4,77,8,N,20,1012.7
,2025-05-30,15.8,23.4,11.4,,,SSW,39,12:51,18.0,76,8,SSW,28,1019.9,22.3,61,8,SSW,22,1016.7
,2025-05-31,17.9,27.8,0,,,SSW,39,08:41,21.2,51,,SSW,28,1019.6,27.2,41,,S,20,1015.8
