"Daily Weather Observations for Mount Gambier, South Australia for November 2023"
"Prepared at 13:02 UTC on Tuesday 12 November 2024   IDCJDW5041.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,7.1,18.1,0,,,SSW,33,15:01,12.1,72,8,SW,11,1026.8,16.5,55,8,SSE,24,1025.8
,2023-11-2,6.5,18.4,0,,,,,,13.1,72,8,SE,17,1026.1,17.5,59,,S,26,1023.3
,2023-11-3,10.4,18.2,0,,,SSW,43,13:20,13.7,68,8,ESE,20,1024.6,16.9,54,,SSE,28,1023.3
,2023-11-4,7.6,18.2,0,,,SSE,50,14:02,12.6,55,8,SE,31,1027.1,17.4,51,,S,35,1025.5
,2023-11-5,7.6,24.7,0,,,ESE,37,07:55,14.4,74,8,ESE,22,1026.3,23.8,39,,ENE,17,1021.8
,2023-11-6,8.8,28.9,0,,,WSW,37,14:10,19.6,62,,NNE,20,1018.2,27.3,29,,NW,22,1015.9
,2023-11-7,11.8,26.0,0,,,SW,33,14:58,16.5,74,5,WSW,7,1016.9,24.8,46,,SW,17,1013.6
,2023-11-8,6.6,21.3,0,,,SSW,31,12:44,16.3,72,7,SW,19,1015.6,18.8,58,8,SSW,19,1014.6
,2023-11-9,12.6,22.2,0,,,S,28,10:53,15.1,80,7,SW,11,1016.6,20.9,52,,SW,13,1013.6
,2023-11-10,6.1,34.9,0,,,NNW,37,12:21,20.2,62,,NNE,15,1013.1,33.2,18,,N,24,1008.1
,2023-11-11,12.0,19.3,0,,,SW,46,02:18,15.2,62,7,SW,24,1018.5,18.5,42,,SSW,26,1019.9
,2023-11-12,9.1,16.2,0,,,WSW,48,11:57,13.5,54,5,WSW,28,1023.1,15.5,53,8,SW,26,1023.7
,2023-11-13,6.1,19.6,0,,,SW,39,12:49,14.0,67,8,WSW,13,1023.0,19.1,44,,SSW,20,1020.4
,2023-11-14,10.6,18.2,0.8,,,SSW,30,15:33,12.2,89,8,WSW,9,1019.5,17.0,62,8,SSW,20,1018.0
,2023-11-15,7.0,18.3,0,,,SSW,35,15:11,14.8,58,8,NE,7,1016.6,17.4,53,8,WSW,17,1015.6
,2023-11-16,8.6,19.1,0,,,SW,48,14:55,13.8,70,8,SSW,31,1017.9,17.4,48,8,SSW,30,1018.6
,2023-11-17,9.5,19.5,0,,,SSW,35,14:47,13.9,63,8,S,15,1023.9,18.8,52,4,S,20,1022.5
,2023-11-18,10.6,22.5,0,,,SSW,33,15:16,13.4,76,8,S,11,1022.5,21.4,44,,SSW,15,1018.9
,2023-11-19,8.1,23.1,0,,,SW,33,14:54,15.3,81,8,SSW,9,1019.7,21.8,46,,S,15,1018.1
,2023-11-20,11.6,21.7,0,,,S,37,17:52,15.9,70,8,SE,17,1021.3,20.4,56,8,S,20,1019.4
,2023-11-21,11.2,18.4,0,,,SSE,44,16:56,14.9,77,8,SSE,22,1022.5,17.3,61,8,SSE,26,1022.3
,2023-11-22,12.0,21.9,0,,,,,,16.3,60,7,SSE,26,1026.8,19.5,50,3,S,33,1024.9
,2023-11-23,10.7,22.2,,,,SE,43,09:24,15.6,71,8,SE,22,1025.5,19.6,64,8,S,26,1022.2
,2023-11-24,13.3,25.6,18.2,,,NE,37,15:04,14.5,97,8,ESE,13,1015.4,23.7,62,8,ENE,26,1011.1
,2023-11-25,14.5,21.3,18.8,,,W,41,13:10,15.9,94,7,NW,11,1009.7,16.3,91,7,WSW,24,1009.7
,2023-11-26,12.5,19.0,1.0,,,SSW,44,12:54,15.6,85,7,SSE,24,1015.9,16.3,70,8,SSE,28,1016.6
,2023-11-27,10.4,19.5,0.2,,,SSE,48,15:49,14.0,70,8,SE,19,1017.6,17.7,58,8,SSE,28,1015.6
,2023-11-28,8.8,23.5,0,,,S,46,16:22,16.3,79,7,SSE,22,1013.9,22.3,58,,S,24,1009.7
,2023-11-29,14.4,20.7,0,,,SE,57,11:22,16.8,80,8,SE,28,1011.5,19.0,67,8,SE,37,1011.6
,2023-11-30,12.0,23.0,0,,,ESE,52,09:51,18.3,59,1,SE,26,1014.7,20.2,53,7,SSE,26,1012.4
