"Daily Weather Observations for Mount Gambier, South Australia for February 2024"
"Prepared at 13:02 UTC on Saturday  9 November 2024   IDCJDW5041.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,11.9,23.4,0,,,SW,46,15:47,17.8,73,8,W,20,1018.4,22.2,53,8,SW,26,1017.0
,2024-02-2,13.9,24.7,0.4,,,S,39,12:34,17.1,72,7,SW,19,1016.8,23.9,32,,SSW,20,1015.4
,2024-02-3,6.7,30.6,0,,,NW,37,09:19,17.5,64,,NNW,15,1011.8,27.5,37,,W,26,1008.8
,2024-02-4,13.3,35.7,0,,,SSW,54,15:23,15.8,97,6,NE,9,1004.7,33.2,25,,SW,20,999.5
,2024-02-5,12.4,22.7,0,,,SSW,48,13:22,17.8,60,7,SW,28,1009.7,21.2,41,3,S,26,1011.6
,2024-02-6,6.3,23.3,0,,,SW,43,12:54,16.9,55,,WSW,15,1020.8,22.0,37,6,SW,26,1021.0
,2024-02-7,7.7,24.4,0,,,SSW,43,15:10,17.1,75,8,W,4,1025.4,22.4,40,6,S,26,1025.4
,2024-02-8,8.6,24.4,0,,,SSW,54,13:08,17.4,64,,SE,19,1027.0,22.8,45,,S,28,1025.0
,2024-02-9,10.2,24.4,0,,,SSE,48,11:48,18.0,60,2,SE,22,1027.5,22.3,44,,S,30,1026.4
,2024-02-10,13.5,25.3,0,,,SSE,43,13:04,17.2,57,6,SSE,28,1027.1,23.4,45,,SSE,28,1023.2
,2024-02-11,10.6,31.0,0,,,SW,39,13:22,16.1,98,8,SW,7,1019.6,28.7,41,,SSW,26,1016.7
,2024-02-12,11.0,33.2,0.2,,,WSW,35,14:10,18.0,83,,SSE,15,1016.1,31.7,18,,W,24,1012.4
,2024-02-13,12.9,26.4,0,,,W,70,16:11,19.1,79,7,SW,20,1007.3,21.6,55,4,WNW,39,1007.6
,2024-02-14,9.3,20.8,0,,,SW,39,23:33,14.6,48,,SSW,24,1019.4,19.1,35,1,SSW,20,1020.2
,2024-02-15,4.2,23.2,0,,,S,48,15:08,14.1,59,6,NNE,9,1023.6,22.1,40,1,S,13,1022.3
,2024-02-16,7.1,26.3,0,,,SSW,39,14:39,17.0,68,,SE,19,1023.7,25.0,43,,SSE,24,1021.3
,2024-02-17,10.0,28.1,0,,,S,39,14:55,17.8,73,,ESE,19,1023.0,26.0,43,6,S,26,1021.3
,2024-02-18,10.3,26.3,0,,,S,41,17:09,17.5,71,6,SE,20,1022.8,24.9,45,,S,24,1021.0
,2024-02-19,9.9,27.9,0,,,S,35,15:36,17.7,72,,SE,20,1021.7,26.9,39,,S,26,1018.6
,2024-02-20,13.8,28.5,0,,,E,31,05:38,16.8,84,8,SSW,13,1016.0,24.7,44,8,N,7,1014.8
,2024-02-21,10.6,37.5,0,,,,,,21.7,66,,E,11,1013.3,36.6,15,,N,20,1008.8
,2024-02-22,21.8,31.9,,,,WSW,59,11:06,27.3,38,,N,26,1004.6,27.3,44,,WNW,26,1005.3
,2024-02-23,14.7,20.2,0,,,SSW,52,09:52,16.3,52,8,SW,24,1014.6,17.7,48,8,SW,31,1017.1
,2024-02-24,13.8,24.7,0,,,S,41,14:06,16.2,61,8,SE,15,1022.3,23.2,39,,SSW,24,1019.5
,2024-02-25,8.7,24.1,0,,,SW,37,14:38,17.7,57,,NNW,17,1015.4,22.2,51,7,SW,26,1015.1
,2024-02-26,11.1,23.8,0,,,SSE,43,12:59,16.2,64,,SE,17,1020.7,22.5,43,2,S,28,1019.0
,2024-02-27,8.4,32.6,0,,,NNW,30,13:07,15.1,70,,E,13,1015.2,31.2,20,,NW,13,1011.0
,2024-02-28,15.1,35.8,0,,,NW,70,15:23,28.8,27,8,NNE,28,1006.1,27.9,41,,WNW,33,1005.5
,2024-02-29,15.9,26.8,0,,,W,33,23:07,18.7,71,3,W,15,1015.3,25.8,37,,SSW,20,1015.2
