"Daily Weather Observations for Mount Gambier, South Australia for April 2024"
"Prepared at 16:02 UTC on Thursday  7 November 2024   IDCJDW5041.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,11.6,23.3,0.2,,,ENE,39,17:46,15.8,78,1,N,11,1012.3,20.3,67,8,SW,19,1011.9
,2024-04-2,13.1,16.6,11.4,,,SW,59,12:14,14.6,93,,WSW,26,1013.4,15.6,72,8,WSW,26,1016.5
,2024-04-3,10.1,17.5,1.6,,,,,,12.2,97,,NW,9,1022.3,14.3,86,8,SSW,26,1022.7
,2024-04-4,7.5,17.8,1.0,,,SSE,35,13:13,11.9,97,7,S,9,1028.5,16.2,61,8,SSE,20,1027.4
,2024-04-5,11.9,21.8,0,,,SE,46,11:25,14.3,65,8,SSE,15,1029.6,19.8,56,,S,30,1025.8
,2024-04-6,9.1,23.0,0,,,S,37,13:45,12.7,94,7,SE,7,1021.9,21.5,59,6,S,26,1017.1
,2024-04-7,12.6,17.6,2.2,,,SSW,37,06:26,15.3,87,7,SSW,24,1016.2,17.1,64,8,SSW,20,1014.6
,2024-04-8,7.6,17.4,2.0,,,SSW,48,12:43,14.1,95,6,NW,19,1013.0,13.5,91,8,SSW,19,1012.6
,2024-04-9,7.4,16.0,4.0,,,SSW,41,09:46,13.5,73,7,SSW,24,1021.7,14.2,55,8,SW,22,1022.3
,2024-04-10,10.2,17.6,0.2,,,SW,39,14:49,14.6,89,8,WSW,13,1024.7,15.4,81,8,SW,19,1023.6
,2024-04-11,12.2,15.9,0.2,,,WSW,28,13:08,14.1,83,8,W,13,1025.7,13.4,92,8,SSW,17,1024.6
,2024-04-12,10.8,18.7,1.4,,,WSW,33,14:42,14.1,81,2,NNW,11,1024.8,16.7,65,8,WSW,22,1022.2
,2024-04-13,9.4,17.0,0.4,,,WSW,19,13:34,12.9,96,8,NW,9,1025.2,16.1,72,8,WNW,9,1023.6
,2024-04-14,8.9,18.7,0,,,WNW,30,13:33,15.8,71,6,NNW,13,1024.6,17.2,66,8,W,17,1022.9
,2024-04-15,6.6,20.5,0,,,WSW,31,11:43,14.5,90,,NW,9,1025.6,18.2,59,8,SW,20,1024.0
,2024-04-16,6.5,18.5,0.2,,,SSW,30,14:49,14.7,86,1,NW,9,1027.1,13.9,91,8,SW,22,1025.1
,2024-04-17,10.2,18.0,6.4,,,SSE,35,10:55,13.2,94,8,SSE,13,1028.9,15.9,63,1,SSW,20,1026.9
,2024-04-18,9.2,16.0,0,,,SW,50,19:48,14.3,78,8,NW,17,1024.5,13.9,92,7,W,20,1021.0
,2024-04-19,10.0,18.0,8.2,,,SSE,46,12:08,13.3,82,8,S,24,1025.1,16.9,63,2,S,24,1026.6
,2024-04-20,11.5,17.9,0,,,SSE,30,12:26,13.6,68,7,SSE,15,1032.8,16.1,60,,S,20,1030.9
,2024-04-21,4.8,18.1,0,,,S,26,13:19,13.0,75,8,SSW,9,1032.5,17.4,54,2,S,13,1029.5
,2024-04-22,2.0,22.5,0,,,N,33,11:49,10.8,85,,N,15,1026.9,22.2,32,,NNW,22,1022.7
,2024-04-23,5.2,24.8,0,,,SW,57,17:10,15.9,43,,N,28,1016.6,18.7,61,8,WNW,24,1013.4
,2024-04-24,5.5,16.1,7.0,,,SSW,39,09:53,12.5,71,6,SW,24,1025.9,14.0,58,8,SW,24,1026.3
,2024-04-25,7.1,16.1,1.2,,,SSW,35,10:56,12.2,92,8,SW,13,1027.8,14.2,70,7,SW,26,1027.3
,2024-04-26,7.1,16.0,0,,,WSW,28,15:58,11.8,84,8,WNW,9,1029.0,14.7,66,8,S,13,1027.2
,2024-04-27,9.7,16.4,0,,,NW,26,11:51,12.0,62,8,N,9,1027.6,15.5,53,5,NNW,7,1024.9
,2024-04-28,6.5,21.2,0,,,NW,46,15:04,12.5,60,,N,17,1022.2,20.1,30,,NW,24,1018.1
,2024-04-29,9.5,17.0,2.2,,,SSW,37,10:18,13.6,79,8,SSW,13,1025.6,14.6,56,6,S,24,1026.9
,2024-04-30,6.6,16.5,0,,,SSE,41,13:16,12.2,67,8,SSE,15,1034.1,13.4,65,6,SSE,24,1032.6
