"Daily Weather Observations for Mount Gambier, South Australia for October 2024"
"Prepared at 13:02 UTC on Thursday 14 November 2024   IDCJDW5041.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,9.5,17.9,0.6,,,SW,37,10:47,14.5,73,8,WSW,19,1026.5,15.6,64,5,SW,19,1026.4
,2024-10-2,3.0,20.4,0,,,ENE,24,09:03,14.0,79,,ENE,15,1030.0,19.9,46,,S,6,1026.7
,2024-10-3,7.1,27.7,0,,,NNE,63,14:07,18.9,54,,NE,22,1021.2,27.2,26,1,N,35,1013.7
,2024-10-4,13.9,20.3,4.8,,,NNW,59,12:31,17.5,66,,NNW,28,1007.8,16.0,80,8,NW,22,1007.3
,2024-10-5,10.5,15.7,5.8,,,WNW,52,10:02,13.9,70,8,WNW,26,1006.3,14.4,69,8,WNW,26,1005.6
,2024-10-6,10.9,18.2,4.8,,,W,63,,13.9,75,1,W,31,1011.3,16.9,67,8,NW,31,1012.4
,2024-10-7,12.0,15.8,4.2,,,W,69,02:50,12.0,91,8,WSW,33,1017.2,14.3,62,8,SW,30,1020.3
,2024-10-8,2.5,16.0,0.2,,,SSW,30,15:43,10.8,68,6, ,Calm,1029.1,14.1,50,6,S,17,1028.0
,2024-10-9,2.2,20.4,0,,,N,43,22:49,8.8,73,,NE,11,1026.2,19.4,45,,NW,11,1020.7
,2024-10-10,8.7,17.5,0,,,WSW,50,03:08,13.5,63,8,SW,26,1022.6,16.5,53,8,SSW,26,1024.1
,2024-10-11,5.7,17.4,0,,,SW,41,13:22,12.8,70,5,WSW,15,1027.8,15.4,59,6,SW,24,1028.1
,2024-10-12,3.4,20.9,0,,,ESE,30,08:29,11.8,74,,SE,13,1029.9,19.7,50,,ENE,13,1025.9
,2024-10-13,7.4,22.4,0,,,NNW,52,13:35,14.9,54,7,NNE,20,1018.9,18.6,61,8,NNW,31,1016.3
,2024-10-14,9.5,20.7,0,,,ESE,37,09:43,13.4,95,8,SE,17,1019.9,20.4,61,6,E,24,1018.1
,2024-10-15,10.4,22.0,0.4,,,ENE,39,11:36,14.3,87,8,NNE,19,1017.3,19.6,67,5,ENE,20,1014.4
,2024-10-16,13.5,27.1,0.6,,,SSW,39,14:08,19.3,77,,NNE,30,1014.4,25.3,56,8,NW,7,1012.3
,2024-10-17,15.8,,0.4,,,,,,21.6,72,7,NNE,30,1008.0,23.0,73,8,N,24,1006.0
,2024-10-18,13.9,14.5,,,,WSW,57,14:55,14.1,97,8,SSW,31,999.5,12.9,96,8,WSW,35,1006.3
,2024-10-19,8.4,17.6,3.4,,,SW,31,08:06,13.0,86,8,SSW,15,1019.7,16.5,64,8,SSW,19,1021.4
,2024-10-20,9.0,20.9,0.2,,,ESE,30,18:17,14.7,95,8,SE,13,1025.3,20.1,66,4,SSE,13,1023.9
,2024-10-21,7.7,25.5,0,,,ENE,30,06:42,13.4,85,,ENE,17,1019.7,24.1,50,,N,13,1015.3
,2024-10-22,13.3,17.6,0,,,SW,37,08:09,15.3,88,8,SW,24,1013.4,16.6,67,4,SSW,22,1015.1
,2024-10-23,5.3,18.2,0,,,W,59,13:51,13.9,74,1,WNW,13,1013.4,12.1,89,8,W,43,1012.5
,2024-10-24,5.8,16.4,1.0,,,W,57,13:04,13.1,59,5,SW,22,1018.4,14.7,49,1,W,35,1018.3
,2024-10-25,7.1,17.5,1.4,,,WSW,28,01:09,12.7,67,7,SW,13,1023.2,17.1,46,,SSW,13,1021.9
,2024-10-26,4.7,22.2,0,,,NNW,41,12:02,13.5,64,,NNE,24,1019.2,21.4,38,7,N,17,1015.2
,2024-10-27,10.1,20.6,0,,,WSW,41,13:56,16.8,76,,WSW,13,1016.9,17.0,68,5,SW,28,1018.3
,2024-10-28,7.3,18.3,0,,,SW,33,14:02,13.9,69,6,SW,17,1025.6,17.1,56,1,SSW,24,1026.0
,2024-10-29,6.0,19.3,0,,,SW,33,14:59,14.9,72,6,SW,13,1028.1,18.4,59,,SW,19,1026.3
,2024-10-30,11.3,18.7,0,,,SW,37,12:30,13.8,71,8,WNW,7,1020.7,17.7,57,1,W,24,1017.8
,2024-10-31,7.0,18.3,0.6,,,SSW,41,13:01,14.0,92,8,SW,17,1016.3,17.3,60,8,SSW,22,1016.9
