"Daily Weather Observations for Nuriootpa, South Australia for December 2023"
"Prepared at 13:02 UTC on Monday 11 November 2024   IDCJDW5049.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,13.5,26.6,0,8.0,,SW,54,14:13,17.5,68,,E,13,1010.1,25.0,42,,SSW,20,1007.4
,2023-12-2,10.4,22.3,0,4.0,,WSW,35,12:38,16.5,73,,SSW,17,1013.1,21.3,46,,S,13,1013.0
,2023-12-3,10.4,29.7,0,6.8,,WSW,33,14:47,17.2,57,,E,15,1016.7,28.1,22,,NW,11,1013.4
,2023-12-4,12.3,37.4,0,8.0,,W,52,14:33,29.0,23,,NNW,7,1013.9,36.5,13,,W,33,1012.0
,2023-12-5,18.0,32.4,0,,,SW,43,13:34,27.3,32,,NNE,9,1014.3,27.1,37,,SW,24,1014.9
,2023-12-6,14.4,35.3,0,24.0,,SE,39,23:38,19.6,53,,ENE,24,1018.6,32.6,23,,NNE,11,1014.9
,2023-12-7,17.3,27.9,0,4.0,,ESE,39,05:28,21.0,42,,ENE,9,1016.8,25.1,39,,ENE,19,1013.5
,2023-12-8,21.0,38.0,0.6,4.6,,W,74,14:24,25.9,50,,NNW,6,1008.5,35.1,21,,NW,31,1004.9
,2023-12-9,14.6,15.6,1.6,9.6,,SE,50,16:53,15.3,92,,SE,15,1013.6,14.2,91,,S,15,1015.5
,2023-12-10,11.7,17.3,22.0,6.0,,SSE,57,12:05,12.0,92,,S,13,1017.4,14.1,83,,WNW,4,1012.5
,2023-12-11,11.9,26.3,4.4,0.8,,SE,70,07:30,17.0,87,,SE,41,1007.0,24.4,75,,NNW,9,1008.8
,2023-12-12,16.4,25.3,8.2,4.2,,W,31,10:48,16.8,94,,W,7,1012.2,24.4,59,,W,15,1009.6
,2023-12-13,12.6,26.4,0,4.0,,WNW,61,15:54,23.1,47,,NNW,15,1008.1,23.1,51,,WNW,30,1006.2
,2023-12-14,14.5,21.7,0.8,4.8,,,,,16.9,89,,WSW,26,1010.8,19.4,73,,W,26,1011.5
,2023-12-15,,22.2,0.2,4.2,,WSW,46,13:26,15.0,90,,WNW,17,1013.4,20.2,40,,WSW,26,1011.3
,2023-12-16,10.4,22.1,0,4.0,,SW,41,15:50,15.8,66,,WSW,22,1013.3,21.7,43,,WSW,22,1012.9
,2023-12-17,9.9,30.5,0,4.0,,WSW,33,13:04,16.4,64,,ENE,17,1014.2,28.9,23,,W,11,1010.6
,2023-12-18,16.0,34.1,0,8.0,,WNW,54,12:12,25.8,35,,NE,13,1008.5,31.5,29,,SW,15,1006.4
,2023-12-19,13.9,21.5,0,8.0,,SE,56,11:38,14.6,72,,SSE,24,1016.8,19.9,39,,SSE,28,1015.8
,2023-12-20,9.1,21.4,0,,,SE,54,02:48,13.0,53,,ESE,24,1021.5,20.4,35,,SE,24,1018.4
,2023-12-21,9.0,23.8,0,4.0,,,,,14.3,68,,SE,13,1020.6,22.9,37,,SSE,15,1017.0
,2023-12-22,8.7,28.7,0,8.0,,WSW,33,15:02,20.4,56,,E,13,1015.9,27.5,31,,ESE,11,1012.1
,2023-12-23,15.6,30.1,0,8.0,,WSW,39,16:38,21.9,48,,ENE,7,1010.0,28.7,28,,WSW,24,1006.5
,2023-12-24,7.9,22.4,0,8.0,,SSW,56,18:54,16.4,65,,SW,22,1006.9,19.3,47,,SSW,26,1006.2
,2023-12-25,11.1,17.3,0,4.0,,SW,54,12:11,14.4,65,,SW,26,1008.5,15.3,71,,SSW,33,1008.5
,2023-12-26,12.6,23.3,0.8,4.8,,SW,37,11:09,15.4,83,,SSW,15,1011.6,21.2,59,,SSW,22,1011.4
,2023-12-27,14.9,28.0,0,5.0,,WSW,28,15:03,17.0,76,,SW,7,1015.1,26.7,42,,WNW,13,1012.9
,2023-12-28,13.9,27.6,0,4.0,,ESE,41,22:09,19.8,77,,E,13,1015.1,26.0,36,,ENE,7,1013.4
,2023-12-29,15.1,25.5,,,,ESE,44,04:21,18.6,66,,ESE,20,1013.0,25.0,45,,SE,22,1013.8
,2023-12-30,9.0,21.9,1.6,17.6,,SSW,39,14:45,14.0,68,,S,13,1020.5,20.5,48,,SW,20,1018.4
,2023-12-31,10.2,26.1,0,4.0,,SE,41,01:54,15.2,55,,E,20,1021.7,24.4,30,,SE,17,1018.5
