"Daily Weather Observations for Nuriootpa, South Australia for April 2024"
"Prepared at 16:02 UTC on Thursday  7 November 2024   IDCJDW5049.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,15.8,22.6,0,6.1,,WSW,50,21:39,16.6,91,,W,20,1016.1,20.8,52,,WSW,28,1013.4
,2024-04-2,13.0,19.8,0.6,6.0,,WSW,54,12:30,14.8,86,,WSW,20,1018.5,19.1,51,,SW,31,1019.2
,2024-04-3,10.7,20.2,0.4,4.4,,,,,12.6,94,, ,Calm,1024.1,18.2,51,,W,17,1022.3
,2024-04-4,9.6,20.1,0,2.5,,SE,37,22:44,13.1,62,,SE,22,1026.5,19.1,40,,SE,15,1024.6
,2024-04-5,9.7,21.3,0,8.0,,SSE,41,23:20,12.4,65,,ESE,17,1027.4,20.3,35,,ESE,13,1023.5
,2024-04-6,6.1,24.6,0,4.0,,WSW,41,14:50,10.9,77,, ,Calm,1021.1,23.8,41,,WSW,17,1016.6
,2024-04-7,4.3,19.8,0,4.6,,W,35,14:28,14.6,73,,SSW,13,1018.0,18.9,48,,WSW,19,1015.4
,2024-04-8,8.9,20.9,,,,SW,41,15:38,14.9,73,,WSW,13,1016.0,18.7,53,,W,20,1013.9
,2024-04-9,6.4,17.3,0.8,3.6,,SSW,31,09:41,13.2,69,,S,15,1023.4,16.7,49,,S,11,1022.1
,2024-04-10,6.5,18.8,0.2,6.6,,SW,30,16:36,12.7,70,,S,13,1026.9,18.0,49,,W,15,1024.2
,2024-04-11,10.0,20.3,0,,,WSW,28,14:46,14.2,72,,SSW,9,1026.5,18.7,52,,SW,19,1023.7
,2024-04-12,8.5,20.0,0,9.7,,WSW,28,16:04,12.7,65,,WSW,9,1026.1,19.7,41,,SW,9,1021.9
,2024-04-13,2.4,21.6,0,3.4,,ESE,22,23:53,13.6,66,,NE,7,1026.0,20.9,33,,W,7,1022.4
,2024-04-14,4.7,24.5,0,3.4,,W,31,16:02,14.9,68,,NE,13,1024.4,24.1,26,,W,20,1021.2
,2024-04-15,6.4,24.3,0,1.0,,WSW,30,15:44,15.3,63,,E,11,1025.5,23.6,34,,WSW,13,1022.6
,2024-04-16,9.8,21.8,0,7.4,,SSE,31,19:13,15.7,66,,ESE,13,1027.0,20.4,41,,SSW,13,1023.8
,2024-04-17,4.9,19.2,0,2.4,,SSW,33,14:12,14.3,65,,ESE,13,1028.6,18.0,44,,SSE,15,1025.7
,2024-04-18,9.0,16.5,0,4.1,,SW,39,11:53,12.7,65,,SW,13,1027.5,15.2,60,,WSW,22,1024.8
,2024-04-19,10.3,18.1,2.2,0.2,,SSE,43,14:01,12.6,85,,SSE,19,1025.4,16.7,49,,S,26,1024.9
,2024-04-20,5.3,19.9,0.2,6.4,,SE,30,08:13,12.4,76,,SE,15,1031.3,19.3,40,,ESE,9,1028.9
,2024-04-21,5.2,23.5,0,4.0,,E,22,23:02,13.2,73,,ESE,13,1031.5,22.6,29,,NW,6,1027.9
,2024-04-22,3.9,26.4,0,1.3,,WNW,33,12:59,15.1,56,,NE,9,1027.4,25.9,19,,NW,15,1022.2
,2024-04-23,5.3,26.4,0,,,WNW,57,13:01,22.4,35,,NNW,15,1020.0,20.7,39,,WSW,31,1017.1
,2024-04-24,2.7,16.8,0,8.8,,SSW,33,09:21,12.3,65,,SW,13,1028.1,15.6,46,,S,17,1026.2
,2024-04-25,-0.2,18.4,0,6.6,,WSW,35,15:52,10.4,74,,NE,2,1030.2,17.8,53,,WSW,20,1027.3
,2024-04-26,4.2,18.9,0,,,ESE,22,11:09,10.5,82,, ,Calm,1029.7,18.1,40,,S,11,1026.0
,2024-04-27,5.0,19.7,0,6.4,,ENE,24,05:05,12.0,66,,NE,11,1027.2,19.5,32,,NW,6,1023.0
,2024-04-28,2.3,22.6,0,2.8,,WNW,35,12:30,15.4,42,,N,7,1022.7,21.8,29,,WSW,17,1019.6
,2024-04-29,7.5,19.3,0,4.0,,SE,50,22:48,17.1,67,, ,Calm,1024.5,15.4,71,,SSE,26,1024.8
,2024-04-30,8.0,15.6,0,1.6,,SE,48,00:30,10.7,59,,ESE,20,1031.8,15.1,38,,SE,19,1029.0
