"Daily Weather Observations for Nuriootpa, South Australia for October 2024"
"Prepared at 13:02 UTC on Thursday 14 November 2024   IDCJDW5049.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,4.9,19.9,0,,,SE,35,20:38,12.0,88,,SW,11,1028.5,18.7,45,,ESE,9,1025.2
,2024-10-2,8.4,22.9,0,,,ENE,31,10:26,15.7,55,,ENE,17,1028.0,22.1,26,,NE,13,1023.4
,2024-10-3,11.0,28.2,0,,,NW,63,19:17,20.1,32,,NNE,22,1019.3,26.2,19,,N,26,1012.2
,2024-10-4,11.6,20.4,2.0,,,W,61,10:49,16.5,63,,W,37,1011.1,19.1,54,,W,30,1010.0
,2024-10-5,10.3,18.0,0,,,W,63,11:42,14.4,77,,WNW,31,1010.0,15.8,59,,W,39,1009.7
,2024-10-6,11.9,22.2,0.2,,,W,61,02:13,13.4,87,,W,28,1016.5,21.3,47,,W,33,1016.1
,2024-10-7,5.7,22.3,0,,,W,41,13:29,13.7,91,, ,Calm,1020.5,21.7,50,,SW,24,1019.9
,2024-10-8,6.2,18.4,0,,,SE,41,11:43,8.6,63,,E,20,1027.7,17.1,25,,SSE,13,1025.1
,2024-10-9,7.5,25.3,0,,,ENE,41,07:46,11.6,49,,NE,24,1024.3,23.4,15,,NNE,17,1020.0
,2024-10-10,8.4,21.1,0,,,SSE,37,16:38,14.3,63,,S,20,1022.6,20.5,36,,SSE,19,1022.4
,2024-10-11,5.5,20.7,0,,,SE,35,22:16,11.9,65,,SE,15,1029.0,19.8,37,,SE,19,1026.9
,2024-10-12,8.1,23.3,0,,,ENE,43,08:59,11.3,69,,ENE,20,1027.9,22.5,23,,ENE,13,1024.1
,2024-10-13,11.2,28.2,0,,,WSW,50,14:58,19.1,23,,ENE,7,1019.1,26.2,25,,SW,11,1015.4
,2024-10-14,13.0,27.5,0,,,E,41,08:36,16.1,64,,E,17,1017.2,25.6,37,,ENE,19,1014.1
,2024-10-15,14.9,28.0,13.8,,,NNE,46,17:47,17.6,67,,NE,13,1015.5,27.1,38,,WNW,9,1012.0
,2024-10-16,16.5,29.9,0,,,NNW,43,06:16,21.4,65,,N,15,1012.9,28.9,37,,NNE,20,1010.0
,2024-10-17,17.5,,0,,,,,,19.7,73,,N,7,1007.6,25.6,52,,NE,13,1004.2
,2024-10-18,13.4,17.2,,,,WNW,57,03:22,13.5,96,,WSW,28,1007.6,15.2,92,,WSW,24,1011.5
,2024-10-19,4.3,22.6,1.6,,,SE,28,20:07,10.9,87,,W,7,1020.6,20.3,58,,WSW,9,1020.2
,2024-10-20,10.1,23.8,0.2,,,SE,31,03:32,13.8,72,,ENE,15,1024.4,22.1,42,,ENE,11,1021.8
,2024-10-21,12.2,29.4,0,,,NNE,33,13:36,18.0,63,,ENE,13,1018.9,28.6,27,,NNE,19,1014.7
,2024-10-22,12.3,18.7,0,,,W,35,09:29,15.3,93,,W,24,1015.4,17.6,76,,WSW,9,1015.0
,2024-10-23,11.4,19.2,0,,,WSW,56,13:54,14.1,76,,WSW,11,1015.0,18.5,43,,WSW,31,1014.9
,2024-10-24,3.8,18.3,0,,,WSW,39,14:02,12.7,69,,SSW,17,1021.1,17.7,38,,SW,22,1019.9
,2024-10-25,3.7,21.4,0,,,NW,50,16:03,12.9,69,,NE,6,1023.4,19.7,40,,E,9,1020.4
,2024-10-26,11.1,27.3,0,,,WSW,41,14:39,17.2,50,,NE,15,1017.5,26.3,21,,NW,15,1014.7
,2024-10-27,8.4,26.4,0,,,SW,37,12:33,19.0,42,, ,Calm,1017.2,25.2,30,,WSW,28,1016.9
,2024-10-28,6.0,23.0,0,,,SE,33,18:13,14.3,68,,ESE,13,1026.2,22.6,40,,SSE,13,1024.4
,2024-10-29,9.3,26.8,0,,,SE,28,19:42,14.6,69,,E,13,1028.0,25.0,26,,NE,7,1024.7
,2024-10-30,9.5,28.8,0,,,WSW,41,12:59,19.8,45,,ENE,13,1020.0,28.3,22,,WSW,20,1016.1
,2024-10-31,10.8,24.1,0,,,SE,37,19:25,14.1,71,,E,15,1018.1,22.5,44,,SE,9,1015.6
