"Daily Weather Observations for Nuriootpa, South Australia for November 2024"
"Prepared at 07:00 UTC on Saturday 30 November 2024   IDCJDW5049.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,7.6,21.2,0,,,E,37,14:48,12.0,57,,ESE,19,1021.3,19.7,30,,ESE,13,1018.8
,2024-11-2,10.2,32.9,0,,,W,52,22:39,19.9,26,,NNE,19,1016.2,31.3,16,,N,19,1009.0
,2024-11-3,14.6,22.8,0,,,WSW,43,23:07,16.0,66,,WSW,24,1012.8,21.3,37,,SW,26,1012.0
,2024-11-4,9.9,22.6,0,,,SW,37,15:45,15.2,63,,W,9,1017.6,21.7,37,,WSW,20,1016.1
,2024-11-5,10.6,25.5,0,,,NE,41,20:39,18.1,47,,ENE,17,1013.8,24.0,37,,E,13,1011.3
,2024-11-6,17.4,24.5,0.2,,,W,41,13:37,19.4,72,,WSW,15,1008.8,22.6,51,,WSW,24,1009.7
,2024-11-7,9.7,20.7,0,,,W,57,14:31,16.6,53,,WNW,20,1013.3,18.9,52,,WSW,31,1011.2
,2024-11-8,10.6,19.7,0.2,,,WSW,50,11:11,12.5,91,,W,22,1016.2,18.7,37,,SW,28,1017.0
,2024-11-9,8.0,23.7,0.6,,,W,46,14:16,12.9,56,,NE,19,1019.8,22.2,33,,WNW,24,1017.4
,2024-11-10,9.8,26.5,0,,,E,31,07:16,15.6,61,,E,15,1022.7,24.4,32,,SSW,11,1018.4
,2024-11-11,15.2,30.0,0,,,N,44,16:57,22.0,36,,ENE,13,1017.6,28.8,27,,NE,15,1013.1
,2024-11-12,12.5,28.5,0,,,SW,44,16:33,21.9,58,,NNW,11,1012.9,26.9,43,,SW,22,1010.0
,2024-11-13,12.6,22.8,0,,,SW,41,23:03,16.4,54,,SSW,22,1017.6,21.4,42,,SSW,17,1016.9
,2024-11-14,3.8,23.4,0,,,SE,39,19:12,14.8,56,,SE,11,1021.6,22.0,32,,SW,9,1018.5
,2024-11-15,8.9,30.4,0,,,SE,35,01:44,16.1,51,,ENE,15,1019.5,28.6,21,,ESE,9,1014.4
,2024-11-16,14.5,35.6,0,,,WSW,57,18:04,28.3,15,,N,20,1010.7,34.3,9,,N,19,1005.6
,2024-11-17,11.4,19.3,1.6,,,WSW,57,15:39,13.8,72,,W,28,1011.7,18.4,46,,WSW,33,1014.1
,2024-11-18,8.7,22.8,0,,,W,35,15:21,15.1,54,,SSW,17,1022.6,21.2,40,,WSW,15,1021.6
,2024-11-19,9.2,25.5,0,,,SE,39,19:13,14.2,58,,ESE,17,1025.5,24.4,27,,SSW,9,1021.6
,2024-11-20,10.3,28.9,0,,,SE,41,23:09,16.7,48,,E,17,1022.6,26.0,20,,NE,9,1019.8
,2024-11-21,9.5,33.0,0,,,NE,35,08:33,24.1,26,,NE,20,1019.7,31.8,12,,N,17,1016.9
,2024-11-22,,35.9,,,,,,,29.6,28,,N,17,1017.7,34.2,20,,N,24,1014.4
,2024-11-23,18.6,30.9,0,,,NNE,44,11:32,27.7,37,,ESE,7,1014.7,27.2,51,,N,9,1015.1
,2024-11-24,18.1,24.7,1.4,,,E,24,13:53,18.9,89,,ESE,7,1017.5,24.0,58,,E,13,1015.5
,2024-11-25,17.3,27.3,0,,,SW,30,12:46,21.0,75,,ESE,9,1012.9,20.8,85,,SW,13,1010.0
,2024-11-26,17.3,31.2,0,,,NW,48,14:53,25.3,64,,N,9,1007.0,29.8,39,,NE,20,1002.6
,2024-11-27,13.9,23.3,3.6,,,W,69,13:43,14.8,82,,NW,26,1004.6,23.2,46,,W,41,1004.7
,2024-11-28,13.1,20.3,2.8,,,WNW,30,01:28,16.0,88,,SW,11,1015.7,19.7,59,,SW,13,1015.5
,2024-11-29,9.1,28.4,0.2,,,SW,37,15:19,17.2,74,,WSW,4,1016.5,26.4,39,,SSW,15,1012.2
,2024-11-30,15.4,,1.0,,,,,,17.0,80,,W,9,1009.9,25.2,46,,WSW,26,1006.1
