"Daily Weather Observations for Nuriootpa, South Australia for April 2025"
"Prepared at 13:02 UTC on Monday 18 August 2025   IDCJDW5049.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,12.2,25.1,0,6.6,,ESE,33,01:58,14.8,63,,E,15,1016.6,23.9,34,,ENE,11,1012.5
,2025-04-2,8.4,27.1,0,6.2,,WSW,43,15:24,16.1,49,,NNE,6,1011.8,26.4,28,,W,20,1008.9
,2025-04-3,7.6,21.4,0,4.4,,SSE,37,14:44,13.7,77,, ,Calm,1016.9,20.0,56,,SE,13,1016.5
,2025-04-4,5.0,19.5,0,3.0,,SW,35,15:59,10.4,76,, ,Calm,1021.4,18.7,42,,SSW,19,1019.8
,2025-04-5,3.9,22.1,0,4.0,,WSW,28,13:55,10.6,82,,NE,4,1024.2,20.7,40,,SW,13,1021.0
,2025-04-6,6.0,22.2,0,8.0,,SW,43,12:05,15.7,58,, ,Calm,1020.7,21.5,43,,W,22,1019.3
,2025-04-7,7.0,21.2,0,5.2,,S,30,10:52,15.2,79,, ,Calm,1025.4,21.0,43,,WSW,15,1023.5
,2025-04-8,4.5,22.4,0,4.0,,ESE,24,22:06,14.9,59,,ENE,11,1026.7,21.7,37,,NE,7,1023.0
,2025-04-9,11.4,22.0,0,4.0,,ESE,22,00:21,15.1,57,,NE,4,1022.9,20.6,39,,NE,13,1019.0
,2025-04-10,9.7,30.6,0,3.6,,WNW,33,13:10,21.2,36,,NNE,7,1019.3,30.1,20,,WNW,11,1016.4
,2025-04-11,14.3,27.4,0,6.0,,SSE,28,04:32,18.3,68,,ESE,15,1024.8,27.0,35,,SE,9,1023.2
,2025-04-12,11.7,32.3,0,5.0,,NNE,35,09:57,25.9,37,,NE,13,1026.5,31.5,16,,NNE,17,1024.1
,2025-04-13,13.1,33.0,0,8.8,,N,30,10:11,27.9,27,,N,13,1025.4,31.0,19,,SSW,9,1022.0
,2025-04-14,12.3,33.1,0,7.6,,N,26,13:17,26.1,31,,NNE,6,1025.0,31.9,17,,NE,11,1021.6
,2025-04-15,12.1,31.3,0,7.0,,NE,39,13:09,25.5,32,,NNE,6,1022.9,30.4,23,,NNE,15,1019.2
,2025-04-16,10.5,31.5,0,5.8,,SW,35,12:33,24.2,35,,NNE,7,1020.6,30.2,23,,WNW,11,1016.8
,2025-04-17,10.8,30.9,0,7.4,,NW,33,13:28,24.6,37,,NNE,6,1016.4,28.2,35,,WSW,22,1012.5
,2025-04-18,11.8,30.9,0,5.6,,W,35,13:45,24.1,50,,NNE,2,1011.6,29.7,22,,WNW,13,1007.6
,2025-04-19,17.1,26.4,0,6.2,,WNW,69,16:30,24.8,30,,NW,15,1006.6,25.1,39,,NW,30,1004.1
,2025-04-20,11.6,17.0,2.2,4.9,,WSW,59,14:35,12.6,91,,W,19,1011.7,13.6,88,,SW,28,1012.9
,2025-04-21,11.0,16.9,3.2,2.7,,SSW,43,09:55,13.1,73,,SW,20,1022.6,15.2,71,,SW,24,1022.9
,2025-04-22,7.8,18.9,0,,,SSE,35,12:03,12.5,75,,SE,11,1028.4,17.9,47,,SE,19,1024.7
,2025-04-23,8.7,22.7,0.2,4.2,,ESE,24,04:38,15.0,80,,ENE,11,1024.3,21.8,40,,NW,9,1019.8
,2025-04-24,5.8,26.8,0,3.8,,N,33,12:59,17.9,60,,NE,7,1018.3,26.2,25,,NNW,13,1013.8
,2025-04-25,11.4,23.6,0,5.5,,NE,50,02:49,16.9,59,,ENE,7,1013.3,18.8,55,,WNW,19,1012.6
,2025-04-26,10.5,22.5,0.2,1.8,,SSE,33,17:28,17.2,67,,S,17,1017.3,21.8,44,,SW,13,1015.8
,2025-04-27,3.3,18.7,0,,,WSW,28,14:47,10.9,91,,SE,2,1020.7,17.3,62,,SW,17,1018.3
,2025-04-28,6.4,19.4,0,0.8,,WSW,24,12:41,13.7,78,,NNW,2,1021.6,18.7,57,,SW,11,1018.8
,2025-04-29,5.5,20.1,0,1.0,,SE,37,23:42,13.6,85,,E,9,1024.3,16.1,72,,NNW,11,1022.8
,2025-04-30,8.5,17.4,0.8,2.0,,SE,44,01:01,12.3,69,,SSE,15,1030.1,17.0,40,,SSE,20,1028.2
