"Daily Weather Observations for Nuriootpa, South Australia for May 2025"
"Prepared at 13:02 UTC on Sunday 17 August 2025   IDCJDW5049.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,2.6,18.3,0,3.6,,SSE,37,13:19,12.1,76,,ENE,9,1032.3,17.6,40,,SE,15,1030.3
,2025-05-2,1.4,21.4,0,6.7,,NNE,35,10:23,13.4,55,,NE,4,1033.0,21.0,30,,NE,15,1029.3
,2025-05-3,2.6,23.5,0,3.4,,NE,41,14:57,16.4,39,,N,11,1031.4,22.8,26,,NNE,24,1026.6
,2025-05-4,9.7,25.3,0,6.6,,N,48,12:28,18.9,46,,NNE,11,1027.7,24.8,26,,N,20,1023.0
,2025-05-5,10.6,26.2,0,6.6,,NW,54,11:38,20.7,42,,N,13,1022.9,25.8,27,,NW,24,1019.7
,2025-05-6,6.8,22.7,0,6.4,,WNW,50,14:25,16.0,83,,WNW,13,1020.5,22.0,40,,W,30,1018.2
,2025-05-7,13.4,18.3,2.0,3.0,,SW,46,11:40,15.1,93,,W,20,1021.4,17.7,51,,WSW,22,1022.7
,2025-05-8,1.0,17.1,0.4,1.1,,,,,9.5,81,, ,Calm,1032.6,16.9,44,,ESE,11,1030.3
,2025-05-9,5.6,20.0,0,2.0,,ENE,24,09:31,12.3,64,,ENE,13,1033.2,19.3,30,,NNE,7,1029.7
,2025-05-10,3.8,21.6,0,5.4,,NE,31,10:08,14.4,57,,NE,13,1029.9,21.0,31,,ENE,13,1025.8
,2025-05-11,2.2,25.0,0,3.4,,SW,20,14:20,15.9,53,,NE,7,1026.8,23.8,25,,WSW,7,1023.9
,2025-05-12,5.2,24.1,0,4.0,,NE,20,13:22,16.7,37,,NE,2,1027.5,23.4,23,,NE,9,1024.5
,2025-05-13,3.3,24.6,0,3.0,,WSW,28,13:37,15.4,48,,NNE,6,1025.8,23.9,22,,WNW,15,1022.3
,2025-05-14,2.2,20.0,0,3.6,,WSW,33,12:32,11.5,80,,NNW,6,1024.8,17.9,49,,WSW,20,1022.9
,2025-05-15,7.0,17.6,0,0.8,,W,24,14:10,13.2,61,,E,2,1025.9,16.5,50,,SSW,13,1023.1
,2025-05-16,10.0,,0,3.6,,,,,12.2,75,, ,Calm,1022.7,15.2,65,,WSW,11,1020.1
,2025-05-17,5.2,14.5,0,1.1,,SSE,35,15:03,10.0,98,, ,Calm,1023.3,14.2,68,,SSE,17,1023.0
,2025-05-18,2.6,13.3,1.4,2.5,,SSE,39,16:12,7.6,75,,ESE,9,1032.4,13.0,45,,SE,20,1031.3
,2025-05-19,0.6,13.7,0,2.4,,E,35,10:07,8.5,67,,ENE,13,1033.2,13.6,37,,E,15,1030.6
,2025-05-20,0.1,18.7,0,2.6,,NW,31,14:28,12.0,49,,NNE,13,1030.8,17.8,32,,W,17,1027.3
,2025-05-21,-2.0,17.6,0,,,W,26,14:37,9.5,51,,NE,6,1028.9,16.2,52,,WSW,15,1025.3
,2025-05-22,1.7,16.9,0,3.4,,SE,24,09:27,11.3,60,, ,Calm,1025.0,16.4,30,,E,9,1020.8
,2025-05-23,-1.0,17.7,0,1.0,,WNW,33,13:17,9.5,53,,NE,2,1017.5,16.8,41,,W,20,1012.7
,2025-05-24,2.3,21.3,0,5.4,,NW,57,10:12,14.4,39,,NNW,22,1011.3,20.7,20,,WNW,30,1009.4
,2025-05-25,2.6,22.2,0.4,4.0,,NW,52,14:55,11.9,85,,NNE,9,1013.6,22.1,19,,NW,31,1007.4
,2025-05-26,11.7,16.3,0,6.8,,W,98,15:09,13.9,57,,NW,35,1005.2,13.2,63,,WNW,46,1004.6
,2025-05-27,7.9,15.7,12.0,4.4,,WNW,63,00:43,11.5,84,,WSW,22,1016.9,15.0,62,,WSW,24,1020.3
,2025-05-28,5.5,15.7,0.2,2.0,,SSE,35,20:27,11.4,80,,SSE,13,1027.8,14.9,64,,WSW,15,1025.8
,2025-05-29,11.0,16.5,0,2.3,,SSE,37,10:54,11.6,78,,SE,9,1027.3,16.2,50,,SSE,20,1025.1
,2025-05-30,9.0,17.0,0,1.6,,ESE,46,17:02,11.2,83,,SE,11,1029.3,17.0,49,,ESE,13,1027.8
,2025-05-31,6.0,20.2,0.2,1.7,,E,30,00:31,9.7,90,,NNE,7,1029.1,19.9,36,,N,7,1025.6
