"Daily Weather Observations for Nuriootpa, South Australia for June 2025"
"Prepared at 16:02 UTC on Saturday 16 August 2025   IDCJDW5049.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nuriootpa Pirsa {station 023373}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,2.5,19.5,0,3.0,,WNW,33,12:41,9.8,67,,NE,6,1023.4,17.9,42,,WNW,19,1019.8
,2025-06-2,7.2,19.6,0,0.5,,W,31,13:42,11.5,76,,NE,7,1017.6,18.7,40,,W,19,1014.4
,2025-06-3,4.0,14.9,1.0,4.7,,SE,43,18:55,12.5,90,,SSE,11,1018.9,13.2,72,,SSE,17,1019.6
,2025-06-4,-0.2,12.8,0,1.4,,E,35,09:36,8.5,69,,E,17,1026.6,12.3,45,,ENE,17,1025.2
,2025-06-5,4.4,11.8,0,0.7,,NE,35,09:36,11.3,48,,NNE,15,1023.7,11.2,47,,NNE,9,1019.8
,2025-06-6,9.3,13.5,2.0,5.0,,W,70,20:48,10.7,84,,NW,30,1011.6,13.1,80,,WNW,33,1009.6
,2025-06-7,7.6,11.8,7.6,3.6,,W,81,13:27,9.8,91,,NW,37,1013.0,9.5,86,,WSW,41,1008.9
,2025-06-8,5.0,10.5,12.0,3.0,,SW,46,15:32,6.8,89,,WSW,17,1013.0,7.7,83,,SW,17,1013.0
,2025-06-9,0.3,12.3,1.0,0.4,,SW,31,13:15,7.0,98,,S,6,1017.0,10.9,77,,W,15,1015.6
,2025-06-10,7.0,14.2,,,,WSW,31,14:09,9.0,98,,W,11,1017.4,13.4,66,,SW,24,1015.5
,2025-06-11,7.7,12.4,4.0,3.2,,NW,24,14:11,9.6,95,,WNW,4,1017.8,11.6,66,,NW,11,1015.4
,2025-06-12,5.0,15.0,,,,N,31,14:14,9.2,69,,NE,11,1017.3,14.9,57,,NE,13,1017.5
,2025-06-13,1.0,15.4,0,1.9,,N,24,11:40,8.5,76,,NNE,9,1025.9,14.3,50,,NE,15,1023.5
,2025-06-14,6.1,12.8,0,2.3,,NW,46,13:35,9.3,67,,N,11,1018.6,9.5,91,,NW,19,1015.1
,2025-06-15,2.4,13.5,8.6,0.6,,WNW,30,10:24,7.9,95,,WNW,7,1021.8,12.2,68,,WNW,15,1020.3
,2025-06-16,6.0,14.7,0,2.4,,WSW,61,15:34,10.1,71,,NW,22,1019.2,13.8,61,,WSW,39,1018.7
,2025-06-17,7.4,13.0,0.6,2.0,,,,,9.0,92,,W,15,1026.1,12.4,65,,W,15,1025.1
,2025-06-18,2.5,13.4,0.2,1.0,,NNE,30,11:05,7.1,84,,NNE,7,1028.2,12.9,60,,N,13,1024.3
,2025-06-19,3.9,17.4,0,1.4,,WNW,26,14:48,10.0,75,, ,Calm,1025.7,15.7,55,,WNW,17,1023.6
,2025-06-20,0.8,17.4,0,1.4,,N,19,15:01,7.7,83,, ,Calm,1027.2,17.0,45,,N,9,1025.5
,2025-06-21,2.4,18.1,0,1.2,,NE,26,14:49,11.7,57,,ENE,6,1028.1,17.2,37,,NE,17,1024.6
,2025-06-22,7.2,19.1,0,2.2,,N,37,21:03,14.1,49,,NNE,20,1021.4,18.8,39,,NNE,19,1015.0
,2025-06-23,6.7,17.5,0,4.0,,WNW,76,20:57,12.6,54,,N,17,1011.5,16.4,34,,NW,35,1006.7
,2025-06-24,6.9,11.8,4.0,,,W,83,13:24,8.3,86,,NW,37,1005.2,9.0,90,,W,46,1005.8
,2025-06-25,8.1,13.9,5.6,7.6,,W,78,02:55,10.6,85,,WSW,31,1017.8,12.6,64,,SW,26,1021.9
,2025-06-26,5.2,11.8,0,0.4,,NE,13,11:56,8.7,91,, ,Calm,1032.1,11.5,73,,SW,7,1031.2
,2025-06-27,8.7,13.5,0,0.5,,NNE,17,10:22,9.5,73,,NE,7,1034.2,12.2,65,, ,Calm,1031.2
,2025-06-28,2.8,13.1,0,1.9,,SW,24,15:03,7.3,91,, ,Calm,1030.6,12.9,73,,SW,13,1028.4
,2025-06-29,2.9,14.4,4.2,2.0,,WSW,31,14:22,9.3,98,,SW,9,1028.9,12.3,85,,W,9,1027.4
,2025-06-30,2.4,11.8,0.4,0.4,,SSE,30,11:34,7.5,85,,S,2,1031.5,11.2,60,,SSE,17,1029.5
