"Daily Weather Observations for Woomera, South Australia for December 2023"
"Prepared at 13:02 UTC on Monday 11 November 2024   IDCJDW5072.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Woomera Aerodrome {station 016001}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,18.4,31.3,0.4,,,SE,52,21:58,22.5,54,8,W,9,1008.8,30.1,24,1,SW,15,1006.7
,2023-12-2,13.9,30.2,0.2,,,S,39,01:45,18.0,58,,SSE,24,1014.6,27.5,21,,S,19,1011.9
,2023-12-3,15.6,35.9,0,,,NNE,35,10:02,24.0,39,,E,20,1015.1,34.1,10,,NW,11,1012.3
,2023-12-4,20.5,42.2,0,,,N,46,09:17,30.7,13,,N,31,1014.1,40.7,8,,WNW,19,1011.7
,2023-12-5,25.9,45.3,0,,,N,48,09:24,34.4,9,7,N,22,1013.9,43.6,6,2,NNW,20,1011.2
,2023-12-6,22.1,45.4,0,,,SSE,65,20:30,29.6,27,1,E,20,1014.2,43.6,7,8,NNW,22,1010.4
,2023-12-7,24.4,46.4,0,,,N,65,22:15,32.8,23,,E,30,1010.6,44.1,7,8,NNW,30,1006.2
,2023-12-8,29.1,45.1,0,,,N,85,11:10,34.5,23,4,N,31,1007.0,43.3,8,3,NNW,56,1003.1
,2023-12-9,21.0,23.8,0,,,S,61,12:57,22.3,60,6,S,28,1010.1,21.0,64,2,S,37,1011.9
,2023-12-10,15.9,17.2,24.8,,,SE,54,08:12,16.3,99,8,SE,39,1010.1,16.6,99,8,SSW,20,1010.8
,2023-12-11,14.3,22.8,29.6,,,W,39,12:56,15.9,90,8,SW,6,1008.8,20.5,63,8,W,22,1009.1
,2023-12-12,13.9,28.2,0.2,,,N,43,12:40,19.8,54,,NNW,20,1012.6,26.2,30,,NNW,22,1009.2
,2023-12-13,17.5,32.3,0,,,WNW,59,14:28,24.2,46,,NW,19,1009.8,31.5,27,1,WNW,33,1007.4
,2023-12-14,17.1,30.7,0,,,SSW,39,09:53,20.1,67,7,S,22,1013.2,28.8,37,,SSW,22,1011.7
,2023-12-15,16.6,32.4,0,,,SW,52,16:55,20.6,64,,S,17,1014.0,31.6,23,,W,24,1010.9
,2023-12-16,15.3,29.4,0,,,S,37,23:48,18.9,60,,SSE,22,1014.3,27.7,22,,SSW,22,1011.7
,2023-12-17,16.7,36.8,0,,,ENE,37,08:04,24.8,28,,ENE,31,1011.3,35.1,10,,N,15,1008.5
,2023-12-18,24.8,41.0,0,,,SSW,83,20:04,29.9,14,4,W,17,1009.9,37.2,7,8,N,26,1004.1
,2023-12-19,17.1,27.7,0,,,SSW,67,04:28,19.7,54,,S,39,1014.0,26.7,26,,S,37,1012.2
,2023-12-20,13.8,28.2,0,,,SSE,56,01:35,17.8,45,,SE,35,1017.6,26.7,20,,S,24,1015.1
,2023-12-21,14.2,29.9,0,,,SSE,43,23:47,18.8,49,,SE,22,1017.9,27.9,18,,SE,24,1015.0
,2023-12-22,14.5,32.0,0,,,SSE,44,23:40,19.6,57,,SSE,20,1015.2,30.6,13,,W,19,1012.3
,2023-12-23,19.0,34.4,0,,,W,46,15:12,22.8,41,,ESE,7,1009.9,31.3,17,,WNW,17,1006.9
,2023-12-24,16.6,27.5,0.2,,,SSW,59,14:19,17.7,62,,SW,37,1009.0,25.4,28,,SSW,39,1008.3
,2023-12-25,13.2,26.2,0,,,S,54,16:19,16.8,60,,SSW,30,1012.8,23.8,28,,SSW,28,1011.2
,2023-12-26,13.5,27.2,0,,,S,41,13:56,16.3,64,,S,22,1014.3,24.6,41,,S,22,1012.3
,2023-12-27,14.2,32.5,0,,,SSW,35,14:09,19.7,66,,SE,19,1014.5,31.3,16,,SSW,19,1012.5
,2023-12-28,19.7,41.0,0,,,NNW,46,15:30,27.6,31,,E,20,1012.2,38.3,12,,NNW,22,1009.1
,2023-12-29,23.2,32.8,0,,,SSW,57,14:40,24.9,50,,SSW,31,1011.7,31.2,31,,SSW,35,1012.3
,2023-12-30,13.8,28.6,0,,,S,50,12:10,17.7,57,,SSE,30,1019.3,27.3,26,,SSW,26,1017.2
,2023-12-31,15.6,31.2,0,,,SE,43,01:26,19.7,51,,SE,20,1019.6,29.4,28,,SW,9,1015.4
