"Daily Weather Observations for Woomera, South Australia for April 2024"
"Prepared at 16:02 UTC on Thursday  7 November 2024   IDCJDW5072.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Woomera Aerodrome {station 016001}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,18.9,28.0,0,,,SW,57,18:30,20.7,51,,WSW,19,1016.4,27.8,24,,SW,30,1015.1
,2024-04-2,12.8,24.6,,,,SSW,48,09:47,15.7,72,3,SW,30,1022.2,22.5,40,,S,22,1020.3
,2024-04-3,12.3,22.8,0,,,,,,15.9,66,,S,17,1024.5,21.7,35,2,SW,22,1022.0
,2024-04-4,12.9,23.9,0,,,SSE,41,14:43,16.2,67,,SE,20,1024.6,21.7,35,8,S,20,1022.5
,2024-04-5,12.1,25.1,0,,,S,44,15:01,14.6,72,,SE,17,1025.3,24.1,27,,S,24,1020.9
,2024-04-6,11.7,25.7,0,,,SSW,33,13:54,15.1,70,,SSE,13,1020.8,24.7,25,,S,17,1017.4
,2024-04-7,12.1,24.9,0,,,SW,35,14:55,17.4,70,,SSE,24,1018.8,23.7,35,,SW,19,1015.1
,2024-04-8,10.9,23.4,0,,,SSW,54,20:55,16.9,60,,S,20,1017.1,22.3,35,,SW,24,1014.8
,2024-04-9,11.8,20.3,0,,,SSE,46,09:48,15.3,59,,SSE,26,1023.6,19.5,36,1,SSE,28,1021.9
,2024-04-10,9.6,21.0,0,,,S,37,16:33,15.4,52,,SE,19,1026.8,19.9,34,,SSW,20,1023.5
,2024-04-11,10.1,23.6,0,,,ESE,31,12:29,16.3,57,,ESE,17,1026.3,22.1,34,,S,17,1022.4
,2024-04-12,12.4,24.7,0,,,ESE,30,09:06,16.3,62,7,SE,22,1024.7,22.3,32,8,SSW,17,1021.1
,2024-04-13,11.7,25.9,0,,,SE,31,08:45,17.0,53,,SE,24,1024.3,25.1,25,,SW,9,1020.1
,2024-04-14,9.7,27.5,0,,,S,31,15:33,17.7,54,,E,11,1023.6,26.3,20,,WSW,11,1020.4
,2024-04-15,13.2,28.0,0,,,SSW,43,14:51,20.1,37,,ESE,11,1023.9,27.2,21,,SSW,20,1021.4
,2024-04-16,12.6,26.4,0,,,SSE,43,22:38,17.8,67,,SSE,26,1025.0,25.8,32,,SSE,13,1021.7
,2024-04-17,12.7,24.9,0,,,SSE,44,23:29,17.1,62,,SSE,28,1026.4,23.8,33,,S,19,1023.1
,2024-04-18,10.7,23.1,0,,,SSW,44,15:16,15.5,59,,SSE,24,1027.2,22.7,34,,S,28,1023.9
,2024-04-19,10.7,23.1,0,,,S,46,16:38,16.3,69,8,SSW,20,1025.8,22.3,43,6,S,22,1022.9
,2024-04-20,8.9,23.0,0,,,ESE,43,10:32,15.2,60,,SE,24,1028.9,22.4,30,,SSE,20,1026.5
,2024-04-21,10.1,25.8,0,,,SE,33,15:43,17.1,47,,ESE,19,1029.1,25.0,21,,SE,19,1025.6
,2024-04-22,9.6,28.7,0,,,NE,39,10:53,19.5,32,,E,13,1026.0,28.3,21,,NE,20,1020.6
,2024-04-23,13.3,29.3,0,,,SSW,59,19:56,19.9,36,,W,9,1021.8,28.9,22,2,W,28,1017.8
,2024-04-24,10.0,19.6,0,,,SSE,54,09:23,13.4,56,,SSE,31,1027.3,19.2,30,,SSE,26,1025.3
,2024-04-25,9.5,20.8,0,,,SE,37,11:09,14.1,58,,SE,20,1030.0,20.1,33,,S,17,1026.6
,2024-04-26,9.5,21.4,0,,,ESE,30,10:04,14.4,67,,SE,17,1028.6,21.1,33,,SSW,9,1024.6
,2024-04-27,7.6,22.4,0,,,SE,28,00:22,14.3,49,,ENE,13,1026.2,21.5,28,,WNW,11,1022.9
,2024-04-28,8.6,25.1,0,,,SSE,22,16:28,16.6,37,,N,13,1023.2,23.8,21,,WSW,11,1019.6
,2024-04-29,11.6,26.8,0,,,SE,48,21:00,18.3,27,,WSW,9,1024.1,25.7,19,,SSW,15,1021.6
,2024-04-30,12.2,,0,,,,,,15.6,56,,SE,30,1027.5,22.8,31,,SE,20,1024.9
