"Daily Weather Observations for Woomera, South Australia for August 2024"
"Prepared at 13:02 UTC on Sunday  3 November 2024   IDCJDW5072.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Woomera Aerodrome {station 016001}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,1.4,19.4,0,,,NNE,50,11:19,10.4,38,,NE,20,1030.0,18.5,24,,N,26,1024.7
,2024-08-2,4.7,22.5,0,,,N,37,05:29,11.6,43,4,NNE,24,1024.7,21.8,16,,NNW,20,1022.4
,2024-08-3,8.3,20.0,0,,,SE,26,05:10,10.5,84,,SE,19,1027.8,19.1,27,8,NW,9,1025.1
,2024-08-4,10.5,14.8,0,,,SE,31,05:59,12.9,65,8,ESE,19,1025.2,10.9,83,8, ,Calm,1023.0
,2024-08-5,8.8,15.6,9.2,,,SSW,31,12:57,10.4,88,1,SSE,13,1024.2,15.4,57,1,S,19,1022.5
,2024-08-6,5.4,17.6,0.2,,,N,20,23:19,10.7,85,,WSW,6,1027.4,17.1,43,1,ESE,7,1024.3
,2024-08-7,4.6,19.0,0.2,,,NNE,37,11:52,11.3,73,,NNE,9,1026.7,18.6,33,,N,26,1022.2
,2024-08-8,6.9,22.4,0,,,NNW,54,12:58,12.3,61,1,N,26,1021.6,21.6,32,1,NNW,22,1019.2
,2024-08-9,9.1,21.3,0,,,E,31,15:44,12.6,77,2,SE,17,1025.6,21.3,35,8,SSW,9,1022.6
,2024-08-10,9.3,22.0,0,,,S,28,00:22,12.9,73,2,SE,19,1027.5,20.8,38,7,E,13,1025.1
,2024-08-11,8.2,23.1,0,,,NE,39,15:54,14.4,52,,ESE,17,1027.9,21.9,34,1,NE,24,1023.6
,2024-08-12,10.2,24.9,0,,,N,65,14:54,17.0,49,4,NNE,24,1025.3,24.2,30,4,N,26,1021.1
,2024-08-13,10.6,25.4,0,,,N,43,11:06,17.6,46,,NNE,24,1022.4,24.6,25,,N,19,1018.2
,2024-08-14,10.8,27.2,0,,,N,35,12:20,17.1,51,,N,17,1019.0,26.4,25,,N,20,1014.2
,2024-08-15,14.3,28.4,0,,,NNE,72,19:31,18.0,48,8,N,37,1014.4,28.1,22,,N,43,1009.1
,2024-08-16,9.7,19.7,5.2,,,WSW,65,16:07,13.8,77,,WNW,19,1015.3,19.0,40,2,WSW,30,1013.6
,2024-08-17,6.5,18.4,0,,,SW,41,11:19,11.7,82,,WSW,20,1019.4,17.7,47,1,WSW,22,1017.3
,2024-08-18,8.1,21.8,0,,,NNE,30,10:30,13.4,74,,E,17,1019.1,20.6,29,,N,15,1015.3
,2024-08-19,11.9,26.1,0,,,NNE,63,11:38,14.7,48,8,NE,33,1014.5,25.4,20,1,N,39,1009.5
,2024-08-20,9.9,22.0,0,,,W,56,13:29,16.8,46,,WNW,24,1014.8,21.4,31,,W,35,1014.3
,2024-08-21,8.5,21.7,0,,,WSW,26,12:50,14.3,79,7,NW,9,1021.5,19.8,43,8,SW,15,1018.4
,2024-08-22,10.7,26.1,0,,,NE,31,23:30,18.5,42,,N,15,1020.8,25.2,26,,NE,17,1017.2
,2024-08-23,14.5,34.1,0,,,N,63,10:34,19.7,34,8,NNE,35,1013.0,33.4,16,1,NNW,39,1008.3
,2024-08-24,13.8,32.7,0,,,S,33,21:40,20.4,46,8,E,15,1013.8,31.5,22,8,NNW,11,1009.8
,2024-08-25,17.1,23.6,2.8,,,W,63,12:54,19.4,57,,SW,22,1013.8,23.0,31,,WSW,43,1014.9
,2024-08-26,8.1,20.5,0,,,SW,26,01:20,14.2,77,,S,15,1023.5,19.6,43,,S,7,1021.6
,2024-08-27,8.9,28.2,0,,,NNW,57,15:37,17.1,47,,N,28,1019.7,25.7,22,,NNW,37,1014.9
,2024-08-28,11.2,23.2,0,,,SW,43,13:45,16.7,62,,WSW,19,1019.7,22.4,39,,WSW,31,1017.9
,2024-08-29,9.6,30.4,0,,,N,54,16:51,17.3,46,,NE,22,1017.2,29.3,22,,NNW,31,1009.3
,2024-08-30,13.9,23.7,0,,,W,54,15:13,18.0,56,,SW,22,1010.7,22.9,35,,W,31,1008.4
,2024-08-31,8.0,22.3,0,,,W,43,11:56,14.7,64,,W,22,1015.9,21.5,31,,W,24,1013.2
