"Daily Weather Observations for Woomera, South Australia for October 2024"
"Prepared at 13:02 UTC on Sunday 10 August 2025   IDCJDW5072.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Woomera Aerodrome {station 016001}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,11.0,25.7,0,,,ESE,37,15:34,18.9,42,,ESE,22,1026.8,24.5,20,,ESE,15,1022.5
,2024-10-2,12.0,27.2,0,,,ENE,44,12:44,21.3,32,,ENE,33,1025.4,26.5,16,,ENE,20,1019.7
,2024-10-3,17.2,25.0,0,,,NNE,54,17:45,21.1,27,8,N,19,1018.6,22.8,26,7,NNE,33,1011.7
,2024-10-4,11.1,26.4,0,,,W,50,12:39,19.9,41,,WSW,22,1014.4,25.0,23,1,WSW,28,1011.3
,2024-10-5,13.8,26.6,0,,,WSW,61,14:52,20.4,38,,W,17,1015.0,25.4,25,4,WSW,33,1012.4
,2024-10-6,11.1,28.6,0,,,SW,30,00:59,16.0,69,,NNE,7,1019.3,27.1,24,,NW,13,1017.0
,2024-10-7,14.5,33.8,0,,,WSW,48,15:29,22.0,33,,W,6,1019.8,32.8,16,1,WSW,22,1017.3
,2024-10-8,13.9,29.8,0,,,S,43,01:25,17.2,62,,SSE,26,1023.9,27.6,19,,SSE,22,1021.0
,2024-10-9,11.4,31.5,0,,,NE,35,08:55,18.1,20,,ENE,22,1021.8,28.9,9,,NNW,9,1018.6
,2024-10-10,16.7,27.7,0,,,SSW,46,06:41,19.3,42,5,S,31,1021.4,26.6,29,7,SSW,22,1020.4
,2024-10-11,11.6,23.6,0,,,SSE,48,07:09,15.8,50,1,SE,28,1025.6,22.5,26,8,S,24,1023.5
,2024-10-12,11.5,28.7,0,,,ESE,41,07:43,18.2,39,7,E,31,1023.6,27.6,17,7,SSE,4,1020.6
,2024-10-13,18.1,30.2,0,,,NE,39,08:43,24.2,19,7,ENE,19,1017.5,27.5,20,8,N,20,1014.9
,2024-10-14,19.1,35.1,0,,,NW,56,21:07,25.6,33,5,N,26,1013.8,34.1,14,2,NNW,24,1011.4
,2024-10-15,21.6,35.1,0,,,N,50,20:03,25.3,39,8,NNE,26,1011.8,33.5,20,,N,22,1008.7
,2024-10-16,19.4,37.8,1.8,,,NNE,52,23:07,23.9,56,1,NNE,33,1010.3,36.3,20,8,WNW,30,1006.7
,2024-10-17,21.4,41.8,0,,,NW,106,17:04,25.2,43,7,ESE,17,1004.9,39.9,19,,NNW,43,997.9
,2024-10-18,16.0,25.2,4.4,,,SSW,50,13:58,18.5,70,8,SW,26,1012.2,24.0,41,,SSW,35,1012.0
,2024-10-19,10.9,27.9,0.2,,,SSE,33,01:17,14.9,68,,SSE,22,1020.1,26.4,14,,ESE,15,1018.0
,2024-10-20,13.5,30.5,0,,,ESE,33,07:34,20.0,46,,E,26,1021.5,28.7,18,,N,6,1018.1
,2024-10-21,15.9,34.6,0,,,N,43,11:06,26.2,23,,NE,20,1017.0,33.2,9,,N,20,1012.9
,2024-10-22,18.1,34.4,0,,,SSW,61,19:10,23.8,36,,S,19,1014.9,31.7,22,8,SSW,15,1012.3
,2024-10-23,19.3,28.2,0,,,SSW,44,14:26,19.6,61,8,SSW,20,1015.9,25.9,28,1,S,28,1014.4
,2024-10-24,12.3,24.7,0,,,S,44,11:57,15.5,54,8,S,26,1021.4,23.1,20,,SSW,24,1018.9
,2024-10-25,11.5,28.2,0,,,SE,37,23:12,16.6,45,,ESE,20,1023.0,26.3,14,,W,11,1018.3
,2024-10-26,14.0,30.1,0,,,NNE,44,08:53,21.1,20,,NNE,33,1016.3,28.7,9,7,NNW,26,1014.4
,2024-10-27,18.6,32.6,0,,,SSE,54,20:42,25.0,17,6,WSW,4,1016.5,31.3,17,,SSW,24,1015.7
,2024-10-28,14.6,29.7,0,,,SSE,48,23:10,17.2,55,,SSE,31,1023.9,27.7,10,,SSE,19,1021.8
,2024-10-29,14.1,32.1,0,,,SSW,37,16:10,21.0,38,,ESE,22,1025.4,31.0,13,,SSE,11,1021.9
,2024-10-30,16.3,34.8,0,,,S,54,21:53,25.1,17,,N,19,1019.6,32.9,9,8,WSW,17,1015.4
,2024-10-31,19.0,32.9,0,,,S,56,13:35,25.2,26,,ESE,15,1015.0,31.0,14,,SSW,28,1013.2
