"Daily Weather Observations for Woomera, South Australia for May 2025"
"Prepared at 13:02 UTC on Sunday 17 August 2025   IDCJDW5072.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Woomera Aerodrome {station 016001}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,9.4,22.4,0,,,SSE,35,00:19,14.4,56,,ESE,20,1030.6,21.6,27,,SE,13,1027.8
,2025-05-2,8.6,23.7,0,,,ENE,44,12:22,15.6,44,,E,19,1030.8,23.1,24,,NE,15,1026.9
,2025-05-3,9.3,25.3,0,,,NE,50,10:53,18.3,29,,NE,24,1028.9,24.4,24,,NE,33,1024.3
,2025-05-4,13.1,26.9,0,,,N,50,13:43,16.0,47,,ENE,9,1026.3,24.9,29,4,N,30,1021.6
,2025-05-5,12.2,28.3,0,,,NNW,43,12:30,19.8,43,,NNE,17,1023.6,27.4,21,,NW,19,1020.2
,2025-05-6,13.2,28.5,0,,,WSW,37,15:46,20.9,29,,WNW,11,1021.9,27.5,23,,W,24,1019.2
,2025-05-7,13.7,23.1,0,,,S,43,14:38,17.9,75,1,SSW,13,1023.6,22.7,36,,S,28,1022.2
,2025-05-8,10.8,21.6,0,,,SSE,30,00:12,14.8,56,,ESE,20,1029.9,20.9,36,,SE,13,1027.2
,2025-05-9,7.4,23.2,0,,,ENE,30,09:44,14.1,41,,ESE,17,1031.4,22.9,15,,SSE,11,1027.2
,2025-05-10,8.7,24.7,0,,,SSE,30,15:16,15.2,40,,E,13,1027.9,24.6,21,,SSW,15,1023.6
,2025-05-11,10.8,26.4,0,,,S,24,17:23,18.1,37,,ESE,11,1025.2,25.7,23,,E,11,1022.5
,2025-05-12,11.9,26.0,0,,,ESE,30,15:13,17.7,37,,E,11,1025.8,25.4,24,,ESE,15,1022.5
,2025-05-13,11.8,26.4,0,,,S,28,15:01,18.4,40,,ESE,13,1024.8,26.3,24,,S,19,1021.4
,2025-05-14,11.8,23.5,0,,,SSW,37,13:55,16.4,65,,S,20,1024.1,23.2,32,,S,22,1021.9
,2025-05-15,11.2,21.7,0,,,SE,41,09:34,14.9,74,,SSE,24,1024.6,20.8,39,,SW,19,1021.6
,2025-05-16,7.7,20.2,0,,,SSW,46,14:08,14.3,65,,S,13,1023.3,19.5,44,5,WSW,20,1020.4
,2025-05-17,10.6,19.4,0,,,S,50,19:17,13.0,77,7,S,24,1024.3,19.3,39,5,S,24,1022.6
,2025-05-18,8.5,17.3,0,,,SE,41,09:32,11.7,70,,SE,26,1030.7,16.6,28,,SE,20,1029.1
,2025-05-19,3.9,16.7,0,,,E,28,10:08,9.7,48,,ESE,15,1031.6,16.4,24,,ESE,13,1028.4
,2025-05-20,4.2,20.2,0,,,NNE,22,11:03,11.7,37,,E,11,1029.2,19.9,28,,NW,6,1026.6
,2025-05-21,8.0,20.0,0,,,SSW,35,16:36,13.5,28,,S,11,1028.8,19.2,19,,S,19,1025.4
,2025-05-22,7.3,19.8,0,,,S,20,07:02,12.1,81,,SSE,15,1024.4,19.2,37,1,SSE,11,1019.4
,2025-05-23,5.9,21.0,0,,,NNW,35,15:02,11.3,44,,N,9,1018.4,20.5,29,,NW,17,1013.5
,2025-05-24,7.6,24.5,0,,,NNW,52,11:25,13.2,38,,N,28,1014.0,23.8,13,,NW,31,1011.7
,2025-05-25,8.5,26.4,0,,,N,44,13:52,12.9,39,8,NE,9,1013.8,25.2,21,,NNW,31,1008.4
,2025-05-26,9.3,19.8,0,,,W,70,12:18,12.6,38,,NW,28,1011.9,17.7,40,6,W,35,1012.3
,2025-05-27,8.0,19.8,0,,,SW,43,11:12,10.8,76,,WSW,17,1021.6,19.4,43,,SSW,19,1022.0
,2025-05-28,9.6,16.9,0,,,SSE,28,23:50,12.2,82,8,SE,20,1026.7,15.9,59,7,SSW,15,1025.5
,2025-05-29,7.2,17.2,0,,,S,35,16:33,12.1,70,8,SSE,15,1027.2,16.9,42,,SE,19,1024.5
,2025-05-30,7.0,19.2,0,,,ESE,30,14:47,10.8,89,,ESE,11,1028.2,19.0,40,,ESE,19,1025.7
,2025-05-31,6.0,20.3,0,,,NNE,30,11:23,11.9,61,,ENE,13,1028.1,19.7,31,,NNE,15,1024.4
