"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for October 2023"
"Prepared at 13:02 UTC on Wednesday 13 November 2024   IDCJDW5081.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,13.9,19.6,0,,,SW,35,00:31,15.4,65,,SSW,15,1015.9,19.1,54,,SW,13,1014.9
,2023-10-2,9.3,31.1,0,,,NW,72,20:37,18.2,46,,NE,15,1010.7,29.6,19,,NNW,17,1005.3
,2023-10-3,13.8,20.1,1.2,,,SW,43,13:12,16.6,65,,WNW,20,1011.1,14.9,66,,SW,20,1011.1
,2023-10-4,8.1,16.3,1.0,,,SW,50,15:36,12.2,65,,SSW,11,1016.8,14.7,45,,SW,24,1017.8
,2023-10-5,10.1,16.8,0,,,SW,37,20:00,14.0,63,,SW,15,1024.9,14.9,80,,W,15,1026.0
,2023-10-6,9.5,18.3,1.4,,,SE,33,12:00,14.0,65,,E,9,1032.5,17.4,42,,ESE,15,1031.3
,2023-10-7,10.6,19.1,0,,,ESE,39,00:05,12.7,54,,ENE,11,1033.4,18.2,34,,NE,11,1030.4
,2023-10-8,8.6,21.3,0,,,SW,30,16:28,16.5,46,,NE,11,1030.3,19.7,39,,SW,17,1027.0
,2023-10-9,9.0,24.8,0,,,SW,28,14:32,16.5,57,,SW,6,1026.7,24.1,28,,SW,15,1023.5
,2023-10-10,8.4,26.8,0,,,WSW,20,10:45,17.0,57,,WSW,4,1024.0,26.2,27,,SW,9,1020.9
,2023-10-11,15.9,32.4,0,,,NW,54,11:54,24.2,28,,N,13,1018.3,31.0,20,,NNW,30,1014.9
,2023-10-12,9.6,18.5,1.2,,,WSW,80,06:57,11.7,79,,SW,11,1021.0,17.7,50,,WSW,22,1023.0
,2023-10-13,11.7,18.2,0.2,,,WSW,31,11:25,14.2,63,,SW,15,1027.9,17.3,60,,SW,15,1026.2
,2023-10-14,13.4,19.0,0,,,WSW,31,10:09,14.3,77,,W,15,1025.2,17.2,58,,SW,15,1023.2
,2023-10-15,12.0,18.2,2.0,,,WSW,35,16:43,13.9,85,,W,13,1021.5,16.4,71,,WSW,19,1019.8
,2023-10-16,11.3,18.6,3.6,,,SSW,41,01:01,13.5,58,,S,15,1025.2,17.1,40,,S,15,1026.6
,2023-10-17,5.9,19.9,0,,,WSW,28,13:38,13.2,56,,NNE,7,1031.9,18.9,47,,SW,15,1028.4
,2023-10-18,8.4,27.0,0,,,NNE,24,08:57,19.4,33,,NE,9,1026.2,25.9,23,,WSW,15,1022.3
,2023-10-19,12.7,31.7,0,,,NNW,24,10:36,23.2,30,,NNE,9,1019.0,31.0,8,,SW,11,1016.2
,2023-10-20,19.8,23.6,0,,,W,35,11:57,23.4,26,,NNE,9,1014.6,20.7,57,,WNW,17,1014.1
,2023-10-21,12.7,17.9,0,,,W,50,11:49,14.7,59,,WSW,20,1017.1,16.9,54,,WSW,22,1017.1
,2023-10-22,11.0,18.2,0.6,,,SW,39,13:31,13.9,57,,SSW,13,1021.4,16.9,47,,SW,20,1020.1
,2023-10-23,6.0,26.3,0,,,NE,31,22:27,13.8,58,,NNE,13,1018.0,24.4,18,,NW,11,1012.0
,2023-10-24,13.7,18.4,0,,,WSW,59,11:35,16.6,59,,WSW,24,1013.5,17.4,39,,WSW,30,1016.5
,2023-10-25,10.0,15.4,0,,,S,50,11:02,11.2,66,,SSW,15,1024.5,13.9,45,,SSW,26,1026.1
,2023-10-26,5.0,18.9,0.2,,,SE,33,17:58,12.9,60,,ESE,4,1034.4,18.0,37,,SSE,11,1032.3
,2023-10-27,9.2,24.3,0,,,E,30,06:03,14.7,46,,ENE,17,1031.9,22.8,25,,N,9,1026.5
,2023-10-28,13.0,28.3,0,,,NNW,52,11:27,20.4,26,,NNE,15,1021.7,23.9,33,,WSW,20,1019.0
,2023-10-29,8.1,20.6,0,,,SW,28,18:47,16.0,59,,SW,9,1016.7,19.3,34,,W,13,1013.0
,2023-10-30,12.0,19.9,0,,,WSW,48,14:57,17.3,61,,WNW,17,1011.7,18.6,45,,WSW,22,1012.3
,2023-10-31,11.2,18.3,0.2,,,SW,41,14:55,14.0,53,,SSE,9,1022.2,17.6,42,,SW,19,1022.0
