"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for April 2024"
"Prepared at 16:02 UTC on Thursday  7 November 2024   IDCJDW5081.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,17.2,22.6,0,,,W,46,20:02,18.6,81,,WNW,17,1016.3,21.2,64,,WSW,11,1013.9
,2024-04-2,15.9,20.4,0.8,,,SW,46,23:02,17.3,73,,SSW,19,1018.5,19.1,60,,SW,17,1019.8
,2024-04-3,13.1,21.6,0.4,,,,,,14.6,88,,NNW,9,1024.0,20.5,50,,SW,13,1022.9
,2024-04-4,12.5,21.6,0.2,,,ESE,39,21:59,15.5,62,,SE,9,1027.2,20.1,44,,SSE,13,1025.1
,2024-04-5,13.5,22.0,0,,,ESE,39,23:07,15.8,56,,E,11,1027.4,21.8,39,,SE,9,1023.8
,2024-04-6,9.9,22.8,0,,,WSW,28,14:33,13.5,79,,N,7,1021.3,21.8,66,,SW,17,1017.4
,2024-04-7,10.5,21.3,0,,,WSW,31,14:14,17.1,64,,SSW,9,1018.1,19.6,50,,WSW,15,1016.0
,2024-04-8,13.2,21.6,0,,,W,37,13:48,17.2,74,,NNE,9,1016.0,16.9,88,,NNW,4,1014.3
,2024-04-9,9.0,18.8,5.0,,,SW,31,12:36,14.7,68,,S,13,1024.1,17.2,55,,SSE,9,1022.7
,2024-04-10,11.4,19.8,0,,,WSW,28,12:41,15.8,62,,S,9,1027.0,17.5,63,,SW,15,1024.7
,2024-04-11,13.1,20.7,0,,,SSW,30,16:20,16.9,74,,S,7,1026.7,20.0,54,,WSW,17,1024.2
,2024-04-12,9.1,19.6,0,,,SW,30,13:35,15.4,63,,ENE,6,1026.2,18.1,54,,SW,17,1023.0
,2024-04-13,9.2,20.6,0,,,SW,30,15:40,15.5,61,,SE,9,1026.1,19.1,59,,WSW,17,1023.2
,2024-04-14,7.7,22.6,0,,,SW,22,17:27,16.3,67,,SE,2,1024.2,22.2,42,,WSW,9,1021.9
,2024-04-15,9.0,22.7,0,,,WSW,26,15:06,17.2,65,,NNE,7,1025.5,21.0,54,,SW,13,1023.5
,2024-04-16,9.2,22.2,0,,,SW,35,16:00,17.3,68,,NNW,2,1027.3,20.4,57,,SW,19,1024.3
,2024-04-17,9.5,20.7,0,,,WSW,30,14:26,16.5,68,,NW,7,1028.7,20.3,46,,SSW,11,1026.1
,2024-04-18,12.0,18.3,0,,,WSW,31,12:03,15.4,57,,SSE,7,1027.8,16.9,59,,WSW,13,1025.4
,2024-04-19,12.1,19.8,5.4,,,S,37,13:48,14.0,81,,SSE,11,1025.8,18.3,52,,SSE,13,1025.6
,2024-04-20,8.3,22.3,0.2,,,W,31,14:51,15.0,68,,ESE,13,1031.6,19.4,56,,W,20,1028.9
,2024-04-21,6.6,21.0,0,,,WSW,19,11:52,14.9,70,, ,Calm,1031.4,20.4,47,,SW,9,1028.4
,2024-04-22,6.3,26.4,0,,,WSW,24,14:00,15.1,58,,NE,9,1027.2,25.3,21,,WNW,9,1022.1
,2024-04-23,13.9,25.4,0,,,SW,48,22:03,20.0,42,,N,13,1019.0,19.7,74,,SW,22,1017.8
,2024-04-24,8.2,18.5,0,,,S,30,10:00,13.5,67,,SSE,7,1028.6,16.5,52,,SW,13,1027.0
,2024-04-25,7.3,19.4,0,,,WSW,30,12:11,12.3,91,,NNW,9,1030.4,18.7,60,,SW,17,1028.0
,2024-04-26,9.7,17.6,0,,,SW,24,13:33,14.6,56,,SE,2,1030.1,17.1,60,,WSW,11,1027.1
,2024-04-27,9.3,20.8,0,,,E,22,01:35,14.1,59,,NE,13,1027.3,18.2,44,,WSW,9,1023.5
,2024-04-28,11.8,23.6,0,,,WNW,26,12:08,17.1,43,,NNE,7,1022.5,23.3,31,,WNW,11,1019.2
,2024-04-29,12.7,20.3,0,,,ESE,28,17:28,18.5,71,,SE,9,1024.7,17.9,60,,SSE,13,1025.4
,2024-04-30,11.3,17.7,0,,,ESE,44,08:17,13.6,52,,E,17,1032.2,16.9,38,,SE,15,1029.9
