"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for November 2024"
"Prepared at 13:02 UTC on Saturday  9 August 2025   IDCJDW5081.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,9.1,23.7,0,,,ESE,31,18:27,15.1,51,,ESE,13,1021.5,23.0,30,,WNW,6,1018.7
,2024-11-2,14.6,33.6,0,,,NW,50,13:53,22.2,26,,NNE,17,1014.6,31.5,21,,NW,33,1008.3
,2024-11-3,15.6,22.1,0,,,SSW,35,00:26,16.8,62,,SW,13,1013.1,21.4,45,,SW,11,1013.0
,2024-11-4,13.4,23.1,0,,,WSW,26,11:20,17.1,62,,WSW,6,1017.8,21.9,41,,WSW,13,1017.0
,2024-11-5,11.2,27.2,0,,,ENE,52,19:41,20.9,44,,NE,13,1013.3,22.8,60,,NNE,13,1009.7
,2024-11-6,17.1,22.9,2.0,,,NNE,33,23:12,18.6,83,,W,17,1009.5,21.5,55,,SW,13,1010.4
,2024-11-7,11.6,21.7,0.2,,,WNW,56,10:07,16.4,69,,N,13,1013.4,19.0,60,,SW,20,1012.4
,2024-11-8,13.5,21.0,0.6,,,WSW,48,06:07,16.1,68,,SW,17,1016.6,20.3,40,,SSW,13,1018.0
,2024-11-9,9.5,23.2,0,,,SW,24,17:52,15.3,57,,WNW,2,1020.4,20.3,41,,W,9,1018.3
,2024-11-10,10.9,27.9,0,,,WSW,26,12:55,19.0,56,,SE,7,1022.7,25.2,40,,SW,13,1018.2
,2024-11-11,15.0,31.2,0.2,,,NE,31,18:02,24.3,35,,E,11,1016.7,30.4,30,,ENE,15,1012.5
,2024-11-12,17.9,28.1,0,,,SSW,37,21:25,22.8,62,,N,11,1012.4,26.3,47,,SW,15,1010.6
,2024-11-13,15.1,22.3,0,,,WSW,33,10:38,17.2,62,,SSW,13,1018.4,21.0,59,,WSW,19,1018.2
,2024-11-14,9.2,21.0,0,,,WSW,37,15:49,16.0,53,,S,6,1022.3,19.7,47,,SW,19,1019.8
,2024-11-15,9.2,30.4,0,,,WSW,26,13:59,19.7,47,, ,Calm,1018.9,28.1,28,,WSW,17,1014.7
,2024-11-16,19.0,35.7,0,,,NW,52,11:23,29.1,16,,N,19,1008.9,34.4,12,,NW,24,1004.0
,2024-11-17,13.1,20.1,10.2,,,WSW,46,11:14,16.6,63,,WSW,24,1012.3,18.8,50,,SW,24,1015.0
,2024-11-18,14.3,20.6,0,,,SSW,39,15:46,17.5,55,,S,9,1022.9,20.2,52,,WSW,17,1023.0
,2024-11-19,9.3,25.0,0,,,WSW,37,13:53,16.7,53,,ESE,7,1026.0,21.1,52,,WSW,22,1022.4
,2024-11-20,10.4,30.3,0,,,W,30,12:31,20.4,46,,ENE,13,1021.8,29.5,23,,WSW,11,1019.2
,2024-11-21,14.7,35.8,0,,,E,28,22:43,27.1,29,,NE,9,1018.2,34.5,13,,SW,13,1015.3
,2024-11-22,26.3,37.5,0,,,N,39,11:38,31.0,26,,NNE,17,1016.0,34.9,25,,WSW,9,1012.6
,2024-11-23,24.6,32.8,0,,,WSW,35,11:22,29.5,34,,SE,13,1013.6,20.9,86,,SW,17,1016.4
,2024-11-24,17.8,26.5,1.2,,,WSW,24,23:31,21.4,77,,N,6,1017.1,23.4,70,,SW,13,1015.2
,2024-11-25,17.3,28.5,0,,,WSW,26,11:18,23.1,61,,N,7,1012.7,24.2,64,,WSW,7,1009.6
,2024-11-26,19.1,33.8,0,,,W,44,17:20,26.3,64,,N,11,1006.3,33.0,24,,WSW,13,1001.9
,2024-11-27,15.6,23.2,3.6,,,W,54,13:01,16.9,88,,NW,24,1003.7,22.6,59,,W,30,1004.8
,2024-11-28,15.0,22.5,0.8,,,SSW,31,13:00,18.3,71,,S,15,1016.1,20.4,63,,S,9,1016.2
,2024-11-29,11.6,24.9,0,,,WSW,28,15:46,18.5,66,,NW,6,1016.9,24.0,51,,WSW,15,1013.6
,2024-11-30,16.3,24.3,1.0,,,SW,35,16:02,21.3,65,, ,Calm,1009.8,23.5,53,,SW,17,1007.2
