"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for May 2025"
"Prepared at 13:02 UTC on Sunday 17 August 2025   IDCJDW5081.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,7.4,21.3,0,,,NNE,20,11:36,13.5,73,,SSE,6,1033.2,20.4,39,,E,6,1029.7
,2025-05-2,9.8,22.7,0,,,NE,26,09:57,15.7,50,,NE,11,1032.2,21.7,37,,W,9,1028.4
,2025-05-3,11.3,24.5,0,,,N,33,10:22,18.0,35,,NNE,15,1030.2,23.5,27,,WNW,11,1025.2
,2025-05-4,16.5,26.5,0,,,N,50,11:10,21.1,41,,N,17,1025.9,25.5,34,,NW,22,1021.5
,2025-05-5,19.1,27.0,0,,,NNW,50,12:13,22.2,39,,NNE,15,1021.5,26.7,29,,NW,20,1018.3
,2025-05-6,14.3,23.1,0,,,NW,41,14:02,16.9,82,,N,9,1019.6,21.3,65,,WNW,20,1017.8
,2025-05-7,15.6,19.5,2.2,,,SSW,39,11:28,16.0,92,,SW,13,1021.2,18.7,53,,SW,19,1022.7
,2025-05-8,7.0,19.1,3.6,,,,,,13.1,75,, ,Calm,1032.4,17.9,52,,SW,11,1030.4
,2025-05-9,6.7,20.9,0,,,SW,20,15:03,14.2,66,, ,Calm,1032.9,19.2,46,,SW,11,1029.5
,2025-05-10,6.6,23.9,0,,,ENE,20,03:03,15.9,54,,NE,9,1029.4,21.4,44,,WSW,13,1025.0
,2025-05-11,9.1,24.0,0,,,NNE,20,05:50,14.8,60,, ,Calm,1026.2,23.7,35,,WSW,9,1023.7
,2025-05-12,8.6,24.5,0,,,W,17,13:04,16.4,49,, ,Calm,1026.6,23.4,39,,WSW,9,1023.8
,2025-05-13,8.0,25.9,0,,,W,22,12:40,16.3,57,,N,2,1024.8,25.4,25,,W,11,1021.6
,2025-05-14,7.7,20.5,0,,,SW,28,11:59,15.4,72,, ,Calm,1024.4,19.4,57,,SW,11,1023.1
,2025-05-15,11.3,18.0,0,,,SW,20,13:49,15.6,58,,S,2,1025.8,16.8,62,,SW,11,1023.3
,2025-05-16,13.0,16.2,0,,,NW,26,11:15,14.5,78,,NNE,7,1022.3,15.6,81,,SSE,7,1020.0
,2025-05-17,8.0,16.5,0.4,,,E,26,12:23,13.6,86,, ,Calm,1023.5,13.7,82,,SSW,13,1023.8
,2025-05-18,6.7,15.9,0.8,,,SE,28,12:20,11.7,58,,E,9,1032.8,14.3,46,,S,13,1031.8
,2025-05-19,3.1,17.0,0,,,ENE,26,09:26,11.3,60,,ENE,11,1033.6,16.0,36,,E,7,1030.4
,2025-05-20,3.7,18.7,0,,,NNW,26,12:51,10.8,54,,NNW,6,1030.2,18.5,35,,NW,15,1027.6
,2025-05-21,5.7,18.1,0,,,N,17,09:57,12.8,55,,NNE,11,1028.4,16.7,63,,SW,9,1025.2
,2025-05-22,5.8,19.3,0,,,ESE,20,12:12,13.5,57,, ,Calm,1025.3,18.4,29,,SSE,11,1020.4
,2025-05-23,3.8,18.7,0,,,WSW,22,13:37,11.8,54,,NNE,7,1017.5,18.6,50,,W,9,1012.6
,2025-05-24,10.2,21.7,0,,,NW,46,12:02,13.1,56,,N,15,1010.8,21.0,33,,NW,20,1008.6
,2025-05-25,9.3,22.0,0,,,NW,39,13:22,14.3,71,,NNE,11,1012.6,21.5,34,,NNW,20,1006.4
,2025-05-26,13.0,16.0,0,,,WNW,72,21:37,14.9,60,,NNW,28,1003.9,15.3,66,,WNW,30,1003.3
,2025-05-27,9.1,17.2,15.0,,,W,46,02:23,13.8,82,,SW,20,1016.8,16.4,72,,SW,19,1020.6
,2025-05-28,9.5,17.6,0.8,,,SW,28,14:44,13.9,71,,SSE,9,1027.7,16.5,64,,SW,15,1026.0
,2025-05-29,10.7,18.9,0,,,SSE,28,13:49,13.8,73,,SSW,7,1027.4,18.4,54,,SSE,11,1025.0
,2025-05-30,7.0,21.0,0,,,ESE,24,01:37,12.1,78,,SW,2,1029.2,20.0,46,,WSW,7,1027.1
,2025-05-31,4.8,19.7,0.2,,,NE,22,23:59,11.8,86,,E,2,1028.6,19.4,40,,SW,2,1025.4
