"Daily Weather Observations for Albany, Western Australia for July 2024"
"Prepared at 13:02 UTC on Monday  4 November 2024   IDCJDW6001.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from a city site down near the harbour, but some from the airport."
"The airport is approximately 11 kilometres inland and on some days can experience quite different evaporation and sunshine conditions from those in the city."
"Temperature, humidity, wind, cloud and rainfall observations are from Albany {station 009500}"
"Pressure, evaporation and sunshine observations are from Albany Airport {station 009999}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,7.0,19.3,0,,,,,,9.0,87,0,N,4,1027.0,,,,,,1021.0
,2024-07-2,9.1,15.2,5.6,,,,,,12.2,87,7,SW,17,1024.6,,,,,,1027.6
,2024-07-3,11.5,16.6,3.0,,,,,,15.0,66,7,SE,4,1038.0,,,,,,1037.4
,2024-07-4,13.6,17.0,0.3,,,,,,15.0,68,4,E,24,1037.5,,,,,,1035.1
,2024-07-5,10.4,17.3,0.5,,,,,,12.4,81,6,NE,6,1032.6,,,,,,1027.3
,2024-07-6,8.0,15.0,0,,,,,,10.2,75,6,NNE,7,1020.8,,,,,,1011.9
,2024-07-7,10.4,18.0,0.5,,,,,,14.4,74,6,NE,28,1005.8,,,,,,1007.2
,2024-07-8,9.5,18.4,2.2,,,,,,12.3,84,1,WNW,4,1015.4,,,,,,1011.8
,2024-07-9,12.4,22.0,0,,,,,,16.5,75,1,N,9,1005.4,,,,,,1003.5
,2024-07-10,10.5,15.2,10.6,,,,,,12.0,82,2,NNW,31,1010.1,,,,,,1013.3
,2024-07-11,10.2,16.1,5.8,,,,,,11.5,84,7,WNW,9,1021.3,,,,,,1020.7
,2024-07-12,11.0,16.0,3.4,,,,,,12.9,80,5,NW,13,1024.2,,,,,,1022.9
,2024-07-13,9.0,15.5,0.2,,,,,,10.0,80,4,NNE,2,1023.7,,,,,,1020.7
,2024-07-14,8.0,17.5,0,,,,,,11.0,81,6, ,Calm,1021.5,,,,,,1019.7
,2024-07-15,8.6,17.7,0,,,,,,9.9,93,1,N,4,1025.9,,,,,,1024.1
,2024-07-16,9.5,21.5,0,,,,,,11.2,79,1,N,4,1026.4,,,,,,1022.8
,2024-07-17,10.0,19.2,0,,,,,,13.0,66,8, ,Calm,1015.4,,,,,,1010.0
,2024-07-18,12.0,15.5,19.0,,,,,,12.5,73,5,WNW,9,1010.1,,,,,,1007.6
,2024-07-19,8.5,15.5,7.5,,,,,,12.0,64,3,W,20,1018.0,,,,,,1018.0
,2024-07-20,11.0,18.5,1.0,,,,,,13.5,72,2,NNW,13,1018.2,,,,,,1015.8
,2024-07-21,13.0,20.5,0.4,,,,,,15.0,73,8,NW,13,1017.0,,,,,,1014.7
,2024-07-22,14.0,20.0,0.4,,,,,,15.0,80,7,NW,20,1012.5,,,,,,1009.0
,2024-07-23,12.1,16.5,9.2,,,,,,13.9,57,7,W,28,1011.2,,,,,,1011.7
,2024-07-24,8.5,16.0,3.4,,,,,,10.0,86,5,NNW,19,1014.9,,,,,,1012.9
,2024-07-25,10.0,16.0,6.8,,,,,,12.0,82,3,NNW,7,1012.7,,,,,,1011.9
,2024-07-26,8.0,15.0,12.0,,,,,,11.0,87,3, ,Calm,1019.8,,,,,,1020.1
,2024-07-27,7.0,19.0,0,,,,,,12.5,77,2,NW,13,1023.0,,,,,,1019.7
,2024-07-28,12.0,20.5,0,,,,,,15.5,63,7,N,13,1012.1,,,,,,1008.0
,2024-07-29,11.0,19.1,4.0,,,,,,12.8,73,6,N,20,1012.6,,,,,,1011.1
,2024-07-30,11.0,20.5,1.0,,,,,,14.0,88,0,NNW,11,1018.6,,,,,,1017.1
,2024-07-31,11.6,20.8,2.4,,,,,,14.6,91,1,N,7,1015.0,,,,,,1007.8
