"Daily Weather Observations for Albany, Western Australia for August 2024"
"Prepared at 13:02 UTC on Sunday  3 November 2024   IDCJDW6001.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from a city site down near the harbour, but some from the airport."
"The airport is approximately 11 kilometres inland and on some days can experience quite different evaporation and sunshine conditions from those in the city."
"Temperature, humidity, wind, cloud and rainfall observations are from Albany {station 009500}"
"Pressure, evaporation and sunshine observations are from Albany Airport {station 009999}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,8.0,12.5,20.5,,,,,,8.9,81,6,NW,26,1016.0,,,,,,1019.0
,2024-08-2,6.0,16.0,6.0,,,,,,9.0,79,3,NNW,7,1025.1,,,,,,1023.4
,2024-08-3,6.0,17.3,0.1,,,,,,9.7,84,2, ,Calm,1027.2,,,,,,1024.4
,2024-08-4,6.1,19.2,0,,,,,,8.0,86,0,WSW,6,1024.9,,,,,,1021.0
,2024-08-5,8.0,19.0,0,,,,,,13.6,72,7,N,7,1018.0,,,,,,1016.3
,2024-08-6,13.5,20.9,0,,,,,,15.6,73,7,N,15,1012.2,,,,,,1008.5
,2024-08-7,13.0,15.8,0.9,,,,,,13.1,89,8,NW,28,1006.1,,,,,,1009.7
,2024-08-8,10.2,19.1,1.9,,,,,,12.8,73,6,WNW,28,1019.5,,,,,,1019.1
,2024-08-9,11.2,20.2,0,,,,,,15.0,82,6,N,7,1021.9,,,,,,1019.5
,2024-08-10,10.9,23.8,0,,,,,,14.6,77,2, ,Calm,1017.6,,,,,,1009.9
,2024-08-11,13.6,20.0,2.0,,,,,,15.2,86,6,NNW,11,1009.1,,,,,,1007.3
,2024-08-12,13.1,17.0,0.9,,,,,,14.6,80,3,WNW,7,1009.3,,,,,,1010.6
,2024-08-13,10.2,20.1,0.4,,,,,,13.2,80,1,N,11,1015.6,,,,,,1011.4
,2024-08-14,10.3,16.5,12.2,,,,,,13.4,78,2,NNW,20,1007.1,,,,,,1005.4
,2024-08-15,9.7,15.4,11.6,,,,,,14.8,64,3,WSW,41,1012.5,,,,,,1014.0
,2024-08-16,7.0,19.0,0.4,,,,,,11.1,76,8,N,7,1015.8,,,,,,1012.0
,2024-08-17,11.1,19.8,0,,,,,,14.5,73,8,NNE,6,1008.3,,,,,,1001.7
,2024-08-18,11.0,16.1,5.8,,,,,,12.9,94,8,SW,6,995.1,,,,,,997.1
,2024-08-19,13.0,16.5,9.6,,,,,,15.9,74,4,SSW,31,1011.8,,,,,,1012.5
,2024-08-20,9.3,18.9,5.4,,,,,,14.0,71,1,NW,15,1014.7,,,,,,1013.0
,2024-08-21,12.9,16.6,8.1,,,,,,12.9,92,7,W,4,1017.8,,,,,,1016.4
,2024-08-22,10.6,15.8,0.9,,,,,,12.2,92,8,ENE,4,1009.7,,,,,,999.2
,2024-08-23,12.1,15.5,19.6,,,,,,14.0,91,3,WNW,13,1004.2,,,,,,1001.3
,2024-08-24,12.0,14.5,2.8,,,,,,13.6,67,6,WNW,39,1000.9,,,,,,1003.7
,2024-08-25,10.0,19.0,14.8,,,,,,13.9,77,7,NW,20,1016.9,,,,,,1015.8
,2024-08-26,13.2,22.2,0,,,,,,16.7,68,7,N,37,1012.8,,,,,,1008.2
,2024-08-27,13.8,17.0,5.6,,,,,,15.1,,6,W,28,1010.8,,,,,,1013.8
,2024-08-28,11.6,20.1,1.0,,,,,,14.0,67,8,N,26,1017.0,,,,,,1010.9
,2024-08-29,12.6,16.3,4.6,,,,,,13.2,84,7,W,46,1005.0,,,,,,1007.8
,2024-08-30,9.0,16.0,6.8,,,,,,11.0,90,6,NNW,37,1012.8,,,,,,1013.9
,2024-08-31,10.8,17.2,1.2,,,,,,13.0,88,8,W,13,1014.0,,,,,,1012.5
