"Daily Weather Observations for Albany, Western Australia for January 2025"
"Prepared at 16:02 UTC on Thursday  7 August 2025   IDCJDW6001.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from a city site down near the harbour, but some from the airport."
"The airport is approximately 11 kilometres inland and on some days can experience quite different evaporation and sunshine conditions from those in the city."
"Temperature, humidity, wind, cloud and rainfall observations are from Albany {station 009500}"
"Pressure, evaporation and sunshine observations are from Albany Airport {station 009999}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,,24.5,0,,,,,,,,,,,1017.5,,,,,,1013.4
,2025-01-2,17.5,29.9,0,,,,,,24.5,76,0,SSE,9,1009.6,,,,,,1009.2
,2025-01-3,18.0,22.0,0,,,,,,19.5,77,6,SW,28,1013.9,,,,,,1013.6
,2025-01-4,15.5,20.0,0,,,,,,18.0,92,3,S,19,1018.2,,,,,,1017.2
,2025-01-5,16.0,23.6,0,,,,,,19.5,90,4,ESE,11,1020.1,,,,,,1019.2
,2025-01-6,15.9,25.6,0,,,,,,23.3,81,2,E,11,1019.2,,,,,,1015.2
,2025-01-7,18.4,27.8,0,,,,,,23.6,82,7,S,9,1010.6,,,,,,1010.8
,2025-01-8,17.1,21.6,0,,,,,,18.2,84,6,SSW,28,1015.9,,,,,,1014.8
,2025-01-9,13.3,22.2,0,,,,,,19.1,76,3,S,19,1016.8,,,,,,1013.5
,2025-01-10,16.8,22.0,0,,,,,,20.1,86,8,SW,13,1012.4,,,,,,1012.0
,2025-01-11,17.6,22.1,0.3,,,,,,18.8,64,8,S,22,1015.6,,,,,,1012.7
,2025-01-12,13.5,25.7,0,,,,,,21.8,61,1,W,7,1009.9,,,,,,1008.1
,2025-01-13,18.4,22.4,1.0,,,,,,19.5,94,8,SSW,11,1010.6,,,,,,1006.9
,2025-01-14,16.0,20.1,1.2,,,,,,18.0,63,3,SW,37,1014.8,,,,,,1015.8
,2025-01-15,11.9,23.1,0,,,,,,19.9,97,0,WNW,9,1017.2,,,,,,1014.4
,2025-01-16,14.3,28.5,0,,,,,,21.1,90,0,SSE,20,1013.5,,,,,,1007.2
,2025-01-17,20.5,27.0,0,,,,,,26.6,92,8,WNW,9,1001.2,,,,,,1000.1
,2025-01-18,14.2,22.2,9.2,,,,,,19.0,85,2,SW,17,1015.8,,,,,,1015.9
,2025-01-19,15.8,24.0,0,,,,,,22.0,89,3,NE,19,1018.1,,,,,,1015.1
,2025-01-20,18.6,25.6,0,,,,,,23.5,96,0,E,11,1014.0,,,,,,1009.8
,2025-01-21,20.5,28.4,0.3,,,,,,22.2,98,8,E,13,1012.4,,,,,,1010.1
,2025-01-22,21.0,24.0,0,,,,,,21.0,97,8,E,24,1011.8,,,,,,1010.9
,2025-01-23,20.2,28.5,1.4,,,,,,21.9,95,7,SSE,19,1014.4,,,,,,1013.9
,2025-01-24,20.2,30.2,0.4,,,,,,25.2,74,1,NNE,13,1005.0,,,,,,1003.5
,2025-01-25,20.5,21.0,0.6,,,,,,20.6,95,8,SSE,24,1009.1,,,,,,1010.3
,2025-01-26,18.2,21.7,0.6,,,,,,18.4,90,8,SW,11,1013.7,,,,,,1013.6
,2025-01-27,16.0,22.0,0,,,,,,19.4,69,8,S,13,1018.3,,,,,,1018.5
,2025-01-28,17.4,23.4,0,,,,,,21.0,57,4,E,11,1022.5,,,,,,1021.3
,2025-01-29,18.1,24.2,0,,,,,,23.0,60,0,E,11,1021.2,,,,,,1018.5
,2025-01-30,19.4,28.0,0,,,,,,23.0,70,1,ESE,31,1016.3,,,,,,1011.8
,2025-01-31,20.8,29.1,0,,,,,,26.0,68,0,SW,19,1004.3,,,,,,1004.4
