"Daily Weather Observations for Albany, Western Australia for March 2025"
"Prepared at 13:02 UTC on Tuesday 19 August 2025   IDCJDW6001.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from a city site down near the harbour, but some from the airport."
"The airport is approximately 11 kilometres inland and on some days can experience quite different evaporation and sunshine conditions from those in the city."
"Temperature, humidity, wind, cloud and rainfall observations are from Albany {station 009500}"
"Pressure, evaporation and sunshine observations are from Albany Airport {station 009999}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,18.7,22.9,0,,,,,,19.7,72,8,SW,24,1022.6,,,,,,1020.7
,2025-03-2,15.5,26.0,0,,,,,,21.4,66,0,ENE,13,1018.3,,,,,,1012.8
,2025-03-3,17.2,24.1,0,,,,,,21.5,81,4,W,13,1009.9,,,,,,1009.2
,2025-03-4,17.2,20.5,2.6,,,,,,18.0,63,8,SSW,13,1023.2,,,,,,1024.8
,2025-03-5,16.0,22.9,0,,,,,,20.0,55,4,E,26,1028.7,,,,,,1025.6
,2025-03-6,16.9,26.1,0,,,,,,21.1,56,0,ENE,13,1022.3,,,,,,1016.2
,2025-03-7,19.2,27.1,0,,,,,,23.2,69,1,E,2,1011.6,,,,,,1007.0
,2025-03-8,19.7,22.1,0,,,,,,21.8,79,7,WSW,37,1005.1,,,,,,1007.4
,2025-03-9,16.2,19.3,5.0,,,,,,17.6,86,6,SW,30,1017.1,,,,,,1018.7
,2025-03-10,17.1,21.4,0,,,,,,19.0,82,8,SSE,13,1023.1,,,,,,1019.6
,2025-03-11,15.6,24.4,1.2,,,,,,20.0,85,4,E,11,1016.7,,,,,,1011.7
,2025-03-12,20.0,33.3,0,,,,,,24.2,67,8,NE,2,1005.5,,,,,,1004.9
,2025-03-13,18.8,25.5,0,,,,,,21.6,86,5,WSW,2,1010.8,,,,,,1009.8
,2025-03-14,18.6,27.5,126.4,,,,,,22.0,90,3,E,11,1008.4,,,,,,1008.4
,2025-03-15,18.0,20.4,2.0,,,,,,18.8,91,8,SW,31,1021.0,,,,,,1021.9
,2025-03-16,17.8,20.9,0.9,,,,,,18.5,65,8,ESE,31,1030.1,,,,,,1028.5
,2025-03-17,17.6,24.1,0,,,,,,19.1,63,7,E,11,1026.5,,,,,,1019.2
,2025-03-18,14.6,24.2,0,,,,,,18.2,84,2,W,11,1015.1,,,,,,1010.4
,2025-03-19,16.7,19.7,5.0,,,,,,18.4,93,7,SW,37,1009.7,,,,,,1012.9
,2025-03-20,16.9,20.6,1.8,,,,,,18.0,56,8,SW,9,1020.0,,,,,,1016.9
,2025-03-21,11.5,22.2,0,,,,,,16.9,80,0,WNW,2,1018.3,,,,,,1015.3
,2025-03-22,16.7,23.4,0,,,,,,21.5,77,0,E,11,1016.4,,,,,,1013.2
,2025-03-23,19.8,23.1,0,,,,,,20.9,75,7,SSE,41,1020.4,,,,,,1019.0
,2025-03-24,20.0,24.9,0,,,,,,22.9,75,2,E,11,1017.9,,,,,,1014.1
,2025-03-25,20.9,25.8,0,,,,,,22.1,83,7,S,11,1017.4,,,,,,1017.1
,2025-03-26,20.6,24.0,0,,,,,,22.4,75,6,E,13,1019.8,,,,,,1016.8
,2025-03-27,,25.0,0,,,,,,22.1,82,1,E,6,1018.8,,,,,,1014.4
,2025-03-28,15.8,23.4,0.1,,,,,,19.7,93,3,SE,11,1014.5,,,,,,1014.3
,2025-03-29,19.6,24.1,0,,,,,,22.4,76,7,E,31,1017.1,,,,,,1015.8
,2025-03-30,19.8,25.1,0.2,,,,,,22.1,64,2,E,31,1020.6,,,,,,1018.5
,2025-03-31,19.5,26.3,0,,,,,,22.2,64,1,NE,13,1018.6,,,,,,1013.2
