"Daily Weather Observations for Albany, Western Australia for April 2025"
"Prepared at 13:02 UTC on Monday 18 August 2025   IDCJDW6001.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from a city site down near the harbour, but some from the airport."
"The airport is approximately 11 kilometres inland and on some days can experience quite different evaporation and sunshine conditions from those in the city."
"Temperature, humidity, wind, cloud and rainfall observations are from Albany {station 009500}"
"Pressure, evaporation and sunshine observations are from Albany Airport {station 009999}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,16.5,24.4,0,,,,,,22.5,65,4,WNW,11,1013.1,,,,,,1015.8
,2025-04-2,16.6,,0,,,,,,18.0,52,8,SE,20,1023.7,,,,,,1022.5
,2025-04-3,,21.9,0,,,,,,,,,,,1023.3,,,,,,1020.3
,2025-04-4,16.0,19.5,7.1,,,,,,17.4,76,8,E,20,1024.2,,,,,,1023.2
,2025-04-5,15.2,21.8,14.4,,,,,,19.0,85,7,NE,7,1021.7,,,,,,1017.7
,2025-04-6,17.8,23.0,6.0,,,,,,21.2,98,7,ENE,33,1018.8,,,,,,1016.3
,2025-04-7,19.6,24.2,0,,,,,,22.4,99,2,E,11,1016.8,,,,,,1014.3
,2025-04-8,19.2,22.0,8.0,,,,,,20.9,92,8,S,11,1018.1,,,,,,1019.1
,2025-04-9,16.4,20.8,0.5,,,,,,18.1,94,7,NNW,11,1021.6,,,,,,1019.4
,2025-04-10,14.7,19.6,0,,,,,,18.0,96,6,NW,13,1021.7,,,,,,1021.0
,2025-04-11,15.9,27.2,4.2,,,,,,19.0,99,5,NE,11,1017.7,,,,,,1012.9
,2025-04-12,19.0,21.1,0,,,,,,20.5,100,7,SW,13,1014.2,,,,,,1015.6
,2025-04-13,17.5,19.3,0.6,,,,,,18.8,83,8,SE,39,1019.3,,,,,,1016.5
,2025-04-14,17.5,19.6,73.8,,,,,,18.3,95,8,SSW,13,1012.9,,,,,,1014.4
,2025-04-15,13.9,20.1,0.8,,,,,,15.0,83,8,N,11,1019.8,,,,,,1019.0
,2025-04-16,11.3,22.2,0,,,,,,15.6,85,3,NE,4,1021.7,,,,,,1018.6
,2025-04-17,12.2,,0,,,,,,15.8,85,1,W,9,1016.0,,,,,,1013.6
,2025-04-18,,20.2,,,,,,,,,,,,1017.4,,,,,,1017.8
,2025-04-19,13.7,18.4,3.8,,,,,,16.4,63,8,S,11,1021.2,,,,,,1021.0
,2025-04-20,7.4,20.9,0,,,,,,13.4,85,1, ,Calm,1023.2,,,,,,1020.4
,2025-04-21,8.4,22.9,0,,,,,,17.1,63,1,NE,13,1022.4,,,,,,1018.8
,2025-04-22,15.7,,0,,,,,,20.3,65,3,NNW,6,1016.7,,,,,,1012.0
,2025-04-23,,26.3,2.0,,,,,,,,,,,1009.9,,,,,,1007.7
,2025-04-24,15.2,17.5,3.5,,,,,,15.7,63,8,SSW,52,1021.1,,,,,,1023.4
,2025-04-25,13.5,18.5,0.9,,,,,,14.5,74,4,SW,24,1027.1,,,,,,1025.9
,2025-04-26,10.0,18.8,0.2,,,,,,14.8,81,6,W,9,1026.3,,,,,,1023.7
,2025-04-27,13.5,19.4,3.8,,,,,,15.8,91,7,W,4,1026.4,,,,,,1024.4
,2025-04-28,12.0,20.2,0.5,,,,,,15.8,82,3,W,11,1028.1,,,,,,1027.0
,2025-04-29,10.5,22.0,0,,,,,,14.0,89,2,N,9,1029.1,,,,,,1027.3
,2025-04-30,12.5,25.0,0,,,,,,16.5,76,0,NNE,9,1027.6,,,,,,1024.6
