"Daily Weather Observations for Albany, Western Australia for May 2025"
"Prepared at 13:02 UTC on Sunday 17 August 2025   IDCJDW6001.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from a city site down near the harbour, but some from the airport."
"The airport is approximately 11 kilometres inland and on some days can experience quite different evaporation and sunshine conditions from those in the city."
"Temperature, humidity, wind, cloud and rainfall observations are from Albany {station 009500}"
"Pressure, evaporation and sunshine observations are from Albany Airport {station 009999}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,12.5,27.5,0,,,,,,19.0,56,7,NW,11,1021.5,,,,,,1016.2
,2025-05-2,16.8,27.0,0,,,,,,20.1,72,7,NNE,31,1011.5,,,,,,1007.0
,2025-05-3,13.6,17.2,6.0,,,,,,14.8,82,8,NW,15,1009.8,,,,,,1011.1
,2025-05-4,12.0,20.1,10.0,,,,,,16.0,89,4,NW,20,1013.7,,,,,,1014.4
,2025-05-5,14.1,20.0,5.0,,,,,,16.4,77,8,NNW,11,1021.0,,,,,,1020.4
,2025-05-6,15.1,19.6,0.5,,,,,,16.8,86,6,NW,7,1024.4,,,,,,1024.0
,2025-05-7,13.6,20.0,0.4,,,,,,15.5,96,4,N,6,1028.3,,,,,,1025.2
,2025-05-8,12.2,25.6,0,,,,,,14.2,89,1, ,Calm,1023.7,,,,,,1020.0
,2025-05-9,11.6,29.0,0,,,,,,15.0,100,0,N,6,1020.9,,,,,,1017.0
,2025-05-10,15.0,20.5,0,,,,,,19.5,81,6,W,2,1021.5,,,,,,1022.0
,2025-05-11,11.6,19.6,0,,,,,,14.5,86,7, ,Calm,1026.4,,,,,,1024.7
,2025-05-12,10.2,20.0,0,,,,,,12.1,88,0,W,6,1025.2,,,,,,1023.6
,2025-05-13,12.2,19.1,0,,,,,,17.6,70,5,SSW,13,1030.0,,,,,,1029.8
,2025-05-14,10.6,17.9,0,,,,,,13.9,82,8,N,4,1032.6,,,,,,1030.6
,2025-05-15,13.4,20.2,0,,,,,,15.0,74,1,NNE,7,1029.0,,,,,,1025.6
,2025-05-16,10.0,19.6,0,,,,,,14.0,87,2, ,Calm,1028.0,,,,,,1026.0
,2025-05-17,13.0,22.3,0,,,,,,14.3,89,6,N,6,1027.9,,,,,,1024.4
,2025-05-18,9.8,24.7,0,,,,,,15.0,68,0,N,6,1026.3,,,,,,1022.1
,2025-05-19,12.0,21.6,0,,,,,,17.5,50,4,N,6,1016.7,,,,,,1020.6
,2025-05-20,12.3,18.7,3.6,,,,,,14.5,70,6, ,Calm,1030.8,,,,,,1029.8
,2025-05-21,7.2,20.5,0,,,,,,9.8,87,1,ENE,9,1030.6,,,,,,1025.9
,2025-05-22,8.8,22.2,0,,,,,,15.0,71,6,NNW,13,1017.9,,,,,,1011.2
,2025-05-23,9.2,14.5,26.4,,,,,,10.4,90,7,W,9,1015.1,,,,,,1015.3
,2025-05-24,7.2,16.1,5.8,,,,,,10.0,87,6,NNW,11,1016.1,,,,,,1012.1
,2025-05-25,10.2,14.9,12.4,,,,,,13.2,64,6,SW,56,1012.1,,,,,,1014.7
,2025-05-26,11.5,15.9,0.8,,,,,,14.5,62,8,N,13,1023.6,,,,,,1023.7
,2025-05-27,12.9,18.9,0,,,,,,13.7,72,8, ,Calm,1026.0,,,,,,1022.5
,2025-05-28,8.8,18.8,0,,,,,,11.0,86,3,N,4,1024.2,,,,,,1021.1
,2025-05-29,9.5,19.3,0,,,,,,11.8,90,8,ENE,9,1022.1,,,,,,1018.0
,2025-05-30,11.6,22.7,0.8,,,,,,19.0,59,7,N,15,1012.5,,,,,,1009.5
,2025-05-31,15.9,20.0,0.3,,,,,,17.1,87,8,NW,19,1012.8,,,,,,1013.6
