"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for October 2023"
"Prepared at 13:03 UTC on Wednesday 13 November 2024   IDCJDW6081.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,10.3,18.6,1.0,,,NW,78,11:51,16.5,72,,NW,33,1010.9,16.8,83,,NW,35,1006.1
,2023-10-2,9.0,14.6,7.8,,,,,,11.4,83,,WSW,30,1012.7,12.4,69,,SW,28,1017.1
,2023-10-3,,16.6,,,,WSW,39,00:03,12.6,90,,SW,15,1026.2,15.4,74,,WSW,22,1026.6
,2023-10-4,6.4,18.2,0,,,W,28,12:53,15.5,87,,WNW,13,1027.5,16.9,85,,W,15,1025.4
,2023-10-5,8.5,21.6,0.2,,,SSE,33,17:20,14.4,100,,E,17,1026.8,20.5,76,,SSE,19,1023.9
,2023-10-6,11.7,25.9,0,,,SE,28,17:57,18.7,83,,E,13,1023.3,25.2,63,,SE,13,1020.3
,2023-10-7,15.1,29.9,0.2,,,N,35,12:10,21.2,80,,E,11,1020.2,29.2,36,,W,7,1017.7
,2023-10-8,11.4,19.7,0,,,WNW,35,10:51,17.3,99,,NNW,17,1019.8,17.8,87,,WNW,17,1020.1
,2023-10-9,11.0,20.4,0,,,W,31,14:44,17.7,74,,W,17,1022.0,17.7,70,,SW,17,1020.7
,2023-10-10,12.6,17.5,0.2,,,W,44,12:52,15.6,57,,SSW,17,1024.7,14.8,64,,WSW,22,1024.5
,2023-10-11,11.9,17.2,0,,,SSW,35,03:47,14.6,60,,S,19,1028.6,16.3,55,,S,17,1028.7
,2023-10-12,7.6,20.9,0,,,E,39,07:44,14.6,66,,ESE,20,1032.9,18.3,64,,SSE,20,1030.0
,2023-10-13,9.1,24.9,0,,,SE,46,19:27,16.1,79,,ESE,19,1030.3,20.5,69,,SSE,20,1027.4
,2023-10-14,10.9,23.2,0,,,SE,39,23:00,16.3,86,,ESE,20,1028.6,19.7,75,,SE,24,1026.0
,2023-10-15,9.9,27.0,0,,,SE,35,01:08,20.0,62,,E,22,1027.4,26.5,52,,SSE,13,1024.3
,2023-10-16,13.2,31.2,0,,,N,46,13:40,25.9,38,,NNE,22,1021.5,29.8,21,,NW,20,1019.9
,2023-10-17,8.7,24.6,0,,,SW,35,13:20,21.9,77,,SE,13,1018.1,19.8,72,,SSW,22,1019.0
,2023-10-18,13.9,20.7,1.0,,,SE,31,16:14,18.3,84,,SE,15,1024.7,18.0,66,,SSE,17,1024.3
,2023-10-19,10.9,20.5,0,,,SE,30,08:54,16.8,71,,ESE,17,1026.4,18.9,54,,S,15,1023.9
,2023-10-20,8.9,22.0,0,,,SSE,28,16:03,16.9,69,,ESE,17,1023.6,20.8,55,,SSE,19,1020.1
,2023-10-21,10.6,25.9,0,,,W,31,19:55,18.6,70,,N,9,1018.2,24.5,32,,NNW,15,1015.5
,2023-10-22,13.8,19.3,2.0,,,SW,44,13:46,15.2,100,,W,15,1015.4,16.4,78,,SW,22,1014.8
,2023-10-23,10.6,17.5,1.4,,,S,33,12:59,12.7,66,,S,13,1023.3,16.0,51,,SSE,17,1023.0
,2023-10-24,6.2,21.2,0,,,ENE,37,08:23,15.0,53,,ENE,17,1024.6,19.2,47,,WSW,20,1022.0
,2023-10-25,11.3,29.3,0,,,NNE,56,11:58,19.3,42,,NE,24,1019.4,28.1,27,,N,17,1014.2
,2023-10-26,14.6,19.5,0,,,SSW,37,12:12,18.5,79,,WSW,19,1018.9,17.1,70,,S,20,1020.8
,2023-10-27,10.1,18.8,0.2,,,SSW,33,11:28,13.0,81,,SE,7,1028.8,15.7,56,,SSE,19,1028.0
,2023-10-28,2.7,18.8,0,,,WSW,35,16:12,16.6,49,,WSW,13,1027.3,16.4,55,,WSW,22,1024.1
,2023-10-29,13.2,19.1,2.8,,,SW,33,08:25,15.4,100,,SSW,13,1020.8,16.6,63,,SSE,17,1020.3
,2023-10-30,10.4,17.4,0,,,SSE,33,14:24,14.1,63,,SSE,17,1023.9,16.6,59,,SSE,20,1022.7
,2023-10-31,7.5,23.5,0,,,SSE,35,14:44,16.4,63,,E,20,1023.8,21.2,49,,SSE,20,1020.2
