"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for November 2023"
"Prepared at 13:03 UTC on Tuesday 12 November 2024   IDCJDW6081.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,10.4,24.8,0,,,SE,43,17:21,19.0,68,,ESE,19,1021.7,21.2,60,,SSE,22,1020.5
,2023-11-2,12.0,24.2,0,,,SSE,50,15:18,18.2,72,,ESE,26,1022.7,22.4,58,,SE,22,1020.3
,2023-11-3,11.7,30.2,0,,,E,37,08:27,20.4,57,,E,24,1020.7,27.4,47,,SE,19,1016.8
,2023-11-4,15.2,28.8,0,,,E,35,01:45,21.5,57,,E,15,1017.0,26.5,51,,SSE,15,1014.9
,2023-11-5,15.3,28.9,0,,,SE,46,20:08,24.3,50,,ENE,9,1014.8,28.1,38,,W,11,1013.6
,2023-11-6,15.9,23.2,0,,,SSE,37,02:59,18.7,86,,SSE,20,1017.0,20.7,73,,SSE,19,1015.7
,2023-11-7,13.9,22.7,0,,,SE,35,11:11,18.6,67,,SSE,17,1019.0,21.0,56,,SE,19,1017.7
,2023-11-8,9.9,23.7,0,,,WSW,33,23:34,21.4,51,,N,9,1015.7,20.5,62,,WSW,17,1011.9
,2023-11-9,12.5,20.3,1.0,,,S,39,09:08,15.1,82,,S,22,1015.6,18.8,47,,S,20,1015.8
,2023-11-10,11.3,20.8,0,,,SE,35,15:41,16.6,68,,SSW,9,1021.4,19.6,54,,SSE,17,1020.4
,2023-11-11,11.0,22.2,0.2,,,SSE,56,17:57,16.3,66,,ESE,22,1024.4,19.5,58,,SSE,30,1020.8
,2023-11-12,9.9,22.2,0,,,SE,46,08:00,16.9,62,,ESE,28,1022.7,20.9,49,,ESE,20,1019.5
,2023-11-13,14.1,26.8,0,,,SE,35,03:25,19.6,76,,ESE,22,1017.6,22.7,68,,SSE,19,1014.3
,2023-11-14,14.5,22.5,0.2,,,SSE,44,20:34,18.2,80,,SE,22,1015.9,19.5,77,,SE,20,1014.6
,2023-11-15,15.0,22.1,0,,,,,,18.0,71,,SE,30,1020.2,19.3,63,,SE,31,1019.4
,2023-11-16,10.3,25.3,0,,,ESE,44,07:50,17.5,56,,ESE,26,1023.8,21.9,55,,SSE,20,1021.1
,2023-11-17,10.1,23.9,0,,,SE,43,17:51,18.9,56,,ESE,24,1023.8,22.9,52,,SSE,20,1021.2
,2023-11-18,11.1,28.3,0,,,W,33,13:02,20.4,59,,ESE,11,1021.0,24.7,48,,SSE,19,1019.0
,2023-11-19,13.8,23.3,0,,,SSE,52,17:51,19.7,68,,SE,22,1021.0,20.9,63,,SSE,26,1019.7
,2023-11-20,12.0,24.1,0,,,SE,54,17:39,18.3,61,,ESE,24,1022.4,21.4,64,,SE,28,1021.1
,2023-11-21,12.2,26.9,0,,,SSE,44,14:49,19.7,61,,SE,26,1022.6,25.6,54,,SE,26,1018.2
,2023-11-22,14.1,36.1,0,,,E,46,12:39,28.2,36,,E,28,1017.7,34.8,21,,ESE,24,1014.9
,2023-11-23,17.9,37.6,0,,,ENE,39,08:15,30.3,30,,E,22,1014.6,34.9,24,,W,20,1011.0
,2023-11-24,17.1,30.1,0,,,SE,35,15:06,27.6,33,,NE,13,1012.0,25.0,60,,SSE,20,1011.0
,2023-11-25,15.4,33.4,0,,,E,48,08:11,22.7,52,,ESE,28,1014.2,27.3,50,,SE,22,1011.5
,2023-11-26,15.7,34.2,0,,,E,46,08:14,28.5,38,,E,20,1011.2,32.5,27,,NNE,17,1009.8
,2023-11-27,17.6,25.9,0,,,NW,43,13:05,22.5,69,,NW,17,1007.3,22.6,57,,NW,24,1005.1
,2023-11-28,16.3,23.6,0,,,NW,35,14:05,19.7,87,,NW,15,1007.1,21.2,75,,WNW,19,1006.7
,2023-11-29,10.4,25.6,0.2,,,SW,39,14:11,20.7,72,,S,11,1010.9,23.8,63,,SW,24,1011.3
,2023-11-30,17.3,25.1,0,,,SE,41,19:21,19.8,75,,SE,19,1015.8,24.1,54,,SE,20,1014.8
