"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for January 2024"
"Prepared at 13:03 UTC on Sunday 10 November 2024   IDCJDW6081.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,14.1,24.2,0,,,SSE,48,14:26,20.7,62,,SE,22,1019.2,21.7,56,,SSE,30,1018.7
,2024-01-2,16.0,25.3,0,,,SE,54,16:21,19.0,82,,SE,26,1020.1,23.5,61,,SSE,30,1018.6
,2024-01-3,14.6,27.4,0,,,ESE,50,12:50,20.8,64,,ESE,24,1023.3,24.8,53,,SSE,24,1020.1
,2024-01-4,13.0,29.1,0,,,E,54,08:26,20.5,48,,E,30,1023.2,27.0,40,,ESE,22,1019.8
,2024-01-5,12.0,27.4,0,,,SE,39,14:42,20.2,55,,E,17,1021.4,24.2,48,,SSE,28,1018.8
,2024-01-6,12.5,27.7,0,,,SE,39,23:41,20.6,62,,E,13,1018.2,26.0,43,,SSE,20,1014.9
,2024-01-7,14.6,29.7,0,,,ESE,39,07:58,20.9,68,,ESE,20,1016.7,26.3,47,,SSE,24,1013.3
,2024-01-8,15.3,28.4,0,,,WSW,39,12:13,25.1,50,,NNE,4,1012.4,24.7,54,,SSW,17,1012.1
,2024-01-9,17.1,24.3,0,,,SSE,44,11:22,20.5,75,,SE,26,1015.2,22.9,48,,SSE,26,1015.0
,2024-01-10,12.9,25.7,0,,,SE,43,09:28,19.2,56,,ESE,24,1016.0,24.3,46,,SSE,22,1012.7
,2024-01-11,14.5,24.0,0,,,SE,54,19:08,18.7,69,,SE,20,1012.8,22.0,60,,SSE,33,1011.4
,2024-01-12,15.5,29.5,0,,,SE,54,04:58,21.1,63,,ESE,31,1013.0,27.3,47,,SSE,22,1010.0
,2024-01-13,17.4,37.4,0,,,E,39,22:20,26.5,50,,E,26,1009.5,36.3,30,,WSW,17,1006.3
,2024-01-14,23.2,37.9,0,,,E,39,01:39,27.5,46,,E,19,1007.2,33.5,34,,WSW,17,1004.8
,2024-01-15,18.5,35.1,0,,,SE,61,18:01,30.9,40,,ESE,11,1006.4,24.8,69,,SSE,26,1006.3
,2024-01-16,19.1,36.2,0,,,ESE,52,07:29,25.6,61,,ESE,28,1007.2,35.8,34,,ENE,28,1003.4
,2024-01-17,18.5,33.8,0,,,NW,48,13:42,26.9,53,,ENE,20,1005.7,26.3,72,,NW,24,1003.8
,2024-01-18,18.5,24.0,0.6,,,W,43,14:03,19.2,100,,WNW,15,1007.5,20.8,87,,W,24,1007.6
,2024-01-19,17.7,25.1,0.4,,,WSW,35,14:22,20.1,77,,SW,13,1010.4,23.6,60,,SSW,15,1009.5
,2024-01-20,13.9,27.3,0,,,W,30,10:44,21.2,69,,SSE,7,1011.3,26.1,53,,SSW,15,1010.0
,2024-01-21,12.9,25.5,0,,,WSW,39,11:50,23.7,70,,SSW,11,1009.7,24.4,50,,SW,22,1008.9
,2024-01-22,12.4,25.4,0,,,WSW,37,13:29,22.1,64,,SW,15,1011.5,23.6,49,,WSW,24,1010.7
,2024-01-23,11.9,25.0,0,,,W,39,12:41,21.5,57,,W,19,1014.0,23.2,57,,W,22,1012.5
,2024-01-24,14.5,25.1,0,,,SSW,37,12:47,22.0,62,,WSW,17,1014.6,22.6,49,,SSW,20,1013.5
,2024-01-25,14.7,23.7,0,,,S,44,12:54,19.8,54,,SSE,22,1017.9,22.1,45,,SE,24,1017.4
,2024-01-26,14.9,23.9,0,,,SE,46,17:57,18.9,48,,SE,17,1022.1,23.0,45,,SSE,22,1018.0
,2024-01-27,10.9,27.3,0,,,SE,35,01:25,21.8,46,,NE,11,1014.7,25.9,42,,W,19,1010.2
,2024-01-28,16.4,24.4,0.2,,,SSW,48,08:38,17.1,100,,SSW,26,1012.0,22.5,49,,S,22,1012.8
,2024-01-29,8.3,23.7,0,,,SW,46,14:14,19.4,55,,E,15,1019.8,22.0,46,,SSW,22,1018.2
,2024-01-30,12.3,29.3,0,,,SSE,35,17:42,19.4,59,,SE,13,1021.0,28.2,41,,SW,15,1018.1
,2024-01-31,16.6,34.4,0,,,SE,44,18:20,24.1,51,,ESE,13,1017.5,29.3,46,,SSE,17,1016.4
