"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for July 2024"
"Prepared at 13:03 UTC on Monday  4 November 2024   IDCJDW6081.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,7.7,18.4,0,,,W,67,23:27,12.4,86,,NNE,20,1024.8,16.9,87,,N,26,1019.8
,2024-07-2,12.0,15.6,5.8,,,WSW,67,01:26,13.7,65,,SW,15,1027.0,13.6,63,,S,13,1029.8
,2024-07-3,3.3,16.2,0,,,E,35,11:11,10.9,81,,ENE,15,1038.0,16.0,64,,E,13,1036.4
,2024-07-4,5.5,16.3,0,,,E,35,10:58,10.6,100,,ENE,15,1037.2,16.1,69,,E,17,1033.1
,2024-07-5,3.7,15.3,0.2,,,N,35,12:16,8.7,100,,E,13,1030.8,14.3,53,,NNE,19,1024.8
,2024-07-6,5.2,15.7,0,,,NNE,70,19:13,9.7,75,,NE,20,1015.2,12.7,74,,N,24,1009.4
,2024-07-7,9.6,17.1,9.0,,,W,69,09:45,15.5,73,,WNW,35,1007.3,16.3,61,,W,30,1010.3
,2024-07-8,12.5,18.6,1.4,,,NW,57,13:18,16.0,76,,NW,17,1014.2,16.6,81,,NW,20,1010.9
,2024-07-9,13.6,19.0,10.0,,,NW,67,12:00,16.7,100,,NW,26,1005.0,17.1,93,,WNW,28,1004.4
,2024-07-10,10.6,15.0,5.2,,,WSW,83,07:27,12.6,81,,WSW,35,1012.8,14.1,66,,WSW,22,1015.7
,2024-07-11,10.9,16.6,1.0,,,W,41,10:53,14.5,79,,WSW,11,1023.3,15.0,90,,SW,15,1023.0
,2024-07-12,7.7,16.9,1.0,,,W,19,13:20,11.3,100,, ,Calm,1025.2,15.8,75,,S,6,1023.1
,2024-07-13,7.0,16.6,0,,,ENE,20,10:16,11.0,94,,E,9,1023.0,15.8,64,,ESE,9,1019.7
,2024-07-14,8.8,13.2,0,,,E,17,05:49,10.0,97,,E,11,1019.6,13.0,90,,SE,9,1018.7
,2024-07-15,4.6,18.5,0.4,,,E,20,23:21,9.7,100,,E,2,1024.9,17.8,59,,SE,9,1023.4
,2024-07-16,6.2,19.2,0,,,N,35,11:47,13.9,76,,NE,15,1024.3,18.8,74,,NNE,17,1020.8
,2024-07-17,11.5,19.3,0,,,W,70,17:16,18.4,95,,NNW,19,1012.9,18.7,87,,NNW,20,1008.7
,2024-07-18,9.0,14.5,32.6,,,WSW,87,20:40,10.7,100,,NNE,7,1011.9,13.4,67,,W,35,1009.8
,2024-07-19,8.5,15.8,6.2,,,WSW,59,01:08,11.5,80,,W,31,1021.4,15.3,63,,W,33,1020.8
,2024-07-20,11.3,17.3,1.6,,,W,70,20:54,14.8,75,,WNW,37,1020.1,15.5,82,,W,33,1019.0
,2024-07-21,13.6,18.2,1.0,,,W,63,02:18,16.5,75,,W,28,1019.1,16.9,72,,WNW,28,1016.6
,2024-07-22,13.4,18.4,14.6,,,WNW,54,02:07,16.8,88,,NW,26,1013.2,17.4,81,,WNW,28,1010.2
,2024-07-23,10.3,14.4,7.0,,,SW,46,11:51,10.3,91,,SSW,24,1013.8,13.9,75,,SSW,20,1013.3
,2024-07-24,9.5,15.6,8.4,,,WSW,56,12:23,13.7,69,,WSW,20,1017.9,14.8,78,,WSW,31,1016.0
,2024-07-25,11.6,16.4,11.4,,,W,52,14:00,14.2,70,,W,31,1015.9,12.6,88,,W,35,1014.5
,2024-07-26,7.6,16.3,4.0,,,W,31,13:47,9.8,100,,ESE,13,1019.6,15.5,74,,NW,9,1019.8
,2024-07-27,6.5,17.7,0.2,,,N,41,16:14,16.5,77,,N,11,1022.6,17.2,63,,NNW,20,1019.2
,2024-07-28,13.1,16.7,34.0,,,NW,56,01:09,14.2,100,,NNW,17,1010.3,15.7,93,,NW,20,1007.2
,2024-07-29,13.3,17.8,19.6,,,WNW,56,00:58,16.4,72,,NW,26,1011.8,16.1,89,,NW,17,1011.1
,2024-07-30,8.0,17.3,4.6,,,NNE,22,10:20,12.5,100,, ,Calm,1017.9,16.0,90,,NW,11,1016.8
,2024-07-31,12.5,18.2,6.6,,,WNW,78,16:34,17.2,99,,NNW,20,1012.7,15.3,98,,NW,39,1007.1
