"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for March 2025"
"Prepared at 13:03 UTC on Tuesday 19 August 2025   IDCJDW6081.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,13.9,26.1,0,,,SW,31,16:07,20.5,69,,SE,11,1022.7,24.9,46,,S,17,1019.7
,2025-03-2,12.8,30.8,0,,,W,28,14:09,19.8,71,,ESE,11,1017.4,28.1,43,,WSW,17,1012.8
,2025-03-3,15.2,26.5,0,,,NW,50,13:09,21.3,61,,WNW,19,1012.5,24.0,51,,NW,24,1012.6
,2025-03-4,14.7,22.5,0.8,,,S,43,16:26,19.1,41,,S,15,1024.0,21.2,37,,SSE,22,1023.8
,2025-03-5,10.2,30.4,0,,,ENE,43,09:27,18.5,54,,E,24,1025.9,30.2,26,,ESE,19,1021.3
,2025-03-6,15.0,35.1,0,,,NW,35,13:14,25.4,42,,ENE,19,1018.2,29.5,38,,WSW,17,1015.0
,2025-03-7,18.3,28.1,0,,,SW,37,15:55,22.7,75,,S,15,1012.6,26.7,57,,SSE,19,1010.2
,2025-03-8,16.9,20.6,0,,,SSW,46,13:48,20.5,73,,S,17,1008.3,18.2,82,,S,19,1010.7
,2025-03-9,14.1,21.1,1.6,,,SSE,39,15:26,17.9,60,,SE,15,1018.5,16.7,88,,SSE,17,1019.1
,2025-03-10,11.6,25.9,0.2,,,SSE,43,17:50,17.0,72,,ESE,19,1022.5,23.1,50,,SSE,22,1017.8
,2025-03-11,13.3,29.8,0,,,W,33,12:23,19.3,73,,E,19,1014.5,28.4,44,,S,19,1009.1
,2025-03-12,16.0,25.3,0,,,WNW,31,12:24,20.0,82,, ,Calm,1006.2,23.9,68,,W,17,1005.8
,2025-03-13,13.9,26.8,0.6,,,SE,39,18:22,24.4,65,,NE,9,1010.2,22.4,77,,SSE,19,1009.4
,2025-03-14,16.2,24.0,9.2,,,NW,41,05:35,17.8,100,, ,Calm,1009.1,23.4,66,,W,17,1010.2
,2025-03-15,16.4,23.0,2.4,,,SE,44,16:43,17.9,79,,SSW,15,1021.6,21.5,59,,SE,24,1021.5
,2025-03-16,15.6,27.4,0,,,SE,46,05:22,18.9,67,,ESE,28,1028.0,27.0,42,,E,19,1023.7
,2025-03-17,12.1,27.3,0,,,ENE,30,10:00,21.8,56,,ENE,19,1022.8,24.0,54,,SSW,17,1018.1
,2025-03-18,12.1,28.3,0,,,SW,30,16:02,21.5,100,,SSE,11,1015.2,26.1,67,,SSW,17,1012.5
,2025-03-19,14.5,21.9,1.8,,,SSW,46,10:41,17.9,100,,S,19,1012.3,20.9,50,,S,22,1013.6
,2025-03-20,11.0,23.4,0,,,W,33,13:50,18.2,55,,ENE,19,1020.1,20.6,53,,SW,19,1016.9
,2025-03-21,8.9,26.6,0,,,SE,35,23:51,10.7,100,,SE,7,1017.1,25.1,49,,SE,15,1014.5
,2025-03-22,14.6,27.4,0,,,SSE,43,17:26,19.3,81,,SE,15,1015.1,26.5,56,,SSE,20,1012.5
,2025-03-23,18.2,26.4,0,,,SE,44,08:03,22.0,72,,SE,20,1018.3,25.9,63,,SE,19,1016.1
,2025-03-24,15.6,31.1,0,,,SE,46,19:42,23.3,69,,SE,17,1016.0,26.2,63,,SSE,20,1013.7
,2025-03-25,19.3,26.2,0,,,ESE,48,10:36,21.9,79,,SE,24,1016.8,23.7,70,,SE,28,1015.3
,2025-03-26,17.9,33.9,0,,,SE,39,00:01,25.1,63,,E,19,1017.3,30.4,50,,SSE,17,1015.0
,2025-03-27,17.6,36.3,0,,,WNW,28,13:17,23.5,69,,E,17,1015.9,31.6,28,,WNW,19,1013.3
,2025-03-28,13.4,28.1,0,,,SSE,44,17:11,24.7,68,,SSE,13,1013.2,25.2,70,,SE,26,1012.3
,2025-03-29,18.2,29.3,0,,,ESE,37,09:07,24.7,69,,ESE,24,1013.2,27.5,62,,SE,15,1010.7
,2025-03-30,18.6,32.6,0,,,ENE,48,11:12,22.0,63,,E,20,1015.7,31.4,31,,E,15,1013.5
,2025-03-31,15.4,31.4,0,,,ENE,31,09:11,21.8,69,,ENE,19,1015.8,26.8,53,,WSW,15,1012.3
