"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for April 2025"
"Prepared at 13:03 UTC on Monday 18 August 2025   IDCJDW6081.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,14.3,26.3,0,,,SE,46,17:07,23.1,84,,SSE,11,1014.2,23.2,68,,SSE,24,1014.5
,2025-04-2,13.5,23.0,0,,,ESE,48,08:58,17.0,56,,ESE,31,1021.2,22.1,44,,ESE,19,1019.2
,2025-04-3,14.2,22.7,0,,,SE,41,19:18,16.1,68,,ESE,17,1020.0,18.2,73,,SE,17,1017.8
,2025-04-4,14.1,17.1,32.8,,,ESE,54,15:03,15.1,100,,ESE,22,1020.9,16.8,99,,ESE,33,1017.9
,2025-04-5,13.8,25.7,15.6,,,ESE,41,13:19,14.5,100,,ESE,22,1018.8,22.8,71,,SE,19,1013.9
,2025-04-6,14.5,26.6,0.2,,,SE,31,00:07,18.4,84,,ESE,22,1016.2,25.4,59,,ESE,15,1013.9
,2025-04-7,15.8,25.0,0,,,W,30,13:04,16.7,100,,ESE,9,1016.2,23.4,78,,SW,13,1014.5
,2025-04-8,17.5,24.3,0,,,SE,33,10:45,20.8,93,,SE,19,1019.5,22.0,71,,S,19,1019.1
,2025-04-9,15.4,21.0,0.2,,,WSW,28,13:09,16.8,84,,SSW,9,1022.6,19.7,64,,WSW,13,1020.9
,2025-04-10,11.1,22.8,0,,,SE,31,15:36,18.5,95,,N,7,1021.9,22.0,76,,SSE,15,1019.9
,2025-04-11,12.3,26.6,0,,,N,31,12:01,21.2,79,,NE,11,1015.4,23.6,68,,W,15,1012.9
,2025-04-12,16.9,20.3,0,,,SSE,37,14:51,19.7,79,,SSE,17,1015.2,18.4,92,,SE,22,1015.7
,2025-04-13,15.8,21.9,0.2,,,ESE,41,10:29,18.2,89,,ESE,20,1018.7,19.2,89,,ESE,20,1015.9
,2025-04-14,12.5,22.8,0,,,SW,35,13:40,19.1,98,,SSE,17,1015.6,21.4,67,,SSW,17,1015.6
,2025-04-15,11.0,22.2,0,,,W,26,13:28,18.5,68,,ENE,4,1019.8,20.9,56,,W,13,1018.9
,2025-04-16,8.7,23.6,0,,,WSW,28,14:14,16.8,76,,ENE,9,1020.7,23.1,54,,SW,15,1017.6
,2025-04-17,10.6,18.7,2.0,,,SSW,41,11:57,17.0,100,,S,15,1017.0,17.4,76,,S,24,1016.0
,2025-04-18,13.7,18.2,1.8,,,SSE,39,07:47,15.6,82,,ESE,9,1018.9,15.4,81,,SE,19,1018.9
,2025-04-19,10.3,18.6,2.2,,,SSE,26,11:41,13.9,98,,ENE,4,1022.5,17.4,69,,SE,13,1020.7
,2025-04-20,6.6,21.0,0,,,NE,48,12:57,15.6,78,,ENE,13,1022.1,18.9,49,,NE,13,1018.9
,2025-04-21,7.6,26.3,0,,,ESE,30,13:14,14.9,73,,ESE,13,1020.0,25.8,47,,ESE,20,1015.4
,2025-04-22,14.8,26.8,0,,,N,50,11:00,25.0,76,,N,33,1014.3,23.5,78,,NW,26,1012.8
,2025-04-23,14.8,22.9,0,,,W,61,13:48,22.5,78,,NW,35,1010.4,19.4,76,,W,35,1010.8
,2025-04-24,13.2,18.3,7.0,,,SSW,50,02:26,15.2,63,,SSE,17,1023.8,17.2,60,,SSE,20,1024.5
,2025-04-25,9.3,18.9,0,,,SSE,37,13:30,15.1,90,,NE,7,1028.1,17.5,77,,SSE,15,1026.0
,2025-04-26,10.8,18.9,0,,,SSE,22,14:35,15.0,78,,NE,11,1027.0,15.0,99,,SSE,13,1024.6
,2025-04-27,10.6,18.9,2.0,,,SSE,31,13:39,14.5,100,,SE,9,1027.1,17.8,77,,SE,15,1025.0
,2025-04-28,10.7,21.5,0.6,,,SE,26,11:01,16.5,89,,E,13,1028.4,19.6,58,,SSE,13,1026.3
,2025-04-29,9.5,22.6,0,,,ENE,24,09:48,16.1,84,,NE,15,1027.9,21.3,51,, ,Calm,1025.9
,2025-04-30,8.6,25.2,0,,,NNE,31,10:20,17.1,68,,NE,19,1025.4,24.5,46,,N,17,1023.2
