"Daily Weather Observations for Witchcliffe (Margaret River District), Western Australia for May 2025"
"Prepared at 13:03 UTC on Sunday 17 August 2025   IDCJDW6081.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Witchliffe West (109521) which opened in June 2022. Witchcliffe is about 9 km south-south-east of Margaret River."
"Observations were drawn from Witchcliffe West {station 109521}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,10.1,25.8,0,,,NNW,44,14:30,18.0,75,,NNE,13,1019.7,22.8,81,,NW,20,1016.5
,2025-05-2,17.9,24.8,0.2,,,NW,61,13:30,21.9,88,,NW,24,1012.9,22.6,77,,WNW,35,1009.3
,2025-05-3,14.6,18.0,15.8,,,WSW,65,09:01,15.8,77,,WSW,31,1012.3,16.4,67,,SW,24,1013.3
,2025-05-4,13.6,19.2,1.4,,,W,50,07:01,16.5,96,,W,22,1015.5,16.6,95,,W,24,1016.0
,2025-05-5,15.0,19.7,4.2,,,W,33,05:02,17.8,78,,WSW,11,1023.3,18.6,74,,WSW,11,1022.6
,2025-05-6,14.5,19.6,0,,,SSW,26,12:42,16.7,100,,ENE,7,1025.9,18.8,71,,S,13,1025.0
,2025-05-7,7.9,21.2,0.2,,,NNE,26,10:12,15.3,82,,E,13,1027.5,20.5,66,,ESE,13,1023.7
,2025-05-8,8.2,24.6,0,,,,,,19.6,78,,N,13,1021.5,24.2,61,,N,11,1019.1
,2025-05-9,9.7,27.2,0,,,NNW,31,12:13,19.7,74,, ,Calm,1019.9,25.2,74,,NW,19,1017.1
,2025-05-10,13.0,19.9,0,,,SSE,35,14:56,18.0,100,,SSE,9,1022.5,18.8,72,,SE,22,1022.1
,2025-05-11,10.4,20.4,2.2,,,E,31,10:51,14.8,87,,E,13,1025.9,19.9,61,,SE,17,1023.3
,2025-05-12,8.4,20.9,0,,,S,35,16:19,15.1,86,,ESE,7,1024.2,17.0,94,,S,19,1024.2
,2025-05-13,10.3,19.6,0.2,,,SSE,39,12:50,15.3,100,,SE,9,1030.4,18.6,67,,SSE,22,1029.3
,2025-05-14,8.7,20.2,0,,,ESE,28,11:35,14.5,82,,E,13,1032.0,19.2,66,,SE,13,1028.4
,2025-05-15,7.2,21.4,0,,,SW,26,13:31,12.9,99,,E,9,1027.1,20.0,65,,SE,15,1025.0
,2025-05-16,9.5,21.9,0,,,ESE,30,11:10,13.7,95,,ESE,15,1026.5,21.5,63,,SE,13,1023.9
,2025-05-17,12.7,23.5,0,,,NE,26,06:41,17.1,70,,NNE,13,1026.1,22.8,60,,N,17,1023.6
,2025-05-18,7.3,23.8,0,,,N,31,10:37,16.8,74,,NNE,17,1024.5,20.5,68,,NNE,13,1021.0
,2025-05-19,12.9,21.4,1.4,,,WSW,57,10:47,21.1,66,,WNW,30,1019.1,17.5,58,,SW,19,1022.6
,2025-05-20,5.7,18.2,2.8,,,ENE,24,12:48,12.6,83,,NE,9,1031.2,17.1,57,,E,13,1029.5
,2025-05-21,5.5,20.7,0,,,NW,24,12:55,13.4,83,,NE,13,1029.6,19.6,52,,WNW,7,1024.7
,2025-05-22,6.8,20.6,0,,,W,70,15:51,18.8,76,,W,22,1017.9,15.5,100,,WSW,33,1014.6
,2025-05-23,9.4,14.4,8.0,,,WSW,52,07:08,11.7,76,,SW,17,1017.3,13.0,70,,S,11,1017.0
,2025-05-24,7.3,16.2,3.0,,,W,54,23:06,13.3,66,,W,19,1018.1,13.9,81,,W,26,1015.0
,2025-05-25,12.3,15.3,0.2,,,,,,13.6,84,,SW,17,1014.8,13.9,72,,SSE,13,1016.6
,2025-05-26,7.2,15.6,0,,,E,26,10:50,8.1,100,,ENE,9,1022.9,15.0,69,,ESE,17,1022.7
,2025-05-27,5.0,17.8,0,,,NNE,35,10:52,10.2,85,,ENE,13,1023.9,17.2,57,,ENE,11,1019.7
,2025-05-28,5.7,20.2,0,,,ENE,30,12:54,13.9,70,,ENE,13,1020.2,19.7,51,,NE,17,1017.5
,2025-05-29,11.1,20.7,0,,,NNE,70,21:16,15.6,51,,ENE,17,1017.2,19.5,52,,NNE,26,1012.7
,2025-05-30,14.5,21.2,9.4,,,N,50,06:05,19.1,100,,N,17,1010.5,20.9,75,,NW,26,1009.4
,2025-05-31,16.1,19.0,9.0,,,W,52,00:14,17.3,84,,SW,20,1014.8,17.9,81,,SW,19,1015.9
