"Daily Weather Observations for Pearce RAAF Base, Western Australia for October 2023"
"Prepared at 13:03 UTC on Wednesday 13 November 2024   IDCJDW6108.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Pearce RAAF Base, but some from Perth Airport."
"The mean sea level pressure at Perth Airport is provided for convenience. On most occasions it will be within 1 hPa of that at Pearce.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Pearce RAAF {station 009053}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,12.8,22.4,0,,3.8,WNW,56,15:01,15.3,91,8,NW,26,1015.6,19.6,50,8,WNW,31,1011.6
,2023-10-2,12.2,18.6,7.0,,8.8,W,67,11:31,14.5,62,8,WSW,31,1015.7,15.8,57,8,WSW,26,1017.9
,2023-10-3,9.4,20.0,1.6,,7.1,SSW,30,09:57,15.1,66,8,SSE,17,1026.2,18.5,50,7,SW,17,1025.8
,2023-10-4,5.0,23.6,0,,11.5,WSW,37,14:35,15.4,71,,SSW,6,1026.9,22.0,43,,SW,24,1023.0
,2023-10-5,10.6,28.7,0,,11.4,E,43,06:47,20.2,48,,ESE,15,1024.0,28.3,19,,E,6,1019.8
,2023-10-6,16.2,34.2,0,,11.4,E,54,01:57,23.8,34,,NNE,15,1021.1,33.9,14,,N,11,1016.7
,2023-10-7,22.3,35.5,0,,11.6,NE,56,07:41,26.9,23,,N,20,1018.6,27.7,49,,W,22,1016.4
,2023-10-8,14.6,25.2,0,,8.7,W,33,10:59,18.9,74,8,WNW,7,1021.0,23.7,48,,SW,17,1019.4
,2023-10-9,11.1,29.2,0,,9.9,SW,31,15:30,19.6,70,,SW,9,1021.6,26.9,45,,WSW,22,1018.5
,2023-10-10,12.6,23.6,0,,11.1,S,50,13:54,19.7,59,,S,24,1022.6,20.8,48,,SSW,31,1022.0
,2023-10-11,5.5,22.7,0,,11.3,SE,41,07:56,16.2,44,1,S,26,1028.3,22.0,37,,WSW,30,1025.1
,2023-10-12,10.0,27.2,0,,11.8,ENE,57,08:17,17.2,48,,E,31,1029.8,26.0,26,,ESE,15,1026.4
,2023-10-13,13.7,31.6,0,,11.8,ENE,46,08:05,21.9,34,,ENE,22,1027.3,31.0,15,,ESE,15,1023.0
,2023-10-14,15.6,33.0,0,,11.8,NE,50,02:47,23.6,31,,ENE,13,1025.6,32.1,14,,NE,11,1021.3
,2023-10-15,16.5,33.6,0,,12.0,NE,57,02:06,24.0,37,,NE,15,1024.6,32.5,15,,ENE,19,1021.5
,2023-10-16,21.1,37.0,0,,12.1,ENE,54,02:05,26.5,21,,NNE,22,1021.8,36.7,9,,N,6,1018.0
,2023-10-17,19.2,35.3,0,,10.9,W,48,13:47,29.4,13,,N,24,1017.5,23.8,58,4,WSW,26,1018.3
,2023-10-18,12.9,27.0,0,,11.0,SW,35,15:58,18.4,66,5,S,7,1024.1,26.2,35,,SSW,15,1021.7
,2023-10-19,12.8,28.4,0,,12.0,SW,37,15:20,21.4,45,,E,17,1023.4,26.7,35,,SW,20,1019.9
,2023-10-20,10.3,29.4,0,,10.1,ESE,37,05:52,20.7,44,,ENE,15,1020.9,28.2,28,,SSW,13,1017.8
,2023-10-21,14.5,31.2,0,,3.8,ENE,30,07:37,22.2,42,4,NE,13,1017.8,29.8,27,4,NNE,9,1014.9
,2023-10-22,12.6,26.5,0,,4.4,SW,46,17:57,22.0,67,8,SW,13,1015.3,19.0,78,8,SW,33,1014.5
,2023-10-23,11.2,23.4,0,,11.6,SW,41,15:02,17.2,42,,SE,20,1021.3,21.9,36,,SW,24,1019.2
,2023-10-24,10.9,27.1,0,,12.2,E,65,06:03,17.3,38,,E,33,1022.5,25.7,18,,ENE,19,1018.7
,2023-10-25,16.7,35.9,0,,12.4,ENE,61,06:40,22.9,21,,ENE,24,1018.2,34.1,10,,N,28,1012.7
,2023-10-26,12.7,25.5,0,,10.1,SW,41,14:58,21.1,59,8,S,13,1019.4,20.0,64,8,SW,30,1019.8
,2023-10-27,8.4,24.2,0,,12.3,S,43,15:01,16.8,50,3,ESE,24,1027.1,23.1,34,,SSW,28,1023.8
,2023-10-28,10.5,27.1,0,,12.5,E,54,03:11,18.7,37,,ENE,28,1024.8,25.2,31,,SW,28,1020.4
,2023-10-29,7.2,23.9,0,,7.0,WSW,37,15:49,18.3,53,1,SSE,15,1021.6,21.3,51,8,SW,24,1018.4
,2023-10-30,12.3,25.6,0,,12.4,SE,48,07:21,16.9,46,,ESE,22,1021.7,24.1,31,,SSW,22,1018.0
,2023-10-31,10.8,28.5,0,,11.1,E,57,00:41,18.9,43,,E,35,1020.6,27.2,21,1,E,15,1016.8
