"Daily Weather Observations for Pearce RAAF Base, Western Australia for February 2024"
"Prepared at 13:03 UTC on Saturday  9 November 2024   IDCJDW6108.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Pearce RAAF Base, but some from Perth Airport."
"The mean sea level pressure at Perth Airport is provided for convenience. On most occasions it will be within 1 hPa of that at Pearce.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Pearce RAAF {station 009053}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,23.6,45.2,0,,12.7,SW,37,12:47,38.9,14,,N,13,1012.7,42.9,10,1,WSW,28,1010.4
,2024-02-2,18.8,45.0,0,,12.7,W,41,12:53,37.7,16,,ENE,13,1010.8,41.3,14,1,S,28,1007.5
,2024-02-3,21.0,36.5,0,,10.9,SSW,46,12:35,29.0,33,2,S,17,1009.2,31.2,34,,SSW,30,1007.2
,2024-02-4,15.4,27.9,0,,12.7,SW,54,14:39,21.3,41,5,SE,22,1016.4,25.3,34,,SW,35,1013.5
,2024-02-5,15.5,29.2,0,,12.7,E,46,08:18,21.5,32,,NE,22,1020.7,28.2,18,,SE,22,1017.6
,2024-02-6,17.2,33.6,0,,12.6,E,54,04:04,23.5,32,,E,24,1022.0,32.1,12,,ENE,20,1017.2
,2024-02-7,18.6,37.2,0,,12.6,E,52,02:48,27.0,26,,NE,20,1019.3,36.4,9,1,E,24,1015.3
,2024-02-8,18.3,41.0,0,,12.7,SSW,41,18:36,31.8,14,,NNE,19,1017.2,39.7,8,1,NNE,15,1014.0
,2024-02-9,21.7,44.8,0,,12.5,SW,41,15:33,33.4,13,,NE,19,1017.0,42.3,7,3,ENE,7,1013.4
,2024-02-10,18.8,44.2,0,,12.5,SW,44,15:43,36.0,12,,NE,17,1016.3,42.5,8,7,SW,28,1012.5
,2024-02-11,16.6,42.5,0,,12.4,SW,35,14:11,30.6,25,,SSW,7,1014.1,40.7,12,7,SW,24,1010.6
,2024-02-12,17.0,38.1,0,,12.4,ENE,54,22:58,26.9,43,,SE,20,1013.0,36.6,27,1,SSW,24,1010.7
,2024-02-13,17.1,35.5,0,,12.4,ESE,50,23:03,23.1,35,,ESE,24,1019.4,34.4,11,,ESE,26,1014.9
,2024-02-14,17.9,37.9,0,,12.3,E,50,23:40,24.3,39,,E,20,1016.5,36.6,14,1,E,15,1011.5
,2024-02-15,23.9,44.3,0,,11.7,E,56,00:16,32.2,18,,NE,17,1010.6,42.1,10,4,NNW,15,1005.7
,2024-02-16,20.9,32.9,0,,9.5,SW,31,16:07,25.0,66,4,WNW,15,1013.8,31.9,37,,W,13,1013.2
,2024-02-17,16.1,41.1,0,,11.3,SSE,41,16:54,27.5,47,,ENE,13,1016.7,40.3,14,3,SE,11,1013.5
,2024-02-18,25.2,44.6,0,,6.2,ENE,46,03:10,31.4,31,,E,17,1014.8,43.6,12,,E,11,1010.2
,2024-02-19,28.0,46.1,0,,5.5,E,50,07:00,32.6,26,,ENE,24,1011.3,41.3,10,,W,30,1008.1
,2024-02-20,21.4,43.3,0,,12.0,W,37,11:53,34.5,15,,N,13,1009.2,40.0,14,,SSW,20,1007.0
,2024-02-21,18.3,31.7,0,,9.7,WSW,37,15:05,26.8,61,,SW,20,1010.7,29.8,52,,SW,22,1009.1
,2024-02-22,17.6,33.2,0,,12.1,E,57,23:34,22.1,44,,ESE,22,1017.4,31.2,17,,ESE,28,1014.1
,2024-02-23,18.8,39.4,0,,12.1,E,61,02:44,23.8,41,,E,30,1012.8,37.6,18,,E,20,1007.8
,2024-02-24,22.0,25.6,0.8,,12.1,ESE,43,23:27,22.5,85,8,WNW,7,1011.7,25.4,70,4,WSW,6,1011.4
,2024-02-25,19.6,26.7,1.8,,0.3,E,50,15:07,21.6,72,8,ESE,20,1014.6,23.4,73,8,ESE,31,1011.7
,2024-02-26,20.8,34.5,1.2,,10.3,SSW,41,15:21,26.7,59,,NE,13,1011.8,33.5,36,2,SSW,17,1008.2
,2024-02-27,17.5,30.9,0,,10.9,S,44,05:45,20.5,51,,S,24,1015.2,28.1,30,,SSW,26,1011.8
,2024-02-28,15.2,33.4,0,,7.3,E,46,03:40,24.0,38,,NE,11,1012.8,30.1,30,,SSW,28,1009.4
,2024-02-29,17.0,37.0,0,,12.0,WSW,39,16:01,24.5,43,,SE,20,1012.5,36.1,18,,SSE,17,1007.6
