"Daily Weather Observations for Pearce RAAF Base, Western Australia for June 2024"
"Prepared at 13:03 UTC on Tuesday  5 November 2024   IDCJDW6108.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Pearce RAAF Base, but some from Perth Airport."
"The mean sea level pressure at Perth Airport is provided for convenience. On most occasions it will be within 1 hPa of that at Pearce.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Pearce RAAF {station 009053}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,13.4,26.2,0.2,,9.3,N,54,14:47,18.5,40,,N,15,1016.1,26.0,26,,N,35,1010.3
,2024-06-2,14.0,21.1,23.0,,7.0,NNE,57,02:41,16.7,77,8,N,11,1008.5,19.8,50,4,W,33,1010.1
,2024-06-3,13.5,22.1,5.2,,7.6,SW,31,14:03,16.0,90,,NNE,7,1019.7,21.8,45,3,WSW,19,1019.8
,2024-06-4,13.5,,1.0,,3.7,,,,16.6,93,8,SE,6,1024.7,20.5,65,,NNW,7,1023.1
,2024-06-5,16.0,23.5,,,3.0,NNW,39,12:30,18.8,59,7,NNE,15,1024.2,23.0,41,,NNW,20,1021.2
,2024-06-6,9.5,25.4,0,,5.1,N,56,13:42,19.5,51,2,N,24,1018.7,24.3,49,8,NNW,39,1014.0
,2024-06-7,13.7,19.4,20.8,,2.0,ENE,24,22:12,14.6,94,7,SSW,2,1018.9,18.8,68,,ENE,13,1017.2
,2024-06-8,13.9,20.5,0,,1.3,NNE,28,14:24,16.7,85,,N,15,1013.9,20.0,72,8,N,17,1009.5
,2024-06-9,16.6,20.3,3.8,,0.3,WNW,50,11:18,17.2,87,8,WNW,9,1008.4,17.9,70,8,W,31,1009.1
,2024-06-10,14.5,19.9,10.2,,2.8,W,46,03:29,16.4,81,8,N,9,1015.1,19.1,54,7,WNW,24,1016.0
,2024-06-11,14.0,18.1,0.6,,0.1,NNW,31,00:13,15.5,86,8,NNE,11,1021.4,16.7,83,8,NE,7,1019.6
,2024-06-12,12.0,20.1,2.6,,4.8,WNW,24,15:26,14.6,91,7,ENE,9,1020.8,18.6,69,8,WSW,9,1018.0
,2024-06-13,7.7,20.5,0,,9.0,E,26,23:49,12.4,91,,S,6,1022.0,20.0,44,,ESE,6,1019.6
,2024-06-14,11.5,20.6,0.2,,8.3,ENE,28,08:06,14.7,71,5,ENE,15,1019.7,20.4,41,2,ENE,15,1016.0
,2024-06-15,11.1,22.5,0,,7.1,NNE,22,04:55,14.0,78,,N,6,1015.8,21.6,48,8,N,9,1013.0
,2024-06-16,8.9,21.3,0,,5.0,SW,30,13:42,15.8,86,2, ,Calm,1016.9,21.3,65,2,SW,15,1016.3
,2024-06-17,9.5,20.4,0.6,,7.1,W,24,14:15,13.7,89,7,SSE,2,1020.7,19.7,54,8,SSW,15,1019.1
,2024-06-18,8.2,19.4,0.6,,7.1,SW,39,12:43,13.6,90,,NW,7,1022.4,16.6,81,6,S,22,1021.5
,2024-06-19,7.0,,2.8,,8.3,ENE,28,12:17,11.6,76,,SSE,9,1029.3,17.4,46,,SE,9,1026.3
,2024-06-20,,,0.2,,8.7,E,33,11:02,11.1,64,,ENE,13,1029.7,17.8,44,,NE,11,1025.7
,2024-06-21,7.0,20.2,0,,8.4,N,46,10:34,13.8,58,,NNE,20,1023.7,19.8,32,1,N,24,1018.7
,2024-06-22,10.4,19.3,5.8,,7.5,SW,54,14:20,14.9,93,8,S,6,1019.1,16.9,68,3,SW,17,1020.4
,2024-06-23,7.2,18.0,0.2,,5.9,SSW,28,13:36,11.3,75,7, ,Calm,1027.3,16.3,56,7,SSW,15,1025.8
,2024-06-24,2.9,18.1,0,,7.5,ESE,20,11:03,7.7,88,,SSW,2,1026.6,17.1,50,5,SSW,11,1022.7
,2024-06-25,,,0,,8.9,NE,31,12:55,10.3,72,,ENE,17,1018.1,16.1,34,,NE,17,1013.4
,2024-06-26,,,0,,3.8,N,44,06:11,14.5,65,,N,20,1007.0,17.0,78,,W,22,1005.7
,2024-06-27,11.9,17.5,2.4,,2.8,NNE,41,19:57,13.1,84,,N,19,1005.3,13.7,78,8,ENE,13,1003.3
,2024-06-28,11.7,,8.2,,9.0,E,44,00:09,13.9,75,1,ESE,17,1008.7,18.9,58,1,SE,20,1009.6
,2024-06-29,,,0,,2.5,SE,43,00:09,13.2,71,8,ESE,22,1021.8,19.0,59,8,E,9,1021.6
,2024-06-30,,,0,,8.8,ESE,28,05:33,12.7,80,,E,13,1029.1,17.5,59,,ENE,13,1026.8
