"Daily Weather Observations for Pearce RAAF Base, Western Australia for February 2025"
"Prepared at 13:03 UTC on Wednesday 20 August 2025   IDCJDW6108.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Pearce RAAF Base, but some from Perth Airport."
"The mean sea level pressure at Perth Airport is provided for convenience. On most occasions it will be within 1 hPa of that at Pearce.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Pearce RAAF {station 009053}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,16.0,37.5,0,,12.7,SW,37,15:31,26.2,52,,ESE,15,1010.4,35.8,22,,SSW,19,1006.7
,2025-02-2,16.4,36.2,0,,12.7,SW,41,15:43,27.6,36,,NE,6,1008.6,33.8,24,,SSW,26,1006.9
,2025-02-3,17.0,35.7,0,,12.7,SW,43,15:06,24.0,57,,SSW,17,1011.8,32.7,36,,WSW,31,1008.6
,2025-02-4,18.4,37.4,0,,12.7,E,63,05:39,23.9,39,,E,26,1013.2,35.4,16,,ESE,28,1007.8
,2025-02-5,20.7,41.9,0,,12.6,SW,44,15:40,29.9,33,,SE,13,1006.2,41.3,16,,SW,19,1001.3
,2025-02-6,19.3,38.0,0,,12.3,ESE,50,22:54,28.5,42,,ESE,15,1005.6,36.0,31,,WSW,24,1003.9
,2025-02-7,20.9,38.4,0,,12.3,SE,39,04:05,26.4,49,6,E,19,1009.2,36.9,25,1,SSE,13,1004.5
,2025-02-8,21.5,40.7,0,,11.1,ESE,37,01:00,28.9,42,,ESE,20,1004.6,38.8,17,,W,15,999.9
,2025-02-9,20.5,30.1,0,,9.7,W,50,15:01,25.5,59,8,W,26,1003.2,28.0,43,5,W,31,1003.0
,2025-02-10,15.4,31.4,0,,6.0,SW,37,11:45,24.5,56,8,WNW,20,1007.0,28.3,44,5,WSW,20,1005.4
,2025-02-11,20.6,27.9,0,,9.5,WSW,59,14:08,25.4,42,8,WSW,26,1007.9,24.4,43,8,SW,44,1009.5
,2025-02-12,11.9,27.9,0,,12.2,SW,44,13:45,21.0,50,1,S,26,1016.4,26.2,38,,SSW,26,1015.4
,2025-02-13,12.6,31.0,0,,10.7,SW,44,16:09,19.3,49,,ESE,20,1021.2,29.8,22,,SSE,17,1015.5
,2025-02-14,16.3,33.5,0,,12.3,ESE,44,07:47,20.8,49,,E,22,1019.9,32.1,16,,ESE,17,1014.8
,2025-02-15,18.6,37.2,0,,12.3,E,57,06:19,24.5,37,,E,28,1015.2,36.7,12,,ENE,13,1010.3
,2025-02-16,19.1,38.2,0,,12.3,WSW,46,15:49,29.0,16,,NNE,20,1010.4,36.8,10,,WSW,28,1006.2
,2025-02-17,16.8,36.4,0,,11.4,SE,52,15:50,27.1,39,2,NE,13,1012.3,35.6,15,,ESE,26,1009.8
,2025-02-18,21.5,26.0,0,,2.7,E,50,09:47,25.0,52,8,E,28,1016.2,24.9,52,8,ESE,31,1015.2
,2025-02-19,20.7,37.3,0,,12.1,E,52,17:57,25.6,53,,E,24,1014.2,35.5,24,,NNE,11,1009.5
,2025-02-20,18.3,31.4,0,,11.7,WSW,35,12:14,26.6,64,,SSW,9,1013.0,29.3,46,,WSW,24,1011.9
,2025-02-21,16.6,27.9,0,,8.5,SW,46,14:02,23.9,59,8,S,13,1014.9,26.2,40,5,SW,33,1014.4
,2025-02-22,14.9,27.2,0,,12.0,SSW,43,16:10,18.9,34,,SE,24,1021.0,25.9,22,,SE,15,1017.0
,2025-02-23,11.7,34.5,0,,12.1,E,61,08:25,21.3,44,,E,33,1018.7,33.5,16,,E,11,1013.6
,2025-02-24,14.0,30.8,0,,11.9,WSW,39,12:54,24.5,65,,NNW,17,1013.7,28.1,40,,WSW,22,1013.8
,2025-02-25,16.1,31.3,0,,10.4,SSW,39,17:11,22.5,59,,SE,11,1018.9,29.6,35,7,SSW,20,1016.9
,2025-02-26,19.4,36.0,0,,5.9,SW,39,14:30,26.4,43,1,ENE,20,1018.3,32.1,29,8,SW,28,1015.7
,2025-02-27,19.0,30.6,0,,2.1,WSW,35,12:18,23.3,61,5,SSW,11,1019.0,27.8,48,7,SSW,15,1017.3
,2025-02-28,16.0,33.9,0,,12.0,SW,39,13:46,24.8,52,,ESE,15,1018.6,31.1,37,,SW,28,1016.2
