"Daily Weather Observations for Pearce RAAF Base, Western Australia for March 2025"
"Prepared at 13:03 UTC on Tuesday 19 August 2025   IDCJDW6108.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Pearce RAAF Base, but some from Perth Airport."
"The mean sea level pressure at Perth Airport is provided for convenience. On most occasions it will be within 1 hPa of that at Pearce.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Pearce RAAF {station 009053}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,14.3,35.6,0,,11.7,SSW,37,16:40,23.3,53,,ESE,17,1019.7,34.4,23,,SW,19,1015.2
,2025-03-2,17.3,39.2,0,,11.8,E,50,02:25,25.8,42,,E,22,1014.8,38.2,18,,S,19,1009.6
,2025-03-3,18.2,31.2,0,,10.3,SW,43,15:17,24.2,65,7,W,13,1013.8,28.2,44,8,WSW,26,1013.3
,2025-03-4,17.5,28.6,2.0,,8.9,E,54,23:52,21.4,66,6,S,22,1021.0,27.1,43,1,S,15,1019.8
,2025-03-5,16.5,34.3,0.2,,11.7,E,69,00:54,21.7,43,,ENE,43,1021.7,32.9,22,,ENE,24,1017.8
,2025-03-6,21.6,42.5,0,,11.6,E,52,02:04,29.9,29,,NNE,17,1017.1,41.2,14,,N,22,1011.3
,2025-03-7,17.5,32.4,0,,10.1,SSW,37,17:34,25.6,67,,WSW,11,1012.4,30.9,38,,SW,20,1008.0
,2025-03-8,17.8,29.2,0,,9.8,SW,39,17:22,22.2,66,8,NNW,7,1009.2,27.3,43,1,SW,20,1007.7
,2025-03-9,14.2,28.7,1.4,,11.4,SW,43,15:48,19.3,54,,SSE,20,1017.3,27.9,29,,S,19,1014.7
,2025-03-10,16.3,31.4,0,,11.6,E,52,03:58,21.7,53,,E,24,1019.2,30.0,29,,ESE,13,1013.8
,2025-03-11,18.4,36.9,0,,11.5,E,44,02:19,25.0,44,,E,19,1011.4,35.8,24,,S,11,1005.4
,2025-03-12,18.5,27.7,0,,0.7,W,41,11:28,23.8,74,8,NNW,20,1007.9,25.9,57,8,W,15,1006.6
,2025-03-13,18.3,28.5,0,,4.8,NW,61,13:26,23.4,66,8,NE,7,1010.1,20.4,90,8,SW,13,1008.0
,2025-03-14,17.9,28.9,18.2,,9.6,NNW,52,13:37,22.2,63,,N,22,1010.7,26.5,46,6,NW,28,1010.4
,2025-03-15,16.7,29.0,0.2,,9.4,S,43,16:39,21.2,74,6,SE,13,1019.8,27.9,44,3,SE,9,1018.0
,2025-03-16,17.4,30.7,0,,11.2,E,63,05:40,21.2,61,5,E,30,1025.1,29.2,33,,E,28,1020.5
,2025-03-17,17.4,32.0,0,,11.2,E,56,03:45,21.0,51,,E,24,1021.6,31.3,18,,E,22,1015.4
,2025-03-18,13.7,33.5,0,,11.0,SW,37,15:21,25.6,33,,N,20,1013.7,33.4,18,,SW,13,1008.5
,2025-03-19,17.3,28.8,0,,10.6,SSW,50,12:22,22.0,63,,S,19,1010.4,27.0,45,2,SSW,26,1009.8
,2025-03-20,15.0,29.1,0,,11.1,ENE,46,08:26,19.5,48,,E,30,1017.5,28.4,20,,ENE,17,1013.8
,2025-03-21,10.2,34.9,0,,11.2,SSW,44,16:32,24.1,33,,SE,6,1015.4,34.6,19,,SSE,11,1010.8
,2025-03-22,12.8,36.5,0,,11.1,WSW,31,14:17,25.4,34,,S,7,1012.4,35.5,17,,SW,22,1009.8
,2025-03-23,16.4,36.9,0,,10.9,WSW,31,15:56,21.7,73,,SSW,9,1015.4,36.1,24,,ESE,9,1011.6
,2025-03-24,20.6,41.6,0,,11.0,E,39,05:44,30.2,30,,NE,15,1014.7,41.2,11,,NNE,9,1010.2
,2025-03-25,15.1,40.0,0,,10.8,SW,39,15:38,29.6,17,,NE,11,1014.5,39.1,10,,S,19,1010.3
,2025-03-26,20.1,39.2,0,,10.9,E,41,01:31,28.2,33,,ESE,9,1016.1,38.3,10,,E,24,1011.2
,2025-03-27,23.7,38.0,0,,9.7,ENE,43,03:15,30.3,19,,NE,11,1014.6,37.3,12,,E,15,1010.7
,2025-03-28,18.5,38.2,0,,11.0,SW,39,14:01,30.3,22,,N,13,1011.5,37.1,13,,SW,20,1008.8
,2025-03-29,20.0,40.9,0,,10.6,ESE,61,23:42,27.6,37,,ENE,9,1011.0,37.5,18,5,WSW,26,1007.5
,2025-03-30,19.7,27.8,2.2,,6.8,ENE,76,09:05,23.4,49,8,ENE,46,1012.9,23.7,66,8,E,26,1011.9
,2025-03-31,19.3,33.5,3.2,,10.8,ENE,41,10:16,24.9,48,,ENE,13,1014.2,32.3,28,,E,19,1009.5
