"Daily Weather Observations for Pearce RAAF Base, Western Australia for May 2025"
"Prepared at 13:03 UTC on Sunday 17 August 2025   IDCJDW6108.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Pearce RAAF Base, but some from Perth Airport."
"The mean sea level pressure at Perth Airport is provided for convenience. On most occasions it will be within 1 hPa of that at Pearce.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Pearce RAAF {station 009053}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,19.6,32.7,0,,9.9,W,50,14:54,25.2,26,,N,13,1021.2,29.6,22,,W,37,1017.5
,2025-05-2,14.8,28.5,0,,5.8,NW,39,12:39,20.1,60,7,NNW,9,1016.1,26.9,26,,W,26,1013.0
,2025-05-3,18.1,22.9,2.4,,4.6,SW,48,10:41,21.6,60,5,WNW,24,1013.7,21.2,52,8,WSW,26,1014.2
,2025-05-4,13.8,22.3,0.2,,3.5,W,33,10:33,18.2,64,8,N,7,1018.2,20.8,51,8,W,19,1018.1
,2025-05-5,14.2,22.9,0.4,,0.5,S,24,11:09,17.2,89,8,S,7,1023.8,21.9,56,8,SSW,17,1021.8
,2025-05-6,8.0,24.2,0.2,,9.5,ESE,26,11:19,17.7,72,,SE,7,1026.0,23.3,44,,S,13,1023.0
,2025-05-7,10.7,26.0,0,,9.7,NE,35,08:34,16.7,72,,NE,19,1026.1,25.3,35,,E,17,1021.1
,2025-05-8,16.2,31.3,0,,9.7,ENE,43,02:36,20.2,53,,NE,13,1022.3,30.7,21,,ESE,6,1018.1
,2025-05-9,16.2,34.9,0,,9.8,NNE,35,07:07,25.5,29,,N,19,1020.6,33.5,15,,W,24,1016.8
,2025-05-10,11.8,27.2,0,,9.7,SSW,30,11:07,18.0,68,, ,Calm,1021.3,26.4,45,,S,15,1018.7
,2025-05-11,15.8,26.4,0,,9.6,E,48,01:23,19.5,67,,ENE,20,1022.9,25.8,41,,E,17,1019.9
,2025-05-12,15.3,26.4,0,,9.5,ENE,41,00:27,18.0,68,,E,15,1022.1,25.2,40,,SSW,20,1020.6
,2025-05-13,13.7,25.4,0,,9.4,ESE,44,23:51,18.5,67,7,ESE,20,1027.5,25.0,40,,ESE,24,1024.8
,2025-05-14,13.9,25.9,0,,9.5,E,41,07:55,16.4,66,,E,20,1028.9,25.3,33,,E,13,1025.9
,2025-05-15,15.4,27.5,0,,9.5,ENE,39,02:55,18.3,53,,NNE,9,1026.2,26.6,24,,S,11,1022.5
,2025-05-16,8.7,27.0,0,,9.5,N,28,11:43,19.2,47,,ENE,7,1025.0,26.1,25,,ENE,11,1022.2
,2025-05-17,13.7,26.9,0,,9.5,NNE,33,09:59,19.3,38,,NE,15,1026.0,26.3,20,,NNE,15,1022.5
,2025-05-18,15.2,26.9,0,,9.5,NNE,39,10:19,18.7,32,,NE,20,1025.0,26.1,18,,NNW,15,1020.9
,2025-05-19,8.1,26.2,0,,8.0,SW,52,15:36,17.4,39,,NNW,7,1021.7,24.8,26,,WSW,28,1020.8
,2025-05-20,7.8,21.9,0,,9.4,ENE,35,10:35,13.3,62,,WSW,4,1030.1,21.6,32,,SE,13,1026.6
,2025-05-21,7.1,25.9,0,,9.3,ENE,37,04:23,17.0,51,,NE,4,1028.3,25.0,25,,N,9,1024.0
,2025-05-22,5.2,25.6,0,,6.2,W,41,13:23,18.0,41,,N,20,1020.8,23.1,51,1,W,22,1015.9
,2025-05-23,11.9,16.9,11.6,,5.6,SSE,37,15:51,13.7,71,2,SE,13,1017.4,16.4,57,8,SSE,17,1016.2
,2025-05-24,5.8,18.4,0,,4.4,ENE,26,02:05,11.5,66,7,NNW,11,1019.5,17.0,48,8,W,15,1016.4
,2025-05-25,10.8,18.6,8.2,,3.4,S,44,13:28,15.5,88,7,NNE,11,1015.0,17.8,67,5,S,19,1014.6
,2025-05-26,5.1,18.0,2.2,,9.2,ESE,30,11:41,11.1,75,, ,Calm,1023.6,17.8,44,,ESE,19,1020.9
,2025-05-27,5.6,21.4,0,,9.3,ENE,46,03:54,12.5,58,,NE,20,1023.4,21.2,31,,ENE,17,1018.4
,2025-05-28,12.2,25.1,0,,9.3,ENE,54,20:41,14.3,52,,NE,20,1019.7,24.8,26,,ENE,19,1016.7
,2025-05-29,14.2,24.8,1.0,,1.2,NE,48,04:34,15.7,53,8,NE,24,1017.9,21.5,44,8,NNE,24,1014.8
,2025-05-30,15.7,23.4,5.2,,3.8,NNE,56,04:27,17.1,79,8,N,24,1014.1,22.5,68,8,N,17,1011.9
,2025-05-31,14.6,24.0,4.8,,5.2,WNW,31,13:00,16.6,94,8,NNW,6,1016.1,21.2,66,8,SW,28,1015.4
