"Daily Weather Observations for Perth Airport, Western Australia for April 2024"
"Prepared at 16:03 UTC on Thursday  7 November 2024   IDCJDW6110.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,14.9,28.0,0,2.6,10.5,ESE,50,01:46,19.1,46,2,E,33,1026.9,27.6,28,1,SE,17,1022.4
,2024-04-2,14.3,30.3,0,10.2,10.7,E,50,03:08,18.5,49,0,E,20,1026.2,29.7,27,0,ESE,11,1022.3
,2024-04-3,14.3,30.5,0,6.6,10.6,E,54,01:45,19.2,45,1,ENE,24,1026.6,29.8,20,1,ENE,15,1023.0
,2024-04-4,16.9,31.4,0,7.2,7.7,ENE,46,01:51,21.2,34,7,ENE,20,1024.0,30.3,14,6,NNE,20,1019.1
,2024-04-5,17.5,34.6,0,7.4,10.7,N,39,09:58,25.7,29,6,NE,26,1017.8,34.2,10,1,WNW,11,1013.6
,2024-04-6,13.6,36.1,0,11.8,7.4,N,37,04:11,23.3,26,7,ENE,17,1015.8,35.2,9,5,NNE,11,1012.3
,2024-04-7,20.0,37.1,0,8.2,10.5,E,81,22:24,24.8,31,6,E,22,1015.4,36.8,10,3,E,17,1012.2
,2024-04-8,17.0,29.2,0,9.6,10.5,E,78,00:02,21.5,50,0,ENE,33,1023.0,28.8,30,0,ESE,31,1020.4
,2024-04-9,14.6,28.2,0,8.4,10.1,E,72,03:44,18.7,54,2,ENE,39,1024.6,27.7,27,5,ESE,26,1020.5
,2024-04-10,15.6,28.5,0,7.2,10.6,E,59,00:45,19.9,44,0,ENE,24,1023.3,27.8,24,0,ENE,26,1020.0
,2024-04-11,15.8,28.8,0,8.2,10.5,E,61,00:10,20.5,40,0,E,22,1023.1,28.0,23,1,ENE,17,1019.5
,2024-04-12,15.9,28.2,0,7.2,5.7,E,59,00:17,19.3,51,3,ENE,24,1021.0,26.9,33,7, ,Calm,1017.1
,2024-04-13,16.0,28.5,0,4.2,9.9,SW,39,16:47,19.6,53,3,ENE,24,1019.5,27.0,37,4,SW,26,1016.5
,2024-04-14,8.3,28.0,0,6.0,9.0,SW,35,16:08,19.8,58,0,NNW,6,1022.5,25.4,38,6,SW,24,1020.5
,2024-04-15,12.1,29.4,0,4.0,10.5,ENE,33,08:33,20.2,57,0,E,20,1025.2,27.3,29,2,SE,19,1021.7
,2024-04-16,17.7,31.3,0,5.0,10.5,E,50,23:45,21.9,53,2,ENE,26,1024.8,31.0,23,0,ESE,20,1020.9
,2024-04-17,18.5,33.2,0,7.6,10.5,E,57,01:33,22.5,47,0,ENE,35,1025.2,32.6,20,0,ESE,24,1021.2
,2024-04-18,18.5,33.7,0,9.0,10.6,E,52,01:24,24.2,35,0,ENE,26,1025.5,33.5,16,1,SSE,9,1022.0
,2024-04-19,15.9,30.8,0,8.6,10.5,ENE,41,01:21,23.5,31,0,NNE,19,1025.2,30.5,16,0,E,13,1021.4
,2024-04-20,15.6,31.7,0,6.4,10.2,NE,33,09:37,23.1,29,1,ENE,17,1024.6,31.4,13,1,W,7,1020.7
,2024-04-21,10.0,31.4,0,5.4,10.2,W,37,14:33,23.5,27,0,NNE,11,1021.6,28.7,20,0,W,24,1018.4
,2024-04-22,11.3,24.2,0,6.0,9.4,S,48,12:06,20.4,65,2,S,19,1023.5,22.1,46,6,SE,33,1023.2
,2024-04-23,7.7,22.2,0,4.8,9.4,E,57,10:26,15.2,49,3,E,15,1031.3,21.6,27,7,E,31,1026.5
,2024-04-24,13.9,23.8,0,6.2,8.7,E,57,04:35,17.0,43,6,ENE,35,1028.5,23.3,24,2,ENE,31,1024.6
,2024-04-25,13.9,22.9,0,7.4,4.9,ENE,54,01:35,15.5,47,7,ENE,28,1026.6,22.4,34,7,E,26,1022.1
,2024-04-26,15.5,28.4,0,4.6,9.8,ENE,44,00:10,20.2,43,1,ENE,20,1019.4,26.9,31,1,WSW,22,1015.9
,2024-04-27,8.0,24.5,0,4.0,9.6,WSW,33,13:35,16.6,68,2,NNE,6,1018.9,23.0,43,1,WSW,19,1017.4
,2024-04-28,8.7,26.2,0,4.0,8.9,ENE,46,23:44,18.2,64,7,N,7,1023.5,25.9,35,6,ESE,19,1021.3
,2024-04-29,13.7,26.2,0,4.2,10.0,ENE,69,22:36,16.7,58,0,ENE,37,1025.6,25.6,33,3,E,28,1021.4
,2024-04-30,16.7,19.7,0,7.6,1.3,NE,57,15:44,18.3,52,7,NE,35,1022.7,18.1,73,7,NE,30,1020.0
