"Daily Weather Observations for Perth Airport, Western Australia for June 2024"
"Prepared at 13:03 UTC on Tuesday  5 November 2024   IDCJDW6110.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,11.0,26.0,0,1.8,9.3,N,50,13:39,17.8,49,1,NNE,17,1016.0,25.8,28,1,NNW,24,1010.3
,2024-06-2,14.4,20.1,38.4,4.6,7.0,SW,59,12:55,17.4,71,7,SW,26,1008.3,20.1,50,3,WSW,30,1009.8
,2024-06-3,12.8,21.8,6.0,1.4,7.6,SW,31,01:34,15.4,89,1,ENE,11,1019.7,20.7,49,3,W,17,1019.8
,2024-06-4,12.3,22.5,0.4,2.6,3.7,W,30,16:08,15.9,88,6,NE,7,1024.8,20.4,64,7,NNW,9,1023.2
,2024-06-5,15.8,23.5,0,2.0,3.0,N,33,13:10,18.1,66,7,N,11,1024.3,23.4,36,1,N,24,1021.2
,2024-06-6,10.0,25.9,0,2.4,5.1,WNW,57,15:55,17.2,61,5,N,19,1018.5,24.2,51,7,NNW,30,1013.9
,2024-06-7,12.5,19.9,38.4,2.2,2.0,E,31,12:04,15.1,97,6,NNE,6,1019.1,18.8,70,,ENE,11,1017.0
,2024-06-8,13.4,20.6,0,1.2,1.3,ENE,30,08:07,16.6,85,,NE,13,1013.9,19.6,73,7,NNE,17,1009.5
,2024-06-9,16.6,20.6,8.0,0.0,0.3,NW,59,23:16,17.8,78,7,WNW,17,1008.1,18.6,67,7,W,19,1008.9
,2024-06-10,14.5,20.1,8.4,2.2,2.8,W,57,02:36,18.3,57,7,W,20,1014.8,18.7,57,7,W,26,1016.2
,2024-06-11,13.6,18.6,0,2.2,0.1,NNE,26,10:00,14.9,85,7,NNE,11,1021.3,17.5,76,7,NNE,13,1019.9
,2024-06-12,13.7,20.8,1.4,0.2,4.8,SW,26,20:14,14.7,93,7,N,11,1020.7,20.3,56,5,W,17,1018.1
,2024-06-13,7.1,21.2,2.4,2.8,9.0,NE,30,09:49,12.7,93,1, ,Calm,1022.2,20.4,49,2,NW,6,1019.7
,2024-06-14,10.8,21.2,0,2.0,8.3,NE,31,11:21,12.8,75,1,ENE,24,1020.0,20.8,41,1,NE,19,1016.2
,2024-06-15,10.1,22.3,0,2.0,7.1,ENE,28,01:37,12.8,76,0,NE,17,1016.0,21.0,51,6,N,9,1013.4
,2024-06-16,9.6,21.6,0,1.4,5.0,SW,33,15:46,13.1,83,1,NNE,11,1017.1,21.4,54,5,WSW,13,1016.4
,2024-06-17,9.7,20.6,0.8,0.4,7.1,SW,22,13:39,13.1,93,6,ENE,7,1021.0,19.9,50,4,WSW,13,1019.2
,2024-06-18,7.7,19.8,0,2.0,7.1,S,41,13:55,12.4,84,2,NE,11,1022.4,17.1,71,7,S,31,1021.7
,2024-06-19,3.0,18.9,0.4,2.0,8.3,SE,31,11:54,10.2,84,1, ,Calm,1029.7,17.1,50,2,ESE,9,1026.4
,2024-06-20,4.1,18.8,0,1.4,8.7,NNE,30,12:06,11.1,67,1,NE,15,1030.0,18.2,42,1,NE,13,1026.0
,2024-06-21,6.8,20.5,0,2.0,8.4,NNE,44,11:59,13.8,57,5,NNE,22,1023.8,20.3,35,4,NNE,26,1018.7
,2024-06-22,8.7,19.4,9.0,2.6,7.5,SSW,52,12:59,15.0,93,6,SW,24,1019.2,18.1,45,5,SSW,30,1020.3
,2024-06-23,6.5,18.6,0,2.6,5.9,SSW,33,11:43,10.5,80,7,NNE,7,1027.6,17.0,53,7,S,20,1025.9
,2024-06-24,2.4,18.1,0,2.2,7.5,S,26,15:58,9.7,84,1,NNE,9,1026.7,16.8,56,7,S,17,1022.9
,2024-06-25,3.4,17.0,0,1.4,8.9,NNE,37,22:32,9.3,78,6,ENE,20,1018.5,16.5,45,1,NE,20,1013.9
,2024-06-26,8.7,18.9,0.2,2.0,3.8,N,46,08:50,11.6,80,7,N,30,1006.8,18.7,69,5,W,11,1005.4
,2024-06-27,11.1,18.0,15.6,0.8,2.8,E,56,23:01,15.1,81,6,NE,19,1005.5,12.7,90,7,NNE,9,1004.0
,2024-06-28,12.3,20.1,7.2,2.4,9.0,ENE,43,00:23,14.8,71,2,ESE,11,1009.4,18.2,53,2,SE,30,1010.4
,2024-06-29,10.6,18.6,0,2.6,2.5,ESE,31,09:24,14.1,71,7,ESE,15,1022.1,16.9,64,5,E,15,1021.9
,2024-06-30,9.5,19.5,0,1.6,8.8,NE,35,12:26,12.2,81,3,ENE,22,1029.5,19.4,49,2,E,22,1026.9
