"Daily Weather Observations for Perth Airport, Western Australia for October 2024"
"Prepared at 13:03 UTC on Thursday 14 November 2024   IDCJDW6110.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,8.1,31.1,0,5.2,11.2,NNE,46,11:29,22.6,34,1,N,17,1012.4,24.1,33,1,WNW,20,1006.7
,2024-10-2,12.1,17.8,15.4,5.4,5.2,WNW,72,13:40,12.2,87,7,NW,24,1003.8,17.1,50,2,W,43,1002.5
,2024-10-3,11.8,17.5,13.8,4.8,1.3,SW,59,02:47,15.1,59,8,SW,35,1013.1,16.2,62,7,WSW,24,1014.8
,2024-10-4,13.2,20.5,5.2,2.4,5.5,WSW,41,09:34,16.0,89,7,WSW,19,1017.5,19.1,64,6,SW,20,1017.2
,2024-10-5,14.7,23.2,0.8,3.4,10.1,W,31,13:19,18.9,66,2,S,6,1018.4,22.3,56,5,WSW,17,1017.1
,2024-10-6,13.0,23.8,0,4.0,9.0,W,30,13:56,18.7,73,3,ESE,6,1017.8,23.3,50,1,WSW,15,1015.8
,2024-10-7,10.5,26.0,0,4.2,10.6,W,31,14:10,18.8,64,3,S,6,1019.2,24.6,46,0,WSW,22,1017.0
,2024-10-8,9.2,23.0,0,5.2,11.5,SSW,52,13:48,18.9,67,5,SSW,17,1019.5,20.9,58,5,W,28,1018.7
,2024-10-9,14.0,25.4,0.4,5.2,11.6,E,46,23:33,18.7,64,1,S,19,1025.8,24.5,37,1,WSW,17,1022.4
,2024-10-10,12.1,27.9,0,6.6,11.5,E,56,04:48,18.3,48,1,ENE,35,1024.5,27.3,31,0,E,26,1019.2
,2024-10-11,17.8,31.4,0,7.2,11.0,ENE,43,00:25,25.1,45,2,NE,19,1018.3,29.4,35,7,WNW,22,1014.5
,2024-10-12,17.3,23.3,0,6.2,6.5,WSW,37,13:57,21.1,66,6,SSW,19,1017.2,22.5,53,2,SW,19,1016.0
,2024-10-13,11.7,26.1,0,5.8,11.2,WNW,35,13:18,19.7,58,0,E,6,1016.6,23.8,52,1,WSW,24,1013.3
,2024-10-14,17.4,22.5,0,5.2,6.8,W,43,11:06,19.5,56,6,W,13,1014.1,20.7,61,7,W,26,1013.1
,2024-10-15,12.6,22.4,1.0,4.2,9.6,WSW,35,12:55,18.1,72,7,WSW,9,1016.4,20.8,52,6,SW,20,1014.1
,2024-10-16,8.4,21.8,1.0,4.8,5.8,NW,39,14:22,18.6,61,5,NNW,9,1007.8,17.1,87,8,WNW,19,1005.5
,2024-10-17,13.3,21.9,5.6,2.0,7.2,WSW,39,13:36,16.5,85,7,S,13,1014.5,19.9,51,5,SW,20,1015.5
,2024-10-18,15.2,22.5,0,4.0,8.7,W,35,12:17,19.1,55,7,WNW,22,1017.8,21.4,52,1,WSW,20,1016.5
,2024-10-19,10.9,25.1,0,5.0,8.2,SW,30,12:47,19.5,68,7,N,13,1016.0,22.4,55,7,WSW,15,1013.9
,2024-10-20,10.3,23.7,0,4.0,2.5,WNW,67,15:40,18.6,76,7,N,15,1010.3,20.3,74,7,NW,35,1008.2
,2024-10-21,7.6,20.6,5.8,2.0,11.4,WSW,35,15:14,16.3,64,4,S,6,1020.5,19.5,41,3,WSW,22,1019.5
,2024-10-22,8.1,22.7,0,3.4,8.1,WSW,44,14:52,16.7,59,6,N,11,1021.4,21.5,46,5,WSW,24,1019.7
,2024-10-23,6.0,24.9,0.4,4.2,12.1,SW,37,14:44,17.9,51,0,SE,9,1024.0,22.8,43,0,WSW,22,1020.2
,2024-10-24,9.1,30.8,0,5.4,12.2,ENE,39,06:55,21.9,45,0,E,13,1018.6,28.7,32,0,WSW,22,1014.9
,2024-10-25,9.3,26.0,0,7.6,11.9,SW,54,15:54,21.3,52,1,SSW,17,1014.3,23.2,47,4,SW,35,1014.0
,2024-10-26,12.6,24.9,0,7.0,12.3,SSW,50,16:31,18.5,53,5,S,19,1022.4,22.7,43,0,SW,35,1019.7
,2024-10-27,12.0,27.9,0,6.4,12.4,ENE,44,08:35,19.9,48,0,E,28,1023.8,26.1,41,0,WSW,26,1019.5
,2024-10-28,12.3,33.1,0,7.4,12.4,SW,43,16:44,23.5,38,0,ENE,19,1021.4,32.5,13,0,ESE,13,1017.0
,2024-10-29,12.7,35.7,0,8.8,12.4,SW,39,14:33,27.8,31,0,E,13,1018.4,33.1,23,0,SW,31,1016.1
,2024-10-30,15.3,32.2,0,10.0,12.4,SSW,41,15:17,24.1,46,1,S,13,1020.0,30.1,33,1,WSW,28,1017.1
,2024-10-31,15.0,34.2,0,8.6,12.2,ENE,50,06:26,22.5,45,1,ENE,22,1018.6,33.2,15,1,NNE,13,1013.4
