"Daily Weather Observations for Perth Airport, Western Australia for March 2025"
"Prepared at 13:03 UTC on Tuesday 19 August 2025   IDCJDW6110.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,14.1,34.4,0,4.6,11.7,SSW,35,20:04,23.5,52,0,SE,13,1020.3,31.9,34,0,WSW,26,1015.8
,2025-03-2,17.0,38.2,0,7.0,11.8,E,52,01:53,24.5,48,0,ENE,28,1015.1,34.8,34,0,W,24,1010.4
,2025-03-3,18.4,29.0,0,7.6,10.3,W,39,16:10,24.1,65,3,W,9,1013.8,26.8,49,3,WSW,28,1013.8
,2025-03-4,18.4,28.8,0,9.0,8.9,E,56,23:54,21.6,64,5,S,30,1021.5,27.9,38,3,SSW,11,1020.1
,2025-03-5,16.1,34.1,0,7.4,11.7,E,61,00:17,21.3,42,0,E,28,1023.6,33.0,23,2,E,26,1018.2
,2025-03-6,21.0,41.5,0,11.8,11.6,E,61,00:20,30.2,30,0,ENE,31,1017.1,41.0,15,1,WSW,9,1011.7
,2025-03-7,16.4,30.2,0,8.6,10.1,WSW,39,15:53,24.9,67,1,WSW,13,1012.6,29.2,46,0,W,22,1008.5
,2025-03-8,18.8,27.8,0,7.0,9.8,,,,23.2,62,4,WNW,7,1009.3,26.9,45,2,WSW,22,1008.2
,2025-03-9,13.7,28.1,0,8.0,11.4,WSW,41,16:09,22.2,45,,SE,17,1017.6,25.9,38,1,W,26,1015.1
,2025-03-10,16.4,31.8,0,6.4,11.6,E,41,10:00,22.1,51,1,E,20,1019.8,30.9,27,0,SE,20,1014.1
,2025-03-11,17.8,35.5,0,7.8,11.5,E,46,01:42,24.6,48,0,E,26,1011.7,34.0,32,0,WSW,22,1005.9
,2025-03-12,17.4,27.0,0,7.8,0.7,WNW,35,11:31,24.0,74,7,NNW,20,1007.9,25.8,59,8,WNW,15,1006.3
,2025-03-13,17.3,30.1,0,1.8,4.8,S,37,17:33,23.4,69,7,NW,7,1010.4,20.5,91,7,SW,20,1008.8
,2025-03-14,18.0,27.3,21.4,5.0,9.6,WNW,50,14:38,22.3,68,1,N,17,1010.6,26.1,51,3,NW,35,1010.8
,2025-03-15,17.4,29.0,0.2,4.4,9.4,SSE,33,16:07,21.2,72,5,S,17,1020.1,28.0,47,6,S,17,1018.5
,2025-03-16,17.4,29.5,0,4.8,11.2,ESE,65,09:49,21.9,57,1,E,30,1025.5,29.1,36,0,ESE,33,1021.2
,2025-03-17,16.4,31.9,0,8.6,11.2,ENE,56,03:24,21.1,52,0,E,30,1021.9,30.9,20,0,ENE,13,1015.8
,2025-03-18,13.7,33.6,0,8.0,11.0,SW,39,15:45,25.1,38,1,ENE,13,1013.9,30.8,27,6,WSW,24,1009.2
,2025-03-19,19.0,29.1,0,7.0,10.6,S,43,11:43,22.7,57,1,S,22,1010.9,27.8,46,2,SW,28,1010.1
,2025-03-20,14.5,28.8,0,6.6,11.1,E,48,08:12,19.4,48,0,ENE,31,1018.1,28.8,25,0,S,13,1014.2
,2025-03-21,8.8,33.8,0,8.4,11.2,SW,31,15:49,22.8,35,0,NE,13,1015.7,33.7,23,0,W,11,1011.6
,2025-03-22,13.1,35.5,0,5.8,11.1,WSW,30,16:24,25.6,36,0,SW,7,1012.8,34.9,18,1,WSW,19,1010.1
,2025-03-23,13.1,35.2,0,4.4,10.9,ENE,31,23:04,23.4,59,0,SE,9,1015.7,34.5,33,0,SW,19,1012.2
,2025-03-24,21.4,41.0,0,7.2,11.0,N,44,13:52,28.3,41,0,NE,20,1014.7,40.4,12,0,WSW,22,1010.5
,2025-03-25,15.7,38.7,0,8.8,10.8,E,39,23:48,29.0,24,2,NE,13,1014.6,37.8,16,3,WSW,22,1011.0
,2025-03-26,20.6,39.0,0,10.4,10.9,E,54,01:10,26.3,46,0,ENE,28,1016.0,38.3,9,0,E,22,1011.7
,2025-03-27,21.3,38.2,0,10.6,9.7,ENE,50,06:05,28.8,27,6,ENE,22,1014.8,37.8,10,7,SSE,11,1011.0
,2025-03-28,16.9,37.8,0,8.2,11.0,E,44,23:55,28.9,26,0,NE,15,1011.6,35.5,16,0,SW,22,1009.4
,2025-03-29,21.9,38.4,0,9.2,10.6,E,76,22:55,26.4,46,1,ENE,20,1011.4,37.2,22,3,SW,20,1008.0
,2025-03-30,19.0,29.5,4.4,11.6,6.8,E,78,00:31,23.6,49,3,ENE,46,1013.6,28.7,40,1,ENE,31,1012.8
,2025-03-31,18.8,33.3,0,7.6,10.8,E,50,00:50,24.5,55,0,E,24,1014.5,32.7,28,1,ENE,24,1009.8
