"Daily Weather Observations for Perth Airport, Western Australia for May 2025"
"Prepared at 13:03 UTC on Sunday 17 August 2025   IDCJDW6110.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,16.6,32.3,0,5.8,9.9,NW,48,14:06,23.5,30,7,NNE,28,1021.3,28.0,26,7,WNW,28,1017.9
,2025-05-2,15.1,29.1,0,4.4,5.8,NW,41,13:24,19.0,67,7,NNE,11,1015.9,27.8,32,3,WNW,28,1012.9
,2025-05-3,17.6,22.4,1.2,4.4,4.6,WSW,48,13:13,20.3,76,5,WSW,30,1014.0,20.7,55,6,SW,26,1014.0
,2025-05-4,10.6,22.1,0.2,2.8,3.5,SW,39,11:17,20.2,48,5,W,17,1018.0,20.8,51,7,W,19,1018.1
,2025-05-5,14.1,22.2,1.8,2.2,0.5,SSW,26,13:11,16.7,92,8,NE,7,1024.0,21.4,58,7,SSW,15,1022.3
,2025-05-6,8.5,24.4,0.2,2.0,9.5,S,30,11:43,17.6,72,4,ENE,11,1026.1,24.1,42,1,S,13,1023.3
,2025-05-7,9.0,25.9,0,2.6,9.7,E,39,07:52,16.2,74,1,ENE,24,1026.6,25.2,37,1,E,15,1021.4
,2025-05-8,12.8,30.7,0,3.8,9.7,NE,37,08:12,19.9,54,1,NE,20,1022.5,30.3,25,1,ESE,6,1018.5
,2025-05-9,14.9,34.0,0,4.6,9.8,NW,35,14:54,23.4,37,0,NE,15,1020.8,33.0,15,0,NW,24,1017.0
,2025-05-10,11.6,27.5,0,4.8,9.7,SE,37,23:30,19.8,70,1, ,Calm,1021.4,27.0,42,2,SSW,22,1019.0
,2025-05-11,16.3,26.7,0,2.4,9.6,E,44,01:35,18.9,66,1,E,19,1023.5,26.3,41,1,E,15,1020.2
,2025-05-12,15.4,26.3,0,5.0,9.5,SW,35,15:05,18.5,67,0,ENE,17,1022.5,25.1,46,0,SW,26,1020.9
,2025-05-13,14.1,25.7,0,4.6,9.4,ESE,56,23:27,18.6,64,1,SE,11,1027.7,25.3,39,1,SE,22,1025.3
,2025-05-14,13.7,25.7,0,3.4,9.5,E,48,09:40,16.4,64,0,ENE,20,1029.5,25.2,34,,ENE,13,1026.3
,2025-05-15,13.1,27.0,0,4.8,9.5,ENE,37,01:17,16.4,58,,ENE,20,1026.7,26.1,25,0,WSW,11,1022.9
,2025-05-16,8.3,27.5,0,3.4,9.5,ENE,31,23:57,17.9,52,0,ENE,15,1025.3,26.5,26,1,SE,9,1022.3
,2025-05-17,12.9,26.9,0,4.0,9.5,ENE,39,09:00,18.1,44,1,NE,17,1026.3,26.7,22,1,NE,9,1022.9
,2025-05-18,9.6,26.7,0,4.2,9.5,NNE,35,10:02,19.9,31,0,NE,19,1025.3,26.2,19,0,NNE,17,1021.0
,2025-05-19,5.8,25.6,0,3.6,8.0,SSW,57,15:05,16.6,42,1,NNE,13,1021.8,22.9,56,3,WSW,31,1021.1
,2025-05-20,5.4,22.1,0,3.0,9.4,ENE,35,10:49,14.1,59,0,NNW,7,1030.5,21.6,32,0,E,15,1027.1
,2025-05-21,7.6,25.4,0,3.6,9.3,ENE,37,04:37,15.0,55,0,ENE,20,1028.6,24.8,30,0,NNW,7,1024.2
,2025-05-22,4.8,24.3,0,2.8,6.2,SSW,44,23:18,14.5,56,5,NNE,15,1020.8,22.5,55,7,W,22,1016.1
,2025-05-23,10.2,17.6,4.8,2.2,5.6,S,41,00:08,12.5,83,3,S,19,1017.6,17.1,53,2,SSW,22,1016.4
,2025-05-24,3.4,18.2,0,2.4,4.4,WNW,30,14:46,11.0,67,6,N,9,1019.7,16.2,53,6,W,17,1016.6
,2025-05-25,10.7,19.0,22.0,4.0,3.4,S,41,12:31,14.3,97,2,NNE,9,1015.1,18.0,60,7,SSW,24,1014.9
,2025-05-26,3.4,18.1,2.8,1.6,9.2,E,35,13:51,10.6,76,0,N,7,1024.0,17.7,43,1,E,19,1021.2
,2025-05-27,5.1,21.3,0,2.2,9.3,NE,46,10:52,12.8,60,0,ENE,22,1023.8,21.1,35,0,E,24,1018.7
,2025-05-28,9.8,24.3,0,2.8,9.3,ENE,43,19:03,15.4,49,4,NE,28,1020.0,23.9,31,6,ENE,24,1017.1
,2025-05-29,13.8,24.3,0.8,4.0,1.2,NE,48,00:03,14.9,63,8,NNE,19,1018.7,23.0,39,7,N,20,1014.7
,2025-05-30,14.2,23.6,13.2,2.2,3.8,NNE,54,04:49,16.0,91,7,NNE,17,1014.2,21.9,72,6,N,15,1012.1
,2025-05-31,14.6,22.9,6.6,1.8,5.2,W,35,12:42,16.6,99,7,NNW,7,1015.8,20.3,71,6,SSW,26,1015.8
