"Daily Weather Observations for Perth Airport, Western Australia for August 2025"
"Prepared at 13:03 UTC on Monday  1 September 2025   IDCJDW6110.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,7.9,21.3,0,2.8,9.7,N,50,11:20,14.7,44,0,NNE,26,1022.3,20.9,36,0,N,28,1016.4
,2025-08-2,11.1,16.2,2.4,4.2,0.5,WNW,54,23:40,13.9,89,7,N,19,1007.8,14.7,94,8,N,15,1005.7
,2025-08-3,10.5,13.9,24.6,1.8,2.9,WSW,76,08:39,11.7,81,7,W,20,1005.8,13.8,57,3,WSW,31,1008.0
,2025-08-4,6.7,16.7,9.8,1.4,6.1,SW,35,12:35,10.1,91,7,NNE,11,1019.9,16.3,60,1,WSW,24,1018.2
,2025-08-5,9.6,19.0,2.6,2.0,5.6,SSW,26,14:06,12.4,94,7,NNE,15,1021.9,17.2,60,7,S,13,1020.3
,2025-08-6,8.8,20.5,0.6,1.2,8.1,ENE,26,08:19,12.3,81,6,ENE,15,1024.8,20.1,43,7,ENE,11,1021.6
,2025-08-7,9.4,21.2,0,1.2,9.7,NE,39,22:56,13.4,60,0,ENE,19,1022.9,20.7,37,1,NE,22,1019.0
,2025-08-8,10.8,21.0,0,5.6,1.6,NW,52,13:39,17.1,35,7,N,24,1014.3,17.3,90,7,NW,13,1012.9
,2025-08-9,12.9,18.4,10.2,2.2,0.3,WNW,54,23:05,16.4,100,8,NNW,15,1013.6,17.5,90,7,NNW,13,1010.2
,2025-08-10,11.7,18.4,27.4,2.6,7.3,WSW,35,05:30,13.8,92,6,S,7,1014.4,17.7,52,3,SSW,24,1016.1
,2025-08-11,7.3,19.2,0.2,1.0,3.4,WSW,26,16:59,12.4,79,6,NNE,13,1022.0,18.5,51,7,NW,11,1020.6
,2025-08-12,7.0,23.7,0,1.2,10.1,NNE,33,12:31,13.1,71,1,ENE,15,1022.7,23.4,34,1,NNE,17,1018.5
,2025-08-13,8.8,26.8,0,3.4,9.5,NW,96,19:09,21.4,35,0,N,22,1013.2,24.4,54,6,NNW,46,1009.4
,2025-08-14,12.0,18.1,19.6,4.2,9.0,W,59,09:47,15.3,51,3,SW,30,1023.1,17.3,46,4,SSW,28,1025.1
,2025-08-15,2.2,18.5,0,2.6,10.0,ENE,30,07:22,11.0,65,1,NNE,15,1030.7,17.9,39,1,ESE,13,1027.8
,2025-08-16,2.2,19.8,0,2.6,10.2,ESE,35,15:42,11.8,68,0,N,2,1029.5,19.2,36,0,ENE,13,1025.1
,2025-08-17,6.6,20.7,0,3.2,3.4,ENE,50,04:27,13.0,51,7,ENE,30,1025.7,19.9,41,8,ENE,22,1021.5
,2025-08-18,12.6,23.2,0,3.8,8.3,NW,41,12:24,16.9,48,7,NNE,17,1017.9,21.1,62,6,NW,31,1015.6
,2025-08-19,15.0,19.3,0,1.8,1.9,NNW,43,09:26,19.1,80,6,N,22,1011.0,15.4,94,7,N,15,1009.3
,2025-08-20,13.4,19.7,37.8,1.8,6.7,W,57,13:28,15.6,92,2,NNW,11,1006.7,17.5,68,2,WNW,20,1007.2
,2025-08-21,9.2,18.4,6.0,1.8,7.5,SW,35,15:23,12.3,91,7,NNE,9,1017.2,17.1,64,3,WSW,22,1017.2
,2025-08-22,8.1,20.3,1.0,2.2,9.0,SW,26,15:41,13.9,80,3,N,9,1022.3,20.1,51,4,WSW,15,1018.9
,2025-08-23,7.9,22.4,0,3.0,6.5,NE,33,02:27,15.5,62,1,ENE,17,1014.0,18.1,58,7,NE,26,1007.9
,2025-08-24,10.3,16.9,7.2,2.2,4.4,NW,63,21:41,13.5,90,5,N,24,1002.4,14.5,81,7,W,24,999.9
,2025-08-25,7.3,11.3,23.8,4.6,1.4,SW,56,07:53,7.6,92,8,SSW,17,1006.5,10.5,74,7,ENE,9,1008.4
,2025-08-26,6.3,16.5,19.2,0.8,8.7,SSW,41,14:55,10.2,96,7,N,9,1019.3,15.1,59,7,SSW,26,1019.6
,2025-08-27,5.1,17.0,0,1.2,3.4,NNE,26,12:08,10.0,77,6,NNE,9,1024.1,13.7,82,7,NW,17,1020.8
,2025-08-28,4.2,18.8,10.0,0.6,10.4,SSW,35,16:27,11.1,89,0,SW,7,1025.6,18.1,52,2,SW,22,1024.9
,2025-08-29,3.5,19.5,0,2.6,10.4,ESE,31,09:39,12.8,77,1,E,7,1034.6,19.1,44,1,ENE,13,1032.3
,2025-08-30,4.9,21.1,0,2.6,10.6,S,31,18:03,12.4,65,0,E,9,1034.9,20.8,36,1,WNW,9,1030.7
,2025-08-31,6.4,22.1,0,4.0,10.6,NE,33,07:03,14.3,54,0,ENE,13,1029.4,21.8,30,0,NE,7,1024.6
