"Daily Weather Observations for Salmon Gums, Western Australia for January 2024"
"Prepared at 13:03 UTC on Sunday 10 November 2024   IDCJDW6119.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Salmon Gums Res.Stn. {station 012071}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,16.3,29.7,0,,,SSW,39,16:28,20.0,77,,NE,2,,27.3,50,,S,22,
,2024-01-2,16.4,21.8,0,,,SE,41,15:53,19.4,74,,SE,22,,18.8,82,,SE,26,
,2024-01-3,13.9,22.8,4.8,,,SE,44,17:31,18.3,65,,SE,22,,21.2,49,,SE,22,
,2024-01-4,13.1,22.9,0.4,,,SE,48,10:53,19.1,61,,ESE,26,,20.9,49,,SE,24,
,2024-01-5,14.1,24.0,0,,,SSE,41,15:19,17.6,73,,SE,13,,22.6,56,,SE,28,
,2024-01-6,13.9,23.4,0,,,SE,28,14:44,17.0,78,,SSE,9,,22.3,55,,S,17,
,2024-01-7,11.6,26.8,0,,,SE,30,20:01,17.6,70,,SSE,7,,24.9,45,,SE,11,
,2024-01-8,12.9,35.8,0,,,,,,21.5,60,,NNE,15,,33.6,23,,SSW,7,
,2024-01-9,19.7,34.8,,,,SSW,54,15:24,24.7,57,,ENE,9,,29.2,41,,SSW,33,
,2024-01-10,15.6,32.9,0,,,S,43,17:04,19.6,78,,SSE,22,,31.7,33,,SE,11,
,2024-01-11,16.2,36.1,0.6,,,SSW,44,16:09,22.0,74,,SE,13,,31.1,37,,SSW,24,
,2024-01-12,16.8,30.9,1.2,,,SE,35,14:27,19.6,86,,S,13,,22.9,72,,SE,20,
,2024-01-13,17.9,37.8,0,,,E,54,18:17,30.8,24,,E,31,,35.7,22,,E,33,
,2024-01-14,17.2,35.8,0,,,E,41,01:00,25.4,53,,E,15,,33.8,28,,E,9,
,2024-01-15,18.2,38.3,0,,,SSE,37,18:28,25.7,54,,E,19,,36.5,24,,E,9,
,2024-01-16,18.7,32.4,0,,,SE,46,14:44,22.9,69,,ESE,24,,31.3,36,,SE,30,
,2024-01-17,16.2,35.0,0,,,ENE,46,10:09,23.9,43,,E,26,,33.9,26,,ENE,22,
,2024-01-18,17.5,41.6,0,,,SSW,52,14:56,28.9,31,,NNE,20,,36.0,28,,SSW,35,
,2024-01-19,15.9,32.8,0,,,S,39,16:12,23.6,55,,SW,17,,31.9,24,,SW,15,
,2024-01-20,15.1,32.1,0,,,SSE,33,18:48,20.0,69,,SE,9,,30.6,29,,SE,13,
,2024-01-21,15.4,40.1,0,,,NE,33,13:47,27.0,34,,NE,17,,38.5,13,,NNE,11,
,2024-01-22,17.9,31.3,0,,,SSE,41,16:36,21.9,61,,SW,20,,29.0,32,,S,20,
,2024-01-23,11.1,30.6,0,,,SSE,43,17:42,21.9,50,,S,11,,29.2,29,,S,19,
,2024-01-24,9.7,33.9,0,,,SSE,44,15:34,25.8,27,,S,11,,31.0,25,,S,28,
,2024-01-25,13.7,29.1,0,,,SSW,46,16:01,21.0,58,,S,15,,25.8,36,,S,30,
,2024-01-26,11.7,26.6,0,,,SSE,37,15:07,19.4,42,,SE,13,,25.2,29,,SSE,24,
,2024-01-27,6.3,32.9,0,,,NE,30,07:43,20.1,46,,NE,13,,30.7,15,,SSW,9,
,2024-01-28,15.7,37.1,0,,,S,57,16:25,32.6,29,,NW,22,,28.6,30,,S,37,
,2024-01-29,9.0,31.2,0,,,SSE,44,16:50,20.7,47,,ESE,15,,29.9,19,,SSE,19,
,2024-01-30,10.7,33.5,0,,,SSE,37,17:48,21.1,50,,E,13,,32.7,18,,E,11,
,2024-01-31,13.5,38.0,0,,,SE,33,18:40,25.5,29,,NNE,20,,36.6,11,,SE,11,
