"Daily Weather Observations for Salmon Gums, Western Australia for June 2025"
"Prepared at 16:03 UTC on Saturday 16 August 2025   IDCJDW6119.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Salmon Gums Res.Stn. {station 012071}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,9.0,18.9,0,,,SSW,22,15:03,13.8,100,,WNW,7,,17.8,74,,SSW,13,
,2025-06-2,5.7,23.0,0,,,NNE,30,12:36,11.8,100,,NNE,9,,22.8,49,,NE,13,
,2025-06-3,11.7,19.6,0,,,N,43,09:16,18.3,52,,N,15,,18.4,86,,N,15,
,2025-06-4,13.7,21.9,16.0,,,NNW,44,12:28,16.8,94,,NNW,19,,21.3,61,,NNW,19,
,2025-06-5,14.2,19.5,0,,,SW,46,17:23,15.8,80,,W,20,,18.5,60,,WSW,17,
,2025-06-6,8.8,17.8,0,,,SW,26,11:13,12.6,80,,WNW,11,,15.7,68,,WSW,9,
,2025-06-7,4.5,18.1,0,,,WNW,22,14:01,11.3,87,,WNW,7,,17.9,51,,WNW,9,
,2025-06-8,2.5,17.8,0,,,NNE,15,12:01,8.8,100,,NNW,9,,16.4,65,,S,4,
,2025-06-9,0.5,18.8,0,,,NNW,24,09:33,12.4,76,,N,11,,18.0,47,,NNW,7,
,2025-06-10,7.6,22.1,0,,,W,59,18:23,12.6,68,,NNW,19,,20.0,30,,NW,22,
,2025-06-11,6.4,15.1,3.8,,,SSW,41,13:03,9.6,86,,WNW,15,,14.1,69,,SW,11,
,2025-06-12,6.0,17.7,0,,,NE,19,13:40,12.1,84,,NW,7,,16.8,59,,N,7,
,2025-06-13,8.3,20.8,0,,,W,46,14:01,12.9,66,,NNW,19,,19.3,48,,W,19,
,2025-06-14,4.9,17.1,0,,,NNW,26,13:06,11.1,88,,WNW,7,,16.9,44,,NW,11,
,2025-06-15,4.7,17.5,0,,,WSW,35,11:53,13.7,78,,WNW,17,,16.4,82,,WSW,13,
,2025-06-16,4.2,18.0,0.2,,,N,24,12:28,13.2,98,,N,6,,16.6,66,,N,11,
,2025-06-17,10.2,19.8,0,,,N,37,09:10,14.7,72,,N,22,,19.4,48,,NNE,13,
,2025-06-18,14.6,23.4,0,,,NW,50,15:44,16.6,32,,N,17,,21.4,28,,NW,24,
,2025-06-19,12.3,19.4,0,,,WNW,28,12:59,14.9,92,,NW,15,,18.8,69,,WNW,13,
,2025-06-20,12.4,22.2,0,,,N,43,12:15,16.1,86,,NW,13,,20.3,64,,N,24,
,2025-06-21,9.5,14.9,0,,,NW,59,19:47,10.3,88,,NW,19,,13.9,57,,WNW,26,
,2025-06-22,8.9,15.5,5.2,,,W,61,02:18,10.5,78,,W,24,,13.8,69,,W,20,
,2025-06-23,6.3,13.2,1.4,,,WSW,50,12:39,8.9,79,,W,22,,12.0,78,,W,17,
,2025-06-24,8.7,16.4,0.8,,,WSW,37,00:11,11.1,93,,WSW,13,,14.8,75,,WSW,13,
,2025-06-25,9.5,15.2,0.6,,,N,17,12:09,10.3,100,,WNW,6,,14.7,73,,NW,2,
,2025-06-26,2.0,18.3,0,,,NNW,30,12:24,11.4,72,,NNW,11,,17.7,43,,WNW,11,
,2025-06-27,0.6,19.0,0,,,E,17,13:55,11.8,73,,NW,6,,17.9,46,,ESE,2,
,2025-06-28,0.4,19.2,0,,,ENE,26,15:34,12.6,68,,NNW,6,,18.5,42,,NNE,6,
,2025-06-29,1.1,14.3,0,,,NE,26,10:26,10.7,85,,NNE,11,,13.7,60,,ENE,11,
,2025-06-30,2.1,17.2,0,,,NNE,35,11:21,9.5,80,,NNE,13,,16.7,46,,N,20,
