"Daily Weather Observations for Salmon Gums, Western Australia for July 2025"
"Prepared at 13:03 UTC on Thursday 21 August 2025   IDCJDW6119.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Salmon Gums Res.Stn. {station 012071}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,9.1,21.0,0,,,N,28,00:23,12.8,50,,NNW,17,,20.3,48,,NW,13,
,2025-07-2,7.9,21.7,0,,,NW,20,14:15,14.2,77,,NW,7,,20.9,55,,NW,11,
,2025-07-3,7.9,20.8,0.8,,,W,28,23:47,14.5,59,,NNE,11,,17.6,54,,SSW,15,
,2025-07-4,9.3,13.8,6.2,,,SW,46,12:06,10.9,97,,W,15,,12.5,78,,SW,17,
,2025-07-5,4.6,15.0,0.4,,,WNW,20,09:40,8.8,95,,WNW,11,,14.0,64,,NW,7,
,2025-07-6,4.2,22.1,0,,,NW,61,13:40,10.9,68,,N,20,,21.8,29,,NW,31,
,2025-07-7,10.9,16.2,6.4,,,WSW,65,15:19,12.4,97,,W,17,,11.2,82,,WSW,37,
,2025-07-8,4.0,15.3,3.6,,,WNW,44,13:34,8.2,82,,WNW,17,,13.9,67,,W,22,
,2025-07-9,7.6,15.1,0,,,SSW,43,11:13,9.9,80,,WSW,13,,14.2,57,,SSW,17,
,2025-07-10,0.9,16.8,0,,,W,33,11:56,7.5,87,,WNW,15,,16.4,46,,WNW,15,
,2025-07-11,-4.7,19.1,0,,,NNW,35,09:31,8.8,49,,NNW,20,,18.5,30,,N,20,
,2025-07-12,5.0,19.8,0,,,W,52,14:08,12.8,46,,NNW,19,,14.3,83,,W,17,
,2025-07-13,1.7,16.4,0.2,,,NE,28,22:32,9.8,99,,WSW,7,,14.9,61,,N,7,
,2025-07-14,5.5,15.2,0.4,,,SW,43,16:32,11.2,86,,W,17,,13.4,62,,SW,20,
,2025-07-15,3.6,17.0,0,,,NW,26,14:59,8.2,85,,WNW,15,,16.1,51,,WNW,13,
,2025-07-16,4.2,16.4,0,,,SW,41,13:16,11.6,85,,WNW,19,,13.1,74,,SSW,20,
,2025-07-17,1.1,16.7,0,,,NW,30,11:40,9.3,88,,NW,9,,16.2,46,,WNW,13,
,2025-07-18,0.2,18.2,0,,,WNW,50,11:39,10.0,71,,NW,20,,16.4,51,,W,22,
,2025-07-19,2.4,15.8,0.6,,,NNW,30,13:54,7.7,93,,NW,9,,14.5,50,,NW,13,
,2025-07-20,5.9,20.2,0,,,NNW,59,14:11,11.7,71,,N,15,,19.6,25,,NNW,31,
,2025-07-21,5.1,11.4,13.6,,,SW,50,02:21,8.3,71,,W,17,,10.4,69,,SW,26,
,2025-07-22,3.8,15.7,0.2,,,W,31,10:14,8.0,89,,WNW,17,,14.3,56,,W,15,
,2025-07-23,5.6,16.4,0,,,N,43,13:34,10.4,68,,NNW,17,,14.9,44,,NNW,26,
,2025-07-24,6.8,10.3,1.8,,,SSW,54,12:39,8.3,98,,NW,11,,6.9,94,,SW,26,
,2025-07-25,5.0,11.8,15.6,,,S,46,11:50,8.1,87,,SSW,20,,11.2,75,,S,24,
,2025-07-26,2.6,12.9,0.2,,,WNW,22,10:15,8.2,100,,WNW,11,,12.2,58,,NNE,6,
,2025-07-27,-0.7,15.6,0,,,N,41,11:53,8.7,69,,N,24,,15.1,43,,N,22,
,2025-07-28,7.2,12.2,0,,,WNW,50,20:27,8.8,77,,WSW,20,,10.6,59,,W,24,
,2025-07-29,4.7,14.9,0.6,,,SSE,37,12:21,10.9,96,,SSW,11,,13.3,82,,S,17,
,2025-07-30,2.0,16.7,5.6,,,ENE,19,11:03,9.7,100,, ,Calm,,15.9,59,,ESE,6,
,2025-07-31,0.8,16.1,0,,,N,20,09:44,9.7,76,,NNW,11,,15.2,57,,ESE,9,
