"Daily Weather Observations for Salmon Gums, Western Australia for August 2025"
"Prepared at 13:03 UTC on Monday  1 September 2025   IDCJDW6119.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Salmon Gums Res.Stn. {station 012071}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,-1.0,16.4,0,,,N,41,13:04,10.4,79,,NNE,17,,15.9,47,,N,22,
,2025-08-2,8.3,21.6,0,,,NNW,70,12:20,13.1,41,,N,31,,20.4,28,,NNW,24,
,2025-08-3,10.6,13.3,8.4,,,WSW,65,10:53,12.4,85,,NW,20,,12.2,64,,NW,28,
,2025-08-4,4.5,14.3,4.8,,,WNW,43,00:28,8.6,78,,W,19,,13.0,55,,WNW,22,
,2025-08-5,6.8,16.8,0,,,WNW,35,11:03,11.4,79,,WNW,20,,14.5,66,,WSW,13,
,2025-08-6,4.4,16.4,0,,,E,19,10:55,9.8,100,, ,Calm,,15.2,56,,S,7,
,2025-08-7,-0.4,17.6,0,,,NE,26,10:13,11.3,96,,NE,7,,16.4,48,,ENE,9,
,2025-08-8,5.9,19.8,0,,,NNE,41,14:17,11.7,74,,NNE,24,,19.4,39,,N,20,
,2025-08-9,11.8,22.7,0,,,NNW,39,14:23,16.4,55,,NNW,15,,21.8,52,,NNW,20,
,2025-08-10,13.2,18.1,6.8,,,SSW,37,15:37,15.1,82,,W,20,,15.4,65,,SW,19,
,2025-08-11,2.6,18.2,0,,,NW,28,11:28,10.2,86,,NW,11,,17.5,51,,N,9,
,2025-08-12,0.1,20.8,0,,,N,28,12:01,13.3,62,,NNW,15,,20.4,40,,N,15,
,2025-08-13,9.9,26.0,0,,,N,52,10:58,16.3,37,,N,26,,25.8,28,,N,24,
,2025-08-14,11.6,16.8,1.0,,,W,65,02:29,13.5,67,,W,33,,14.4,43,,WSW,24,
,2025-08-15,1.2,16.3,0,,,WSW,20,10:02,9.8,67,,W,11,,15.9,43,,NW,7,
,2025-08-16,-1.3,17.2,0,,,SSE,20,16:09,10.9,72,,WNW,7,,16.5,50,,S,7,
,2025-08-17,-1.2,18.3,0,,,ENE,22,11:30,11.0,92,,NE,9,,17.9,42,,E,6,
,2025-08-18,8.4,20.0,0,,,NNE,44,14:08,12.0,74,,NE,17,,18.7,41,,NNE,20,
,2025-08-19,11.7,20.6,0,,,WSW,48,17:09,16.0,34,,NNW,13,,19.5,49,,N,15,
,2025-08-20,12.1,16.6,3.2,,,NNW,37,13:53,14.2,89,,NNW,17,,15.2,84,,NW,17,
,2025-08-21,4.3,17.0,2.2,,,NW,39,13:51,11.6,69,,W,13,,16.0,47,,WNW,17,
,2025-08-22,2.3,18.3,0,,,NNW,26,12:12,11.3,80,,WNW,9,,17.8,43,,NW,9,
,2025-08-23,2.0,20.7,0,,,N,46,13:03,15.0,54,,NNE,20,,20.2,40,,N,13,
,2025-08-24,11.8,19.4,4.8,,,WNW,48,16:57,14.2,84,,NW,19,,19.3,51,,NNW,22,
,2025-08-25,7.2,14.6,1.8,,,WNW,56,11:33,11.2,67,,WNW,24,,13.3,53,,NW,28,
,2025-08-26,4.5,15.6,0,,,WNW,44,07:51,9.9,74,,W,22,,11.1,88,,S,24,
,2025-08-27,3.0,15.0,2.0,,,WNW,24,12:27,9.2,85,,WSW,11,,13.7,55,,SW,11,
,2025-08-28,1.3,16.8,0,,,WSW,46,13:59,11.9,73,,W,17,,14.4,71,,SW,19,
,2025-08-29,8.1,15.7,0,,,S,41,10:31,11.1,71,,SSW,17,,14.2,55,,S,17,
,2025-08-30,4.2,16.3,0,,,N,26,12:22,9.9,66,,NNE,9,,15.7,44,,NE,4,
,2025-08-31,-3.3,19.7,0,,,NNW,26,10:56,12.7,60,,NNW,15,,19.2,32,,N,6,
