"Daily Weather Observations for Walpole, Western Australia for February 2024"
"Prepared at 13:03 UTC on Saturday  9 November 2024   IDCJDW6138.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from North Walpole."
"The North Walpole observation site is approximately 3 kilometres north-northwest of Walpole and at higher elevation, so significantly different conditions may be experienced at the two places on particular days."
"Observations were drawn from North Walpole {station 009998}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,17.7,27.9,0,,,S,28,12:27,24.3,62,,ENE,13,1014.9,25.3,66,,SSE,11,1012.3
,2024-02-2,17.4,26.6,0,,,S,28,11:10,21.4,75,,WNW,7,1013.2,25.5,58,,SSW,15,1012.2
,2024-02-3,17.2,20.7,2.8,,,SSW,33,10:08,17.6,96,,SSW,9,1013.4,19.0,68,,S,17,1012.6
,2024-02-4,14.2,20.8,0.2,,,SSW,44,11:38,18.0,53,,SSW,17,1017.4,19.0,53,,S,13,1017.7
,2024-02-5,10.9,22.4,1.8,,,S,30,16:16,18.3,64,,SE,11,1022.4,20.9,47,,SSE,13,1022.0
,2024-02-6,11.5,24.6,0,,,ESE,41,17:09,18.6,61,,ENE,11,1025.4,23.0,55,,SSE,17,1022.2
,2024-02-7,14.2,31.8,0,,,NNE,43,06:30,23.2,53,,NNE,9,1021.7,28.6,41,,SSW,22,1018.7
,2024-02-8,14.0,29.6,0,,,ESE,37,15:58,24.7,48,,ESE,13,1019.8,28.0,48,,SE,20,1018.5
,2024-02-9,15.3,32.1,0,,,SE,35,12:18,23.6,65,,E,17,1020.9,28.5,53,,SE,19,1017.8
,2024-02-10,17.5,37.8,0,,,ENE,31,00:42,27.9,40,,NNE,9,1017.1,34.3,23,,WSW,20,1015.4
,2024-02-11,17.4,23.0,0,,,SE,31,22:31,20.2,80,,SSE,13,1017.4,21.3,78,,SSE,15,1016.3
,2024-02-12,18.2,23.0,0,,,SE,41,13:19,19.5,69,,SSE,15,1018.9,20.3,60,,SSE,20,1019.3
,2024-02-13,13.9,22.1,0,,,SSE,35,14:29,19.6,58,,SE,17,1024.1,21.2,53,,SSE,20,1022.4
,2024-02-14,13.8,25.3,0,,,SE,39,17:33,20.2,59,,ENE,15,1021.2,23.8,55,,ESE,22,1017.2
,2024-02-15,14.5,31.2,0,,,SSW,31,13:07,22.4,65,,ENE,13,1015.5,25.4,61,,SSE,11,1011.4
,2024-02-16,16.4,23.4,0,,,E,33,04:22,20.0,93,,SSE,17,1013.3,22.6,77,,S,11,1014.6
,2024-02-17,18.2,24.1,0,,,SE,35,17:44,20.7,80,,SSE,9,1020.3,22.2,71,,SSE,13,1019.0
,2024-02-18,16.5,30.0,0,,,ENE,39,08:33,21.7,69,,E,17,1019.6,23.6,66,,ESE,17,1017.2
,2024-02-19,19.0,35.5,0,,,NE,41,03:11,24.7,49,,NE,17,1015.0,33.2,26,,SE,22,1012.0
,2024-02-20,20.4,39.9,0,,,NE,46,02:45,30.3,32,,NE,9,1006.6,35.7,23,,WNW,24,1004.5
,2024-02-21,18.5,24.8,0,,,WNW,52,07:35,18.9,93,,SW,17,1008.6,22.6,53,,SSW,17,1011.7
,2024-02-22,15.1,22.8,0,,,SE,39,13:17,19.3,58,,SSE,19,1021.0,21.6,49,,SSE,20,1020.0
,2024-02-23,13.6,30.1,0,,,ENE,39,08:30,19.2,59,,E,22,1019.4,27.1,44,,SE,24,1012.8
,2024-02-24,14.8,22.8,0,,,S,41,12:30,20.4,83,,S,20,1011.9,21.1,64,,S,22,1015.2
,2024-02-25,16.0,23.0,0,,,ESE,46,14:21,18.9,55,,E,20,1019.9,20.1,52,,ESE,28,1017.3
,2024-02-26,15.3,24.9,0,,,SSW,31,22:55,19.1,77,,NE,13,1014.6,23.1,68,,SE,15,1010.7
,2024-02-27,13.9,21.2,4.2,,,S,46,07:56,18.2,65,,SSW,17,1015.9,19.9,61,,SE,17,1015.9
,2024-02-28,11.4,23.1,0,,,SE,31,13:46,17.7,65,,NW,4,1015.6,21.8,46,,S,17,1013.9
,2024-02-29,11.3,23.5,0,,,SE,35,16:13,19.6,65,,NNE,9,1017.7,21.0,58,,SE,17,1015.5
