"Daily Weather Observations for Walpole, Western Australia for June 2024"
"Prepared at 13:03 UTC on Tuesday  5 November 2024   IDCJDW6138.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from North Walpole."
"The North Walpole observation site is approximately 3 kilometres north-northwest of Walpole and at higher elevation, so significantly different conditions may be experienced at the two places on particular days."
"Observations were drawn from North Walpole {station 009998}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,15.1,22.6,0.2,,,,56,19:19,16.9,80,,,,1012.0,21.4,43,,,,1006.6
,2024-06-2,11.5,15.7,22.2,,,,57,11:40,12.1,92,,,,1002.7,12.7,84,,,,1004.7
,2024-06-3,11.6,19.0,13.6,,,,28,01:40,13.8,88,,,,1016.8,18.4,75,,,,1017.6
,2024-06-4,12.8,21.2,2.8,,,,28,13:04,14.7,97,,,,1023.1,19.4,72,,,,1022.1
,2024-06-5,13.6,20.6,0,,,,33,09:29,16.6,83,,,,1021.7,20.2,71,,,,1018.8
,2024-06-6,15.9,20.1,0,,,,52,15:32,17.5,74,,,,1013.5,17.8,92,,,,1008.7
,2024-06-7,10.0,17.2,9.2,,,,,,13.1,90,,,,1018.8,15.8,75,,,,1017.5
,2024-06-8,10.7,17.4,0,,,,37,23:17,13.7,82,,,,1012.7,17.2,75,,,,1008.3
,2024-06-9,13.6,18.7,1.6,,,,74,13:22,15.5,84,,,,1002.0,12.3,89,,,,1003.2
,2024-06-10,10.7,15.1,9.8,,,,54,14:14,12.3,86,,,,1009.2,13.9,84,,,,1010.0
,2024-06-11,12.1,18.1,18.6,,,,31,00:36,12.8,98,,,,1019.3,16.8,74,,,,1018.8
,2024-06-12,9.9,17.8,1.0,,,,33,12:04,12.0,99,,,,1019.7,15.9,81,,,,1017.8
,2024-06-13,8.0,17.1,1.8,,,,24,12:35,10.9,96,,,,1021.6,13.9,82,,,,1020.5
,2024-06-14,8.6,18.6,0,,,,22,11:18,11.4,91,,,,1020.7,18.0,47,,,,1017.5
,2024-06-15,9.0,19.6,0,,,,26,10:09,12.2,77,,,,1015.6,19.2,53,,,,1012.5
,2024-06-16,10.6,19.6,0,,,,28,08:53,15.5,81,,,,1014.9,15.9,87,,,,1015.3
,2024-06-17,9.7,15.6,4.2,,,,19,00:42,11.4,99,,,,1020.4,13.4,92,,,,1018.5
,2024-06-18,9.9,16.6,7.0,,,,44,10:11,13.2,84,,,,1018.5,14.3,59,,,,1020.4
,2024-06-19,9.7,16.1,1.0,,,,26,01:51,12.4,80,,,,1028.4,14.2,74,,,,1027.5
,2024-06-20,7.0,17.2,0.4,,,,26,11:24,12.8,77,,,,1029.4,16.5,58,,,,1025.9
,2024-06-21,8.8,17.5,0,,,,52,21:34,11.8,71,,,,1021.5,17.0,50,,,,1015.8
,2024-06-22,9.4,13.8,16.6,,,,69,08:52,9.4,85,,,,1015.5,13.1,61,,,,1016.7
,2024-06-23,8.8,16.4,5.0,,,,37,01:19,12.9,66,,,,1025.3,14.9,67,,,,1025.3
,2024-06-24,10.2,15.0,11.2,,,,37,03:40,11.5,85,,,,1025.8,11.7,96,,,,1023.8
,2024-06-25,7.9,14.9,6.0,,,,22,23:56,8.9,95,,,,1017.7,14.2,61,,,,1013.7
,2024-06-26,6.4,17.7,0,,,,41,06:09,11.4,66,,,,1005.1,17.3,64,,,,1003.1
,2024-06-27,8.8,18.3,6.8,,,,35,23:54,9.5,97,,,,1005.7,16.1,68,,,,1005.4
,2024-06-28,9.5,15.5,4.4,,,,50,11:14,14.2,82,,,,1013.2,13.2,88,,,,1015.2
,2024-06-29,9.8,16.2,3.2,,,,33,01:42,13.1,79,,,,1023.6,14.7,74,,,,1024.4
,2024-06-30,8.3,16.8,0,,,,20,00:46,10.8,87,,,,1030.1,15.3,71,,,,1028.0
