"Daily Weather Observations for Walpole, Western Australia for December 2024"
"Prepared at 13:03 UTC on Friday  8 August 2025   IDCJDW6138.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from North Walpole."
"The North Walpole observation site is approximately 3 kilometres north-northwest of Walpole and at higher elevation, so significantly different conditions may be experienced at the two places on particular days."
"Observations were drawn from North Walpole {station 009998}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,14.8,21.2,0.2,,,WNW,59,16:23,19.8,63,,WNW,19,1000.8,17.0,69,,WNW,24,999.1
,2024-12-2,10.9,20.0,5.0,,,WNW,57,10:33,14.8,74,,W,17,1002.5,19.1,58,,W,28,1003.9
,2024-12-3,13.8,24.7,0.4,,,WNW,57,14:18,19.9,73,,NW,31,1005.2,23.7,57,,WNW,31,1002.7
,2024-12-4,15.0,21.0,4.2,,,NW,39,00:48,16.5,75,,WSW,17,1008.4,19.9,59,,SW,15,1010.1
,2024-12-5,10.8,19.6,0,,,S,39,13:32,15.6,70,,WNW,7,1017.2,18.3,64,,SSE,17,1016.1
,2024-12-6,12.7,20.4,0,,,S,33,10:17,17.4,63,,S,11,1019.2,18.5,53,,SSE,15,1018.6
,2024-12-7,10.6,21.4,0,,,SE,43,14:48,17.0,65,,ESE,13,1021.0,19.6,63,,SE,26,1017.9
,2024-12-8,10.5,21.5,0,,,SE,41,14:20,18.1,68,,ESE,20,1016.5,20.3,69,,ESE,24,1013.6
,2024-12-9,15.3,21.0,0,,,SE,43,13:06,19.4,68,,SE,22,1017.7,18.8,66,,SE,26,1017.2
,2024-12-10,12.9,23.2,0,,,,,,19.3,62,,E,20,1020.2,21.3,65,,ESE,28,1017.4
,2024-12-11,13.9,28.2,,,,SE,39,20:51,20.6,76,,ENE,19,1014.7,27.9,60,,S,17,1009.4
,2024-12-12,16.9,20.7,0,,,SE,37,15:11,17.7,95,,ESE,19,1011.5,19.0,86,,ESE,22,1009.9
,2024-12-13,16.1,28.6,0,,,E,33,04:33,19.8,77,,E,13,1005.9,22.9,75,,S,19,1002.5
,2024-12-14,16.6,26.6,0.4,,,W,43,17:20,19.9,77,,WSW,11,1004.9,24.5,56,,WNW,20,1002.6
,2024-12-15,14.7,23.0,0,,,W,69,15:26,19.6,56,,WNW,22,1004.6,20.5,53,,WNW,30,1005.2
,2024-12-16,13.8,22.3,0.2,,,W,43,02:58,19.0,59,,W,19,1014.6,20.7,51,,WSW,19,1016.3
,2024-12-17,11.5,27.0,0,,,S,33,13:14,20.6,59,,NE,11,1018.1,25.7,51,,SSE,11,1013.4
,2024-12-18,13.1,24.8,0,,,S,37,13:59,22.0,76,,SW,9,1011.4,21.6,62,,S,15,1012.2
,2024-12-19,12.4,21.2,0,,,SSW,35,09:35,18.8,60,,SSW,15,1018.8,19.5,60,,S,15,1019.5
,2024-12-20,13.7,26.0,0,,,ESE,35,07:23,19.7,56,,E,11,1021.6,23.8,54,,SE,20,1017.5
,2024-12-21,13.6,25.4,0,,,SSE,43,13:48,21.5,60,,E,15,1019.3,22.6,62,,E,19,1018.5
,2024-12-22,13.7,27.9,0,,,SE,35,12:17,21.5,60,,E,17,1020.4,26.3,55,,SSE,15,1015.8
,2024-12-23,14.3,32.9,0,,,NE,30,00:15,25.3,51,,ENE,7,1011.1,26.6,55,,S,13,1008.1
,2024-12-24,16.0,19.0,0.6,,,SSW,39,03:33,16.3,94,,S,13,1012.6,18.3,62,,SSE,17,1013.5
,2024-12-25,11.8,21.3,0.2,,,NW,54,13:29,16.8,54,,WNW,15,1014.6,15.2,96,,W,19,1013.2
,2024-12-26,12.6,20.7,1.8,,,SSW,37,04:57,15.8,56,,SSW,13,1023.0,19.2,46,,WSW,15,1022.4
,2024-12-27,14.5,22.8,0,,,WSW,43,14:44,18.4,64,,W,15,1021.9,21.3,61,,WSW,19,1020.6
,2024-12-28,15.0,24.7,0,,,SSW,31,15:17,19.8,63,,W,11,1019.9,22.6,57,,SW,15,1017.9
,2024-12-29,10.0,23.0,0,,,SSW,31,15:56,17.9,77,,W,6,1014.8,21.0,66,,S,9,1012.9
,2024-12-30,15.0,21.3,0,,,SSE,35,12:20,17.6,68,,SE,19,1020.7,18.8,57,,S,15,1020.7
,2024-12-31,10.2,24.7,0,,,SSE,43,12:04,20.1,60,,E,11,1020.2,22.3,60,,SE,24,1018.1
