"Daily Weather Observations for Walpole, Western Australia for May 2025"
"Prepared at 13:03 UTC on Sunday 17 August 2025   IDCJDW6138.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from North Walpole."
"The North Walpole observation site is approximately 3 kilometres north-northwest of Walpole and at higher elevation, so significantly different conditions may be experienced at the two places on particular days."
"Observations were drawn from North Walpole {station 009998}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,14.2,25.5,0,,,NNE,35,06:11,19.6,49,,N,13,1020.0,24.6,46,,NW,13,1015.9
,2025-05-2,18.2,25.5,0,,,NW,65,12:49,19.9,80,,NW,20,1011.4,23.0,66,,NNW,24,1006.5
,2025-05-3,12.5,17.7,19.4,,,W,56,11:26,14.5,81,,W,17,1009.7,15.6,62,,W,20,1011.3
,2025-05-4,12.2,20.0,2.4,,,W,43,12:07,13.7,95,,NW,26,1013.2,17.3,80,,WSW,13,1014.4
,2025-05-5,13.7,19.9,2.8,,,WNW,39,14:23,16.9,78,,WNW,15,1021.1,18.5,75,,W,19,1020.7
,2025-05-6,14.8,20.4,2.6,,,WSW,28,13:56,16.9,83,,W,9,1024.6,18.3,68,,WSW,13,1024.2
,2025-05-7,12.8,21.0,0.4,,,E,20,11:26,15.3,97,,NNE,4,1027.7,20.1,72,,ESE,9,1024.2
,2025-05-8,13.1,25.9,0,,,NE,30,00:25,17.6,68,,N,7,1022.4,25.3,50,,NW,9,1019.3
,2025-05-9,14.2,29.0,0,,,NW,30,14:02,20.9,64,, ,Calm,1019.8,28.3,43,,WNW,13,1016.1
,2025-05-10,16.4,19.9,0,,,SSW,33,10:38,19.5,86,,W,7,1021.5,17.8,74,,S,11,1022.1
,2025-05-11,10.5,20.6,3.4,,,ESE,22,12:30,13.4,97,, ,Calm,1025.7,19.9,56,,SSE,7,1024.0
,2025-05-12,10.9,20.6,0,,,SSW,28,16:15,15.6,81,,NNE,6,1024.4,18.4,70,,SSW,11,1023.7
,2025-05-13,12.3,18.6,0.8,,,S,24,14:05,16.9,63,,SSE,7,1030.2,17.7,63,,SSE,9,1029.9
,2025-05-14,8.8,17.6,0,,,E,17,19:23,12.0,95,,W,2,1032.1,17.2,73,,E,7,1030.1
,2025-05-15,10.1,20.8,0,,,NNE,24,05:44,14.2,87,, ,Calm,1028.1,19.2,62,,S,7,1025.2
,2025-05-16,9.3,18.6,0,,,ENE,33,20:56,14.8,87,,ENE,6,1027.3,17.2,89,,ESE,20,1025.5
,2025-05-17,13.2,23.2,0.2,,,NNE,28,00:25,15.9,76,,NNE,6,1026.5,22.9,42,,N,7,1023.5
,2025-05-18,10.4,24.1,0,,,NNW,37,08:58,18.7,41,,NNW,17,1024.8,23.2,34,,NNE,7,1021.0
,2025-05-19,13.6,20.3,0,,,WSW,52,12:42,18.4,67,,NW,28,1016.0,16.0,59,,WSW,24,1021.1
,2025-05-20,9.6,18.2,6.6,,,NW,17,11:41,12.0,89,,S,2,1030.4,17.2,57,,SSW,9,1029.3
,2025-05-21,8.0,20.5,0,,,NW,26,12:11,13.8,75,,NNE,13,1029.9,19.8,49,,NW,6,1025.0
,2025-05-22,8.5,20.2,0,,,NW,61,13:46,16.3,77,,NNW,19,1016.4,19.2,58,,NW,28,1010.8
,2025-05-23,8.8,13.7,20.8,,,W,41,16:04,9.5,94,,SW,11,1015.2,11.8,71,,SW,15,1015.3
,2025-05-24,6.6,14.2,7.8,,,WNW,37,11:02,10.7,91,,NW,19,1016.2,12.1,96,,NW,19,1012.4
,2025-05-25,10.0,15.4,25.8,,,SW,56,03:34,12.8,67,,SSW,15,1013.1,13.0,62,,SSW,17,1015.4
,2025-05-26,9.6,15.0,2.0,,,SSW,28,00:46,11.3,94,,WNW,6,1023.6,14.4,74,,ENE,11,1023.2
,2025-05-27,11.0,17.8,0,,,NE,37,21:13,12.1,72,,NNE,9,1025.5,17.7,54,,NNE,11,1021.3
,2025-05-28,9.3,20.0,0,,,NNE,37,23:55,10.2,77,,NE,15,1022.5,19.3,53,,ENE,11,1019.7
,2025-05-29,9.9,17.6,0,,,NE,37,06:06,12.3,62,,NE,17,1019.4,16.0,66,,NE,13,1015.6
,2025-05-30,12.3,22.2,0.2,,,N,43,07:15,17.3,73,,N,20,1010.7,20.9,70,,NNW,11,1008.7
,2025-05-31,15.3,19.8,4.8,,,NW,44,02:55,16.5,92,,WNW,13,1012.6,16.7,94,,WSW,11,1014.3
