"Daily Weather Observations for Walpole, Western Australia for July 2025"
"Prepared at 13:03 UTC on Thursday 21 August 2025   IDCJDW6138.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from North Walpole."
"The North Walpole observation site is approximately 3 kilometres north-northwest of Walpole and at higher elevation, so significantly different conditions may be experienced at the two places on particular days."
"Observations were drawn from North Walpole {station 009998}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,13.1,19.2,0.4,,,NW,46,00:24,15.0,94,,NW,19,1018.3,17.5,72,,W,15,1017.0
,2025-07-2,11.0,19.0,0,,,NNW,28,22:58,13.6,97,,NW,2,1017.2,16.4,81,,NNE,7,1013.0
,2025-07-3,10.8,18.0,18.2,,,SSW,54,16:10,12.3,90,,WNW,7,1008.2,15.5,91,,SSW,30,1009.1
,2025-07-4,11.6,15.5,3.0,,,SSW,37,00:22,12.9,69,,WSW,13,1019.9,14.2,71,,WSW,13,1019.9
,2025-07-5,6.4,17.5,0.6,,,NNE,50,21:00,11.2,80,,NNE,9,1019.9,16.8,66,,NNW,13,1015.5
,2025-07-6,11.2,18.6,0,,,WNW,78,12:42,15.0,71,,N,24,1004.9,14.4,97,,W,24,1004.0
,2025-07-7,9.9,13.6,26.8,,,WSW,65,12:31,10.1,87,,SW,20,1005.5,11.1,63,,SW,28,1011.7
,2025-07-8,8.7,16.0,8.8,,,SW,52,14:15,13.6,79,,W,17,1018.4,15.1,68,,SW,15,1019.9
,2025-07-9,10.0,16.6,1.0,,,WNW,39,12:46,12.3,79,,WNW,9,1027.2,16.0,65,,W,19,1025.2
,2025-07-10,10.0,17.6,0,,,WNW,54,15:05,12.5,78,,NW,24,1020.7,16.5,67,,NW,26,1017.7
,2025-07-11,10.4,18.2,0,,,NW,61,15:20,11.5,71,,NNW,17,1013.1,18.0,60,,NW,22,1007.1
,2025-07-12,11.5,13.9,18.8,,,NW,43,04:35,11.9,98,,W,11,1008.5,11.5,90,,W,11,1011.4
,2025-07-13,3.9,14.9,3.6,,,NW,30,12:34,6.5,94,, ,Calm,1020.6,13.9,57,,NNW,13,1017.4
,2025-07-14,6.5,16.1,8.4,,,SSW,35,08:43,11.3,87,,SSW,17,1018.7,15.1,57,,SW,11,1020.2
,2025-07-15,10.1,17.1,1.0,,,NW,48,11:57,12.3,92,,WNW,15,1020.7,15.6,77,,WNW,24,1017.3
,2025-07-16,11.5,17.1,6.8,,,SW,43,02:41,13.7,64,,WSW,11,1020.6,13.9,81,,SW,17,1021.5
,2025-07-17,10.1,16.4,1.4,,,WNW,48,14:04,11.5,90,,NW,22,1022.3,15.3,63,,WNW,24,1019.0
,2025-07-18,10.7,14.6,8.6,,,NW,54,05:23,13.2,76,,WSW,26,1015.0,11.9,80,,WSW,17,1016.7
,2025-07-19,6.9,15.3,0.8,,,NW,43,11:02,10.3,77,,NW,19,1017.3,13.5,59,,NW,24,1012.8
,2025-07-20,10.3,16.3,3.0,,,S,61,20:51,11.8,94,,N,20,999.3,9.4,96,,SSW,15,998.0
,2025-07-21,6.7,13.7,29.4,,,W,44,04:50,9.7,78,,SW,15,1015.0,11.8,88,,WNW,9,1015.4
,2025-07-22,9.0,15.5,7.0,,,WNW,43,13:10,10.6,89,,NW,13,1014.7,14.6,64,,WNW,17,1011.4
,2025-07-23,10.5,16.9,0.2,,,NNW,54,10:36,12.4,79,,NW,28,1002.1,14.3,68,,NW,24,996.4
,2025-07-24,7.4,11.8,27.8,,,SSW,59,05:28,9.0,67,,SW,13,1007.0,10.0,68,,S,26,1010.9
,2025-07-25,7.7,14.2,1.0,,,SSW,35,01:55,9.6,80,,SSW,11,1022.0,12.5,73,,SSW,7,1022.0
,2025-07-26,4.5,15.7,0,,,NNW,31,10:32,10.2,70,,NNE,7,1022.9,14.2,58,,N,9,1018.5
,2025-07-27,9.4,10.9,0,,,SSW,63,20:25,9.4,70,,NNW,20,1005.7,9.5,92,,NW,26,998.9
,2025-07-28,6.8,11.3,13.2,,,S,70,09:47,9.3,60,,SSW,20,1013.1,10.5,65,,SW,20,1014.8
,2025-07-29,7.9,13.8,5.6,,,S,54,00:10,10.8,83,,S,19,1025.0,12.6,81,,S,13,1025.3
,2025-07-30,5.8,17.4,22.4,,,N,48,15:02,9.7,100,, ,Calm,1029.6,15.8,61,,NNW,11,1027.2
,2025-07-31,7.5,18.9,0,,,NNW,28,11:54,11.8,79,,NE,4,1028.1,18.2,53,,WNW,11,1025.3
